"Workload","Size","Algorithm","Platform","MeanMemoryUsage","MeanCPUUsage","MeanAbsMemoryUsage","meanNetworkDelay","meanResponseTime"
0,8,"CNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,8,"KNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,8,"RF","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,32,"CNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,32,"KNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,32,"RF","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,64,"CNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,64,"KNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,64,"RF","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,128,"CNN","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0,128,"RF","CLOUD",10.3,14.3527777777778,177009208.888889,0,0
0.01,8,"CNN","CLOUD",9.16875,32.8125,446777984,0.367248157497684,0.408822781968363
0.01,8,"KNN","CLOUD",9.87777777777778,32.4083333333333,506643114.666667,0.311247781055577,0.336264594825262
0.01,8,"RF","CLOUD",17.0972222222222,23.6111111111111,1107634631.11111,0.340522064736308,0.372369897731927
0.01,32,"CNN","CLOUD",8.925,25,428257894.4,0.315070223854831,0.356290138919877
0.01,32,"KNN","CLOUD",25.9,43.0555555555556,1841933539.55556,0.339223540523436,0.469605124067118
0.01,32,"RF","CLOUD",15.9055555555556,26.3888888888889,1008364999.11111,0.299729100657828,0.331522279905296
0.01,64,"CNN","CLOUD",9.03611111111111,38.8888888888889,434803598.222222,1.10252067750254,1.14574327960261
0.01,64,"KNN","CLOUD",77.0666666666667,63.8888888888889,6168985713.77778,211.149923746288,211.615296721127
0.01,64,"RF","CLOUD",15.6833333333333,30.5555555555556,988382094.222222,0.83301561640168,0.8650114483708
0.01,128,"CNN","CLOUD",68.9666666666667,4.16666666666667,11279580842.6667,125.165772653422,125.224191981555
0.01,128,"RF","CLOUD",29.2972222222222,12.5,968986851.555556,1.56975539466293,1.60257795479943
0.1,8,"CNN","CLOUD",9.15277777777778,11.1111111111111,445026986.666667,0.327629627470543,0.36903217966704
0.1,8,"KNN","CLOUD",9.71666666666667,25.4638888888889,494131427.555556,0.663748233063589,0.688954822329859
0.1,8,"RF","CLOUD",16.6027777777778,45.8333333333333,1066072291.55556,0.330080008727854,0.36190920324538
0.1,32,"CNN","CLOUD",8.89722222222222,5.55555555555556,425645624.888889,0.323734365925053,0.364326522184475
0.1,32,"KNN","CLOUD",25.5111111111111,33.3333333333333,1811981767.11111,0.334081153883893,0.46519395658399
0.1,32,"RF","CLOUD",15.8888888888889,16.6666666666667,1033364821.33333,0.309742777785604,0.341802950763746
0.1,64,"CNN","CLOUD",9.04722222222222,12.5,434836252.444444,0.922850985247482,0.965849115924061
0.1,64,"KNN","CLOUD",71.9166666666667,66.6666666666667,5738280618.66667,145.366500674624,145.835815279413
0.1,64,"RF","CLOUD",15.7666666666667,23.6111111111111,994378069.333333,0.766172408575798,0.798421010828571
0.1,128,"CNN","CLOUD",68.6777777777778,12.5,11232355100.4444,1.28084676473037,1.33896746769962
0.1,128,"RF","CLOUD",29.0472222222222,8.33333333333333,958491306.666667,1.10476725178916,1.1373154283077
0.25,8,"CNN","CLOUD",9.08611111111111,15.2777777777778,439095864.888889,0.322588355752971,0.364149176834604
0.25,8,"KNN","CLOUD",9.71111111111111,18.0555555555556,493887943.111111,0.275756897768407,0.300847318811164
0.25,8,"RF","CLOUD",16.6027777777778,23.6111111111111,1066908672,0.350827456920612,0.382662338249883
0.25,32,"CNN","CLOUD",9.02173913043478,8.69565217391304,435274974.608696,0.360295496381061,0.401454046286468
0.25,32,"KNN","CLOUD",25.5611111111111,33.3333333333333,1814105201.77778,0.330976576627962,0.45963005927183
0.25,32,"RF","CLOUD",16.2138888888889,13.8888888888889,1036337493.33333,0.326489504657421,0.358850232142199
0.25,64,"CNN","CLOUD",9.02777777777778,22.2222222222222,433551701.333333,0.849067580366933,0.892753083048338
