imageCounter,currentTime,meanNetworkDelay,meanResponseTime
1,2021-05-24 15:16:18.755325,1.6891453266143799,1.8920512199401855
2,2021-05-24 15:16:19.538047,1.6920408010482788,1.8054835796356201
3,2021-05-24 15:16:20.546852,1.6909326712290447,1.7749780813852947
4,2021-05-24 15:16:21.571665,1.6899818181991577,1.7594437003135681
5,2021-05-24 15:16:22.576796,1.6907858371734619,1.7516161441802978
6,2021-05-24 15:16:23.584636,1.6903384526570637,1.7452986637751262
7,2021-05-24 15:16:24.593759,1.6913910933903284,1.7421176092965263
8,2021-05-24 15:16:25.588740,1.6906239688396454,1.738621860742569
9,2021-05-24 15:16:26.593483,1.6909516387515597,1.7363255553775363
10,2021-05-24 15:16:27.589670,1.690852689743042,1.7341836929321288
11,2021-05-24 15:16:28.619230,1.6906349875710227,1.7322663827375933
12,2021-05-24 15:16:29.633585,1.6904943585395813,1.7306902408599854
13,2021-05-24 15:16:30.627614,1.6902803641099196,1.7292809302990253
14,2021-05-24 15:16:31.624472,1.6901523215430123,1.7280917848859514
15,2021-05-24 15:16:32.636750,1.6899525801340738,1.7270584106445312
16,2021-05-24 15:16:33.652197,1.6898379474878311,1.7261230498552322
17,2021-05-24 15:16:34.652544,1.6896624845616959,1.7252730201272404
18,2021-05-24 15:16:35.688991,1.6896259917153253,1.7249505784776475
19,2021-05-24 15:16:36.698258,1.689749040101704,1.7244880199432373
20,2021-05-24 15:16:37.709815,1.6896658301353455,1.7238830089569093
21,2021-05-24 15:16:38.704735,1.6895948705219088,1.7233690874917167
22,2021-05-24 15:16:39.702649,1.6896787123246626,1.7230099764737217
23,2021-05-24 15:16:40.693362,1.689768418021824,1.7227155332979949
24,2021-05-24 15:16:41.686407,1.6896358629067738,1.7222460707028706
25,2021-05-24 15:16:42.723098,1.6903919506072997,1.7226472759246827
26,2021-05-24 15:16:43.704077,1.6904354003759532,1.7223627658990712
27,2021-05-24 15:16:44.724848,1.6907147654780634,1.722361193762885
28,2021-05-24 15:16:45.734942,1.6907221845218114,1.7223582693508692
29,2021-05-24 15:16:46.745472,1.6907606207091233,1.7221833673016778
30,2021-05-24 15:16:47.753490,1.690759007136027,1.721955951054891
31,2021-05-24 15:16:48.762442,1.6907965290930964,1.7217652720789756
32,2021-05-24 15:16:49.765752,1.690762221813202,1.721521221101284
33,2021-05-24 15:16:50.779437,1.6908016421578147,1.7213907458565452
34,2021-05-24 15:16:51.785814,1.6907544065924252,1.721136443755206
35,2021-05-24 15:16:52.788359,1.690697179521833,1.7208973339625768
36,2021-05-24 15:16:53.802236,1.6907142400741577,1.7207308676507738
37,2021-05-24 15:16:54.803638,1.6906218335435197,1.7204937032751135
38,2021-05-24 15:16:55.838559,1.6906136399821232,1.7204998292421039
39,2021-05-24 15:16:56.819685,1.6906763406900258,1.7204318719032483
40,2021-05-24 15:16:57.828787,1.69051850438118,1.7201411843299865
41,2021-05-24 15:16:58.834514,1.6905431165927793,1.7200468749534794
42,2021-05-24 15:16:59.846824,1.6905515307471866,1.719924977847508
43,2021-05-24 15:17:00.842557,1.6905012130737305,1.719764376795569
44,2021-05-24 15:17:01.855758,1.6905384172092786,1.7196887352249839
45,2021-05-24 15:17:02.856497,1.6905100292629667,1.7195634312099881
46,2021-05-24 15:17:03.868806,1.6905160468557607,1.7194492868755176
47,2021-05-24 15:17:04.868480,1.6905362555321226,1.7193694165412416
48,2021-05-24 15:17:05.890667,1.6905223627885182,1.7194110751152039
49,2021-05-24 15:17:06.994209,1.6905648416402388,1.7212579639590517
50,2021-05-24 15:17:07.936298,1.6911789894104003,1.7217482805252076
51,2021-05-24 15:17:08.913889,1.6911990455552643,1.7216462901994294
52,2021-05-24 15:17:09.924199,1.691188028225532,1.7215078610640306
53,2021-05-24 15:17:10.945695,1.6911618079779283,1.7213767159659907
54,2021-05-24 15:17:11.994291,1.692493853745637,1.722608177750199
55,2021-05-24 15:17:12.945125,1.6924890951676803,1.7225039742209696
56,2021-05-24 15:17:13.946379,1.6924338340759277,1.7223344147205353
57,2021-05-24 15:18:02.109722,1.7800743203414113,1.8099131375028377
58,2021-05-24 15:18:03.309521,1.795538959832027,1.8252769256460255
59,2021-05-24 15:18:03.520093,1.7933237673872608,1.8230908806041135
60,2021-05-24 15:18:04.494650,1.7910927573839823,1.8207953174908955
61,2021-05-24 15:18:05.497000,1.788985987178615,1.8186073303222656
