currentTime,totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalPartition,usedPartition,freePartition,percentagePartition(%),total_IO_read,total_IO_write
2021-08-23 17:04:45.754365,0.0,8345075712,7845253120,181739520,6.0,0,0,0,0.0,83067539456,20961583104,62089179136,25.2,3406917632,16788960256,,
2021-08-23 17:05:45.776696,0.0,8345075712,7626870784,400121856,8.6,0,0,0,0.0,83067539456,20961599488,62089162752,25.2,3406917632,16789332992,,
2021-08-23 17:06:45.840167,50.0,8345075712,7624790016,402202624,8.6,0,0,0,0.0,83067539456,20961619968,62089142272,25.2,3406917632,16790610944,,
2021-08-23 17:07:45.903033,0.0,8345075712,7625314304,401678336,8.6,0,0,0,0.0,83067539456,20961624064,62089138176,25.2,3406917632,16791667712,,
2021-08-23 17:08:45.962714,0.0,8345075712,7623532544,403460096,8.6,0,0,0,0.0,83067539456,20961628160,62089134080,25.2,3406917632,16791831552,,
2021-08-23 17:09:46.025508,0.0,8345075712,7621701632,405291008,8.7,0,0,0,0.0,83067539456,20961632256,62089129984,25.2,3406917632,16791987200,,
2021-08-23 17:10:46.088690,0.0,8345075712,7619682304,407310336,8.7,0,0,0,0.0,83067539456,20961636352,62089125888,25.2,3406917632,16792138752,,
2021-08-23 17:11:46.151522,0.0,8345075712,7618162688,408829952,8.7,0,0,0,0.0,83067539456,20961640448,62089121792,25.2,3406917632,16792318976,,
2021-08-23 17:12:46.162748,0.0,8345075712,7615860736,411127808,8.7,0,0,0,0.0,83067539456,20961652736,62089109504,25.2,3406917632,16792495104,,
2021-08-23 17:13:46.225478,50.0,8345075712,7612207104,414785536,8.8,0,0,0,0.0,83067539456,20961669120,62089093120,25.2,3406917632,16793457664,,
2021-08-23 17:14:46.288260,0.0,8345075712,7610200064,416792576,8.8,0,0,0,0.0,83067539456,20961681408,62089080832,25.2,3406917632,16795075584,,
2021-08-23 17:15:46.330643,0.0,8345075712,7610773504,416219136,8.8,0,0,0,0.0,83067539456,20961689600,62089072640,25.2,3406917632,16795870208,,
2021-08-23 17:16:46.337167,0.0,8345075712,7608426496,418566144,8.8,0,0,0,0.0,83067539456,20961693696,62089068544,25.2,3406917632,16796042240,,
2021-08-23 17:17:46.386734,0.0,8345075712,7605108736,421883904,8.9,0,0,0,0.0,83067539456,20961697792,62089064448,25.2,3406917632,16796492800,,
2021-08-23 17:18:46.449635,50.0,8345075712,7603060736,423931904,8.9,0,0,0,0.0,83067539456,20961701888,62089060352,25.2,3406917632,16796681216,,
2021-08-23 17:19:46.512480,100.0,8345075712,7601516544,425476096,8.9,0,0,0,0.0,83067539456,20961705984,62089056256,25.2,3406917632,16796853248,,
2021-08-23 17:20:46.575305,0.0,8345075712,7601160192,425832448,8.9,0,0,0,0.0,83067539456,20961705984,62089056256,25.2,3406917632,16796992512,,
2021-08-23 17:21:46.637613,0.0,8345075712,7600177152,426815488,8.9,0,0,0,0.0,83067539456,20961705984,62089056256,25.2,3406917632,16797017088,,
2021-08-23 17:22:46.700405,0.0,8345075712,7599194112,427798528,8.9,0,0,0,0.0,83067539456,20961705984,62089056256,25.2,3406917632,16797037568,,
2021-08-23 17:23:46.703785,0.0,8345075712,7598026752,428965888,9.0,0,0,0,0.0,83067539456,20961705984,62089056256,25.2,3406917632,16797058048,,
2021-08-23 17:24:46.766137,0.0,8345075712,7596888064,430104576,9.0,0,0,0,0.0,83067539456,20961705984,62089056256,25.2,3406917632,16797078528,,
