"currentTime","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalPartition","usedPartition","freePartition","percentagePartition...","total_IO_read","total_IO_write","Time"
"2021-08-27 20:50:13.172000",100,8345075712,7670800384,354930688,8.1,0,0,0,0,83067539456,20985270272,62065491968,25.3,4332626944,19161007104,NA,NA,0
"2021-08-27 20:51:13.202930",0,8345075712,7599673344,426053632,8.9,0,0,0,0,83067539456,20985298944,62065463296,25.3,4332626944,19161289728,NA,NA,1.00051550070445
"2021-08-27 20:52:13.266707",0,8345075712,7591280640,434450432,9,0,0,0,0,83067539456,20985315328,62065446912,25.3,4332626944,19161633792,NA,NA,2.00157845020294
"2021-08-27 20:53:13.298904",0,8345075712,7584956416,440774656,9.1,0,0,0,0,83067539456,20985352192,62065410048,25.3,4332626944,19163141120,NA,NA,3.00211506684621
"2021-08-27 20:54:13.362779",0,8345075712,7578357760,447373312,9.2,0,0,0,0,83067539456,20985368576,62065393664,25.3,4332626944,19163370496,NA,NA,4.00317964951197
"2021-08-27 20:55:13.426643",0,8345075712,7578218496,447512576,9.2,0,0,0,0,83067539456,20985384960,62065377280,25.3,4332626944,19163616256,NA,NA,5.00424404939016
"2021-08-27 20:56:13.458774",0,8345075712,7578079232,447651840,9.2,0,0,0,0,83067539456,20985401344,62065360896,25.3,4332626944,19163857920,NA,NA,6.00477956930796
"2021-08-27 20:57:13.521821",0,8345075712,7578234880,447496192,9.2,0,0,0,0,83067539456,20985417728,62065344512,25.3,4332626944,19164120064,NA,NA,7.00583035151164
"2021-08-27 20:58:13.554915",0,8345075712,7578062848,447668224,9.2,0,0,0,0,83067539456,20985434112,62065328128,25.3,4332626944,19164341248,NA,NA,8.00638191699982
"2021-08-27 20:59:13.618613",0,8345075712,7577645056,448081920,9.2,0,0,0,0,83067539456,20985458688,62065303552,25.3,4332626944,19164578816,NA,NA,9.00744355122248
"2021-08-27 21:00:13.678745",0,8345075712,7577759744,447971328,9.2,0,0,0,0,83067539456,20985475072,62065287168,25.3,4332626944,19164791808,NA,NA,10.008445751667
"2021-08-27 21:01:13.741587",100,8345075712,7577608192,448122880,9.2,0,0,0,0,83067539456,20985491456,62065270784,25.3,4332626944,19164992512,NA,NA,11.0094931165377
"2021-08-27 21:02:13.770844",0,8345075712,7577460736,448270336,9.2,0,0,0,0,83067539456,20985507840,62065254400,25.3,4332626944,19165213696,NA,NA,12.0099807341894
"2021-08-27 21:03:13.810878",0,8345075712,7577567232,448163840,9.2,0,0,0,0,83067539456,20985524224,62065238016,25.3,4332626944,19165426688,NA,NA,13.0106479684512
"2021-08-27 21:04:13.842921",0,8345075712,7577677824,448053248,9.2,0,0,0,0,83067539456,20985540608,62065221632,25.3,4332626944,19165639680,NA,NA,14.0111820181211
"2021-08-27 21:05:13.906673",0,8345075712,7577792512,447938560,9.2,0,0,0,0,83067539456,20985556992,62065205248,25.3,4332626944,19165852672,NA,NA,15.0122445503871
"2021-08-27 21:06:13.966935",0,8345075712,7577411584,448319488,9.2,0,0,0,0,83067539456,20985573376,62065188864,25.3,4332651520,19166090240,NA,NA,16.013248916467
"2021-08-27 21:07:14.002881",100,8345075712,7576199168,449531904,9.2,0,0,0,0,83067539456,20985593856,62065168384,25.3,4332651520,19166303232,NA,NA,17.0138480186462
"2021-08-27 21:08:14.066880",0,8345075712,7576600576,449130496,9.2,0,0,0,0,83067539456,20985610240,62065152000,25.3,4332651520,19166508032,NA,NA,18.0149146676064
"2021-08-27 21:09:14.098943",0,8345075712,7576440832,449290240,9.2,0,0,0,0,83067539456,20985626624,62065135616,25.3,4332651520,19166725120,NA,NA,19.0154490510623
"2021-08-27 21:10:14.162853",0,8345075712,7576293376,449437696,9.2,0,0,0,0,83067539456,20985643008,62065119232,25.3,4332651520,19166938112,NA,NA,20.0165142178535
"2021-08-27 21:11:14.222697",0,8345075712,7576371200,449359872,9.2,0,0,0,0,83067539456,20985659392,62065102848,25.3,4332651520,19167138816,NA,NA,21.0175116181374
"2021-08-27 21:12:14.226866",0,8345075712,7576514560,449216512,9.2,0,0,0,0,83067539456,20985675776,62065086464,25.3,4332651520,19167351808,NA,NA,22.0175811012586
"2021-08-27 21:13:14.289708",0,8345075712,7576621056,449110016,9.2,0,0,0,0,83067539456,20985692160,62065070080,25.3,4332651520,19167568896,NA,NA,23.0186284661293
"2021-08-27 21:14:14.350667",0,8345075712,7576215552,449515520,9.2,0,0,0,0,83067539456,20985712640,62065049600,25.3,4332651520,19167769600,NA,NA,24.0196444511414
"2021-08-27 21:15:14.354762",0,8345075712,7576584192,449146880,9.2,0,0,0,0,83067539456,20985729024,62065033216,25.3,4332651520,19167986688,NA,NA,25.0197127024333
"2021-08-27 21:16:14.386705",0,8345075712,7576186880,449544192,9.2,0,0,0,0,83067539456,20985745408,62065016832,25.3,4332651520,19168592896,NA,NA,26.0202450831731
"2021-08-27 21:17:14.418876",0,8345075712,7576526848,449204224,9.2,0,0,0,0,83067539456,20985769984,62064992256,25.3,4332651520,19168908288,NA,NA,27.0207812666893
"2021-08-27 21:18:14.450918",0,8345075712,7576678400,449052672,9.2,0,0,0,0,83067539456,20985786368,62064975872,25.3,4332651520,19169317888,NA,NA,28.0213153004646
"2021-08-27 21:19:14.494950",0,8345075712,7576494080,449236992,9.2,0,0,0,0,83067539456,20985802752,62064959488,25.3,4332651520,19169530880,NA,NA,29.0220491687457
"2021-08-27 21:20:14.514922",0,8345075712,7576104960,449626112,9.2,0,0,0,0,83067539456,20985819136,62064943104,25.3,4332651520,19169743872,NA,NA,30.0223820328712
"2021-08-27 21:21:14.542908",0,8345075712,7575408640,450322432,9.2,0,0,0,0,83067539456,20985839616,62064922624,25.3,4336206848,19170620416,NA,NA,31.0228484670321
"2021-08-27 21:22:14.558905",0,8345075712,7575543808,450187264,9.2,0,0,0,0,83067539456,20985856000,62064906240,25.3,4336206848,19170833408,NA,NA,32.0231150825818
"2021-08-27 21:23:14.614730",0,8345075712,7575400448,450330624,9.2,0,0,0,0,83067539456,20985872384,62064889856,25.3,4336206848,19171042304,NA,NA,33.0240454991659
"2021-08-27 21:24:14.674646",100,8345075712,7575216128,450514944,9.2,0,0,0,0,83067539456,20985888768,62064873472,25.3,4336206848,19171255296,NA,NA,34.0250440994898
"2021-08-27 21:25:14.738721",0,8345075712,7575351296,450379776,9.2,0,0,0,0,83067539456,20985905152,62064857088,25.3,4336206848,19171468288,NA,NA,35.0261120160421
