"currentTime","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalPartition","usedPartition","freePartition","percentagePartition...","total_IO_read","total_IO_write","Time"
"2021-08-31 20:31:09.253580",0,8345075712,6169243648,1856430080,26.1,0,0,0,0,83067539456,21246775296,61803986944,25.6,4583224320,20550525952,NA,NA,0
"2021-08-31 20:32:09.316676",100,8345075712,6170198016,1855471616,26.1,0,0,0,0,83067539456,21246779392,61803982848,25.6,4583224320,20550767616,NA,NA,1.00105159680049
"2021-08-31 20:33:09.380307",100,8345075712,6169808896,1855840256,26.1,0,0,0,0,83067539456,21246783488,61803978752,25.6,4583224320,20550947840,NA,NA,2.00211211442947
"2021-08-31 20:34:09.445758",0,8345075712,6169956352,1855709184,26.1,0,0,0,0,83067539456,21246787584,61803974656,25.6,4583224320,20551095296,NA,NA,3.00320296684901
"2021-08-31 20:35:09.462762",0,8345075712,6169972736,1855688704,26.1,0,0,0,0,83067539456,21246795776,61803966464,25.6,4583224320,20551263232,NA,NA,4.0034863670667
"2021-08-31 20:36:09.525789",0,8345075712,6170218496,1855447040,26.1,0,0,0,0,83067539456,21246799872,61803962368,25.6,4583224320,20551439360,NA,NA,5.00453681548437
"2021-08-31 20:37:09.588624",0,8345075712,6170173440,1855488000,26.1,0,0,0,0,83067539456,21246803968,61803958272,25.6,4583224320,20551578624,NA,NA,6.00558406511943
"2021-08-31 20:38:09.651640",0,8345075712,6169694208,1855979520,26.1,0,0,0,0,83067539456,21246812160,61803950080,25.6,4583224320,20551795712,NA,NA,7.00663433074951
"2021-08-31 20:39:09.666791",0,8345075712,6169694208,1855967232,26.1,0,0,0,0,83067539456,21246816256,61803945984,25.6,4583224320,20551963648,NA,NA,8.00688684781392
"2021-08-31 20:40:09.730357",0,8345075712,6169931776,1855729664,26.1,0,0,0,0,83067539456,21246824448,61803937792,25.6,4583224320,20552184832,NA,NA,9.00794628063838
"2021-08-31 20:41:09.793487",100,8345075712,6168682496,1856991232,26.1,0,0,0,0,83067539456,21246832640,61803929600,25.6,4583224320,20552532992,NA,NA,10.0089984496435
"2021-08-31 20:42:09.842776",0,8345075712,6168514560,1857155072,26.1,0,0,0,0,83067539456,21246836736,61803925504,25.6,4583224320,20552741888,NA,NA,11.0098199327787
"2021-08-31 20:43:09.874677",0,8345075712,6169927680,1855737856,26.1,0,0,0,0,83067539456,21246840832,61803921408,25.6,4583224320,20552885248,NA,NA,12.0103516141574
"2021-08-31 20:44:09.937288",0,8345075712,6169923584,1855746048,26.1,0,0,0,0,83067539456,21246844928,61803917312,25.6,4583224320,20553077760,NA,NA,13.0113951325417
"2021-08-31 20:45:09.958700",0,8345075712,6170464256,1855209472,26.1,0,0,0,0,83067539456,21246853120,61803909120,25.6,4583224320,20553245696,NA,NA,14.0117519974709
"2021-08-31 20:46:10.021419",0,8345075712,6170152960,1855512576,26.1,0,0,0,0,83067539456,21246857216,61803905024,25.6,4583224320,20553450496,NA,NA,15.0127973159154
"2021-08-31 20:47:10.082669",0,8345075712,6169931776,1855717376,26.1,0,0,0,0,83067539456,21246861312,61803900928,25.6,4583224320,20553626624,NA,NA,16.0138181487719
"2021-08-31 20:48:10.142658",0,8345075712,6169931776,1855721472,26.1,0,0,0,0,83067539456,21246869504,61803892736,25.6,4583224320,20553786368,NA,NA,17.0148179650307
"2021-08-31 20:49:10.205253",0,8345075712,6169890816,1855766528,26.1,0,0,0,0,83067539456,21246873600,61803888640,25.6,4583224320,20553950208,NA,NA,18.0158612132072
"2021-08-31 20:50:10.268360",0,8345075712,6170112000,1855561728,26.1,0,0,0,0,83067539456,21246877696,61803884544,25.6,4583224320,20554130432,NA,NA,19.016912996769
"2021-08-31 20:51:10.322712",0,8345075712,6169554944,1856114688,26.1,0,0,0,0,83067539456,21246881792,61803880448,25.6,4583224320,20554462208,NA,NA,20.0178188641866
"2021-08-31 20:52:10.354745",0,8345075712,6170062848,1855602688,26.1,0,0,0,0,83067539456,21246889984,61803872256,25.6,4583224320,20554626048,NA,NA,21.0183527469635
"2021-08-31 20:53:10.417564",100,8345075712,6169317376,1856335872,26.1,0,0,0,0,83067539456,21246894080,61803868160,25.6,4583224320,20554806272,NA,NA,22.0193997303645
"2021-08-31 20:54:10.480434",50,8345075712,6169636864,1856024576,26.1,0,0,0,0,83067539456,21246898176,61803864064,25.6,4583224320,20554974208,NA,NA,23.0204475641251
"2021-08-31 20:55:10.542651",0,8345075712,6169554944,1856094208,26.1,0,0,0,0,83067539456,21246906368,61803855872,25.6,4583224320,20555142144,NA,NA,24.0214845140775
"2021-08-31 20:56:10.605295",100,8345075712,6169554944,1856110592,26.1,0,0,0,0,83067539456,21246910464,61803851776,25.6,4583224320,20555322368,NA,NA,25.0225285808245
"2021-08-31 20:57:10.610744",0,8345075712,6169808896,1855864832,26.1,0,0,0,0,83067539456,21246914560,61803847680,25.6,4583224320,20555486208,NA,NA,26.022619398435
"2021-08-31 20:58:10.672790",100,8345075712,6169296896,1856372736,26.1,0,0,0,0,83067539456,21246926848,61803835392,25.6,4583224320,20555678720,NA,NA,27.0236534992854
"2021-08-31 20:59:10.677611",100,8345075712,6168055808,1857617920,26.1,0,0,0,0,83067539456,21246947328,61803814912,25.6,4583224320,20557542400,NA,NA,28.0237338503202
"2021-08-31 21:00:10.683536",0,8345075712,6170148864,1855508480,26.1,0,0,0,0,83067539456,21246951424,61803810816,25.6,4583224320,20557767680,NA,NA,29.023832599322
"2021-08-31 21:01:10.689740",100,8345075712,6170177536,1855467520,26.1,0,0,0,0,83067539456,21246959616,61803802624,25.6,4583224320,20557931520,NA,NA,30.0239359974861
"2021-08-31 21:02:10.738911",0,8345075712,6170218496,1855455232,26.1,0,0,0,0,83067539456,21246963712,61803798528,25.6,4583224320,20558095360,NA,NA,31.0247555136681
