"currentTime","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalPartition","usedPartition","freePartition","percentagePartition...","total_IO_read","total_IO_write","Time"
"2021-08-26 21:51:11.549919",0,8345075712,6936002560,1089945600,16.9,0,0,0,0,83067539456,20747513856,62303248384,25,4179028992,18419569664,NA,NA,0
"2021-08-26 21:52:11.558886",0,8345075712,6935474176,1090473984,16.9,0,0,0,0,83067539456,20747530240,62303232000,25,4179028992,18419827712,NA,NA,1.00014945268631
"2021-08-26 21:53:11.602925",0,8345075712,6935232512,1090715648,16.9,0,0,0,0,83067539456,20747546624,62303215616,25,4179028992,18420024320,NA,NA,2.000883436203
"2021-08-26 21:54:11.666149",0,8345075712,6935281664,1090666496,16.9,0,0,0,0,83067539456,20747563008,62303199232,25,4179028992,18420212736,NA,NA,3.00193716684977
"2021-08-26 21:55:11.729188",50,8345075712,6935302144,1090650112,16.9,0,0,0,0,83067539456,20747579392,62303182848,25,4179028992,18420409344,NA,NA,4.00298781792323
"2021-08-26 21:56:11.792350",100,8345075712,6935322624,1090629632,16.9,0,0,0,0,83067539456,20747595776,62303166464,25,4179028992,18420610048,NA,NA,5.00404051939646
"2021-08-26 21:57:11.826885",0,8345075712,6935314432,1090637824,16.9,0,0,0,0,83067539456,20747612160,62303150080,25,4179028992,18420810752,NA,NA,6.00461610158284
"2021-08-26 21:58:11.890512",0,8345075712,6935109632,1090842624,16.9,0,0,0,0,83067539456,20747628544,62303133696,25,4179028992,18421011456,NA,NA,7.0056765516599
"2021-08-26 21:59:11.953951",0,8345075712,6935130112,1090822144,16.9,0,0,0,0,83067539456,20747644928,62303117312,25,4179028992,18421203968,NA,NA,8.00673386653264
"2021-08-26 22:00:12.017300",100,8345075712,6935117824,1090830336,16.9,0,0,0,0,83067539456,20747665408,62303096832,25,4179028992,18421400576,NA,NA,9.00778968334198
"2021-08-26 22:01:12.080046",100,8345075712,6935142400,1090809856,16.9,0,0,0,0,83067539456,20747681792,62303080448,25,4179028992,18421593088,NA,NA,10.0088354508082
"2021-08-26 22:02:12.143653",100,8345075712,6935195648,1090756608,16.9,0,0,0,0,83067539456,20747698176,62303064064,25,4179028992,18421789696,NA,NA,11.0098955670993
"2021-08-26 22:03:12.207376",100,8345075712,6935183360,1090764800,16.9,0,0,0,0,83067539456,20747714560,62303047680,25,4179028992,18421969920,NA,NA,12.0109576185544
"2021-08-26 22:04:12.271082",0,8345075712,6935207936,1090744320,16.9,0,0,0,0,83067539456,20747730944,62303031296,25,4179028992,18422166528,NA,NA,13.0120193839073
"2021-08-26 22:05:12.274702",0,8345075712,6935228416,1090723840,16.9,0,0,0,0,83067539456,20747747328,62303014912,25,4179028992,18422363136,NA,NA,14.0120797197024
"2021-08-26 22:06:12.337012",100,8345075712,6935281664,1090670592,16.9,0,0,0,0,83067539456,20747763712,62302998528,25,4179028992,18422572032,NA,NA,15.0131182193756
"2021-08-26 22:07:12.392253",0,8345075712,6935052288,1090899968,16.9,0,0,0,0,83067539456,20747784192,62302978048,25,4179028992,18422760448,NA,NA,16.0140389005343
"2021-08-26 22:08:12.455909",100,8345075712,6935040000,1090908160,16.9,0,0,0,0,83067539456,20747800576,62302961664,25,4179028992,18422957056,NA,NA,17.0150998353958
"2021-08-26 22:09:12.519708",100,8345075712,6935097344,1090854912,16.9,0,0,0,0,83067539456,20747816960,62302945280,25,4179028992,18423161856,NA,NA,18.0161631504695
"2021-08-26 22:10:12.582901",100,8345075712,6935089152,1090863104,16.9,0,0,0,0,83067539456,20747833344,62302928896,25,4179028992,18423354368,NA,NA,19.0172163685163
"2021-08-26 22:11:12.648401",100,8345075712,6935146496,1090805760,16.9,0,0,0,0,83067539456,20747849728,62302912512,25,4179028992,18423550976,NA,NA,20.0183080355326
"2021-08-26 22:12:12.655032",100,8345075712,6935183360,1090768896,16.9,0,0,0,0,83067539456,20747866112,62302896128,25,4179028992,18423739392,NA,NA,21.0184185504913
"2021-08-26 22:13:12.720326",0,8345075712,6935199744,1090752512,16.9,0,0,0,0,83067539456,20747882496,62302879744,25,4179028992,18423915520,NA,NA,22.0195067842801
"2021-08-26 22:14:12.742926",100,8345075712,6935232512,1090719744,16.9,0,0,0,0,83067539456,20747898880,62302863360,25,4179028992,18424112128,NA,NA,23.0198834498723
"2021-08-26 22:15:12.808280",0,8345075712,6935257088,1090695168,16.9,0,0,0,0,83067539456,20747919360,62302842880,25,4179028992,18424316928,NA,NA,24.0209726850192
"2021-08-26 22:16:12.834810",0,8345075712,6935273472,1090670592,16.9,0,0,0,0,83067539456,20747935744,62302826496,25,4179028992,18424513536,NA,NA,25.0214148521423
"2021-08-26 22:17:12.850902",0,8345075712,6934237184,1091715072,16.9,0,0,0,0,83067539456,20747952128,62302810112,25,4179028992,18424800256,NA,NA,26.0216830531756
"2021-08-26 22:18:12.914697",0,8345075712,6934302720,1091649536,16.9,0,0,0,0,83067539456,20747972608,62302789632,25,4179028992,18425254912,NA,NA,27.0227463006973
"2021-08-26 22:19:12.978559",0,8345075712,6934323200,1091629056,16.9,0,0,0,0,83067539456,20747988992,62302773248,25,4179028992,18425455616,NA,NA,28.0238106687864
"2021-08-26 22:20:13.042309",0,8345075712,6934343680,1091608576,16.9,0,0,0,0,83067539456,20748005376,62302756864,25,4179028992,18425644032,NA,NA,29.0248731692632
"2021-08-26 22:21:13.105897",0,8345075712,6934327296,1091624960,16.9,0,0,0,0,83067539456,20748021760,62302740480,25,4179028992,18425840640,NA,NA,30.0259329676628
"2021-08-26 22:22:13.130919",100,8345075712,6934380544,1091571712,16.9,0,0,0,0,83067539456,20748038144,62302724096,25,4179028992,18426086400,NA,NA,31.0263500014941
"2021-08-26 22:23:13.196270",100,8345075712,6934396928,1091551232,16.9,0,0,0,0,83067539456,20748058624,62302703616,25,4179028992,18426283008,NA,NA,32.0274391849836
"2021-08-26 22:24:13.261665",0,8345075712,6934413312,1091534848,16.9,0,0,0,0,83067539456,20748075008,62302687232,25,4179028992,18426479616,NA,NA,33.028529103597
"2021-08-26 22:25:13.325391",100,8345075712,6934175744,1091776512,16.9,0,0,0,0,83067539456,20748091392,62302670848,25,4179028992,18426807296,NA,NA,34.0295912027359
"2021-08-26 22:26:13.388848",100,8345075712,7830634496,195317760,6.2,0,0,0,0,83067539456,20748107776,62302654464,25,4179028992,18426999808,NA,NA,35.0306488196055
