"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","Performance","Platform","Algorithm","Size","Workload"
1,"2021-09-13 20:03:26.147056",1.84131574630737,2.07512831687927,2.07512831687927,0,"times//performance","CLOUD","CNN","128",0.25
2,"2021-09-13 20:03:27.002379",1.8493824005127,1.9951057434082,1.91508316993713,0.0142553806304932,"times//performance","CLOUD","CNN","128",0.25
3,"2021-09-13 20:03:27.723292",1.76051640510559,1.87664254506429,1.63971614837646,0.026270600159963,"times//performance","CLOUD","CNN","128",0.25
4,"2021-09-13 20:03:28.849357",1.73746114969254,1.83927041292191,1.72715401649475,0.0450383464495341,"times//performance","CLOUD","CNN","128",0.25
5,"2021-09-13 20:03:29.572928",1.66214213371277,1.75601887702942,1.42301273345947,0.057097864151001,"times//performance","CLOUD","CNN","128",0.25
6,"2021-09-13 20:03:30.462368",1.5866471529007,1.6745271285375,1.26706838607788,0.0719218651453654,"times//performance","CLOUD","CNN","128",0.25
7,"2021-09-13 20:03:31.832982",1.57092925480434,1.65413631711687,1.53179144859314,0.0947654326756795,"times//performance","CLOUD","CNN","128",0.25
8,"2021-09-13 20:03:32.649848",1.570108294487,1.65013924241066,1.62215971946716,0.108379864692688,"times//performance","CLOUD","CNN","128",0.25
9,"2021-09-13 20:03:33.880904",1.571216556761,1.64897227287292,1.63963651657104,0.12889746427536,"times//performance","CLOUD","CNN","128",0.25
10,"2021-09-13 20:03:34.898231",1.5490341424942,1.62484531402588,1.40770268440247,0.145852915445964,"times//performance","CLOUD","CNN","128",0.25
11,"2021-09-13 20:03:36.307934",1.57181685621088,1.645954023708,1.85704112052917,0.169347965717316,"times//performance","CLOUD","CNN","128",0.25
12,"2021-09-13 20:03:36.986083",1.53226431210836,1.60502245028814,1.15477514266968,0.180650448799133,"times//performance","CLOUD","CNN","128",0.25
13,"2021-09-13 20:03:38.376752",1.52706237939688,1.59828446461604,1.5174286365509,0.203828263282776,"times//performance","CLOUD","CNN","128",0.25
14,"2021-09-13 20:03:39.278670",1.50473405633654,1.57520154544285,1.27512359619141,0.218860232830048,"times//performance","CLOUD","CNN","128",0.25
15,"2021-09-13 20:03:40.828203",1.5146601041158,1.58421891530355,1.71046209335327,0.244685781002045,"times//performance","CLOUD","CNN","128",0.25
16,"2021-09-13 20:03:41.342445",1.51026311516762,1.57882736623287,1.49795413017273,0.253256479899089,"times//performance","CLOUD","CNN","128",0.25
17,"2021-09-13 20:03:42.223840",1.49286706307355,1.56070128609152,1.27068400382996,0.267946398258209,"times//performance","CLOUD","CNN","128",0.25
18,"2021-09-13 20:03:43.796636",1.50243228011661,1.56982447041406,1.72491860389709,0.294159666697184,"times//performance","CLOUD","CNN","128",0.25
19,"2021-09-13 20:03:44.614342",1.51807222868267,1.58477705403378,1.85392355918884,0.307788097858429,"times//performance","CLOUD","CNN","128",0.25
20,"2021-09-13 20:03:45.437538",1.51492552757263,1.58097425699234,1.50872111320496,0.32150803009669,"times//performance","CLOUD","CNN","128",0.25
21,"2021-09-13 20:03:46.266359",1.51212251754034,1.57800283886137,1.51857447624207,0.335321716467539,"times//performance","CLOUD","CNN","128",0.25
22,"2021-09-13 20:03:47.280648",1.50540707328103,1.57073912837289,1.41820120811462,0.352226531505585,"times//performance","CLOUD","CNN","128",0.25
23,"2021-09-13 20:03:48.103559",1.50270475511966,1.56758142554242,1.49811196327209,0.365941715240479,"times//performance","CLOUD","CNN","128",0.25
24,"2021-09-13 20:03:49.136394",1.49645510315895,1.56138609846433,1.41889357566833,0.383155632019043,"times//performance","CLOUD","CNN","128",0.25
25,"2021-09-13 20:03:50.010378",1.48478289604187,1.54936675071716,1.26090240478516,0.397722029685974,"times//performance","CLOUD","CNN","128",0.25
26,"2021-09-13 20:03:51.578083",1.49167576202979,1.5559753546348,1.72119045257568,0.42385044892629,"times//performance","CLOUD","CNN","128",0.25
27,"2021-09-13 20:03:52.400573",1.49061321329187,1.55464522926896,1.52006196975708,0.437558615207672,"times//performance","CLOUD","CNN","128",0.25
28,"2021-09-13 20:03:53.329385",1.48210276876177,1.54593253135681,1.31068968772888,0.453038815657298,"times//performance","CLOUD","CNN","128",0.25
29,"2021-09-13 20:03:54.222127",1.47292213604368,1.53641117030177,1.2698130607605,0.467917847633362,"times//performance","CLOUD","CNN","128",0.25
30,"2021-09-13 20:03:55.458402",1.46827155749003,1.53158977031708,1.39176917076111,0.488522430260976,"times//performance","CLOUD","CNN","128",0.25
