"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","Performance","Platform","Algorithm","Size","Workload"
1,"2021-08-31 15:22:13.758786",0.456467390060425,0.479445695877075,0.479445695877075,0,"times//performance","CLOUD","KNN","8",0.75
2,"2021-08-31 15:22:14.789361",0.444637537002563,0.469922780990601,0.460399866104126,0.0171762506167094,"times//performance","CLOUD","KNN","8",0.75
3,"2021-08-31 15:22:15.806542",0.435346285502116,0.461233139038086,0.443853855133057,0.034129265944163,"times//performance","CLOUD","KNN","8",0.75
4,"2021-08-31 15:22:16.835115",0.433407366275787,0.459509968757629,0.45434045791626,0.0512721498807271,"times//performance","CLOUD","KNN","8",0.75
5,"2021-08-31 15:22:17.853060",0.431586170196533,0.457298803329468,0.448454141616821,0.0682379007339478,"times//performance","CLOUD","KNN","8",0.75
6,"2021-08-31 15:22:18.837384",0.422954201698303,0.448488752047221,0.404438495635986,0.084643300374349,"times//performance","CLOUD","KNN","8",0.75
7,"2021-08-31 15:22:19.858548",0.423498937061855,0.449184588023594,0.453359603881836,0.10166269938151,"times//performance","CLOUD","KNN","8",0.75
8,"2021-08-31 15:22:20.923902",0.429195463657379,0.454466015100479,0.491436004638672,0.119418601195018,"times//performance","CLOUD","KNN","8",0.75
9,"2021-08-31 15:22:21.946302",0.427926037046644,0.453601996103923,0.44668984413147,0.136458599567413,"times//performance","CLOUD","KNN","8",0.75
10,"2021-08-31 15:22:22.979613",0.428083276748657,0.453995847702026,0.457540512084961,0.153680451711019,"times//performance","CLOUD","KNN","8",0.75
11,"2021-08-31 15:22:23.997968",0.427858591079712,0.453874219547619,0.45265793800354,0.170653033256531,"times//performance","CLOUD","KNN","8",0.75
12,"2021-08-31 15:22:25.029829",0.42803688844045,0.454355180263519,0.459645748138428,0.187850717703501,"times//performance","CLOUD","KNN","8",0.75
13,"2021-08-31 15:22:26.052807",0.42830727650569,0.454785750462459,0.459952592849731,0.204900352160136,"times//performance","CLOUD","KNN","8",0.75
14,"2021-08-31 15:22:27.072874",0.427932177271162,0.454237103462219,0.447104692459106,0.221901468435923,"times//performance","CLOUD","KNN","8",0.75
15,"2021-08-31 15:22:28.097560",0.428037246068319,0.454402875900269,0.456723690032959,0.23897956609726,"times//performance","CLOUD","KNN","8",0.75
16,"2021-08-31 15:22:29.118342",0.428090751171112,0.454399272799492,0.454345226287842,0.255992599328359,"times//performance","CLOUD","KNN","8",0.75
17,"2021-08-31 15:22:30.095102",0.424849860808429,0.451032273909625,0.397160291671753,0.27227193514506,"times//performance","CLOUD","KNN","8",0.75
18,"2021-08-31 15:22:31.162915",0.427119255065918,0.452992373042636,0.486314058303833,0.290068817138672,"times//performance","CLOUD","KNN","8",0.75
19,"2021-08-31 15:22:32.190123",0.427221398604544,0.452959173604062,0.452361583709717,0.307188951969147,"times//performance","CLOUD","KNN","8",0.75
20,"2021-08-31 15:22:33.208731",0.426436841487885,0.452334070205688,0.440457105636597,0.324165749549866,"times//performance","CLOUD","KNN","8",0.75
21,"2021-08-31 15:22:34.240810",0.426655576342628,0.452489875611805,0.455605983734131,0.341367065906525,"times//performance","CLOUD","KNN","8",0.75
22,"2021-08-31 15:22:35.254165",0.426408475095576,0.451870268041437,0.438858509063721,0.358256316184998,"times//performance","CLOUD","KNN","8",0.75
23,"2021-08-31 15:22:36.309617",0.426908835120823,0.452532706053361,0.467106342315674,0.375847184658051,"times//performance","CLOUD","KNN","8",0.75
24,"2021-08-31 15:22:37.309216",0.426069110631943,0.451706459124883,0.432702779769897,0.392507167657216,"times//performance","CLOUD","KNN","8",0.75
25,"2021-08-31 15:22:38.337038",0.42605899810791,0.451851615905762,0.455335378646851,0.409637534618378,"times//performance","CLOUD","KNN","8",0.75
26,"2021-08-31 15:22:39.310210",0.424147000679603,0.450001881672786,0.403758525848389,0.425857067108154,"times//performance","CLOUD","KNN","8",0.75
27,"2021-08-31 15:22:40.333187",0.424227882314611,0.449938129495691,0.448280572891235,0.442906685670217,"times//performance","CLOUD","KNN","8",0.75
28,"2021-08-31 15:22:41.412390",0.426085770130157,0.451876154967717,0.504202842712402,0.460893400510152,"times//performance","CLOUD","KNN","8",0.75
29,"2021-08-31 15:22:42.379201",0.424410869335306,0.449936603677684,0.395629167556763,0.477006916205088,"times//performance","CLOUD","KNN","8",0.75
30,"2021-08-31 15:22:43.452872",0.426084160804749,0.451500805219014,0.496862649917603,0.494901434580485,"times//performance","CLOUD","KNN","8",0.75
31,"2021-08-31 15:22:44.472468",0.425880355219687,0.45116779881139,0.441177606582642,0.511894698937734,"times//performance","CLOUD","KNN","8",0.75
32,"2021-08-31 15:22:45.493519",0.425398714840412,0.450691878795624,0.435938358306885,0.528912218411764,"times//performance","CLOUD","KNN","8",0.75
33,"2021-08-31 15:22:46.527374",0.425819353623824,0.451140699964581,0.465502977371216,0.546143134435018,"times//performance","CLOUD","KNN","8",0.75
34,"2021-08-31 15:22:47.547227",0.425489523831536,0.45074883629294,0.437817335128784,0.563140682379405,"times//performance","CLOUD","KNN","8",0.75
35,"2021-08-31 15:22:48.575205",0.425595569610596,0.450848088945661,0.454222679138184,0.580273652076721,"times//performance","CLOUD","KNN","8",0.75
36,"2021-08-31 15:22:49.599921",0.425601171122657,0.450897355874379,0.452621698379517,0.597352250417074,"times//performance","CLOUD","KNN","8",0.75
37,"2021-08-31 15:22:50.614708",0.425431908787908,0.450510405205392,0.436580181121826,0.614265366395314,"times//performance","CLOUD","KNN","8",0.75
38,"2021-08-31 15:22:51.648409",0.425271222465917,0.450406607828642,0.446566104888916,0.631493715445201,"times//performance","CLOUD","KNN","8",0.75
39,"2021-08-31 15:22:52.632017",0.424104904517149,0.449279986895048,0.406468391418457,0.647887182235718,"times//performance","CLOUD","KNN","8",0.75
40,"2021-08-31 15:22:53.799572",0.427873826026916,0.453081852197647,0.601354598999023,0.667346433798472,"times//performance","CLOUD","KNN","8",0.75
41,"2021-08-31 15:22:54.819347",0.427673630598115,0.452848166954227,0.443500757217407,0.684342682361603,"times//performance","CLOUD","KNN","8",0.75
42,"2021-08-31 15:22:55.800339",0.426450377418881,0.451602788198562,0.400542259216309,0.700692550341288,"times//performance","CLOUD","KNN","8",0.75
43,"2021-08-31 15:22:56.868373",0.427321012630019,0.452457910360292,0.488373041152954,0.718493115901947,"times//performance","CLOUD","KNN","8",0.75
44,"2021-08-31 15:22:57.893282",0.427344473925504,0.452466536651958,0.452837467193604,0.735574932893117,"times//performance","CLOUD","KNN","8",0.75
45,"2021-08-31 15:22:58.901704",0.426998202006022,0.452143478393555,0.437928915023804,0.75238196849823,"times//performance","CLOUD","KNN","8",0.75
46,"2021-08-31 15:22:59.940527",0.42743444442749,0.452523853467858,0.469640731811523,0.769695683320363,"times//performance","CLOUD","KNN","8",0.75
47,"2021-08-31 15:23:00.969922",0.427454674497564,0.452669234986001,0.459356784820557,0.78685226837794,"times//performance","CLOUD","KNN","8",0.75
48,"2021-08-31 15:23:01.996593",0.427576844890912,0.452837402621905,0.460741281509399,0.803963450590769,"times//performance","CLOUD","KNN","8",0.75
49,"2021-08-31 15:23:03.010136",0.427481719425746,0.452638630964318,0.443097591400146,0.820855832099915,"times//performance","CLOUD","KNN","8",0.75
50,"2021-08-31 15:23:03.986283",0.426430501937866,0.451616272926331,0.401520729064941,0.837124951680501,"times//performance","CLOUD","KNN","8",0.75
51,"2021-08-31 15:23:05.064405",0.427436225554522,0.452621866674984,0.502901554107666,0.855093650023143,"times//performance","CLOUD","KNN","8",0.75
52,"2021-08-31 15:23:06.086544",0.427339494228363,0.452516395312089,0.447137355804443,0.872129301230113,"times//performance","CLOUD","KNN","8",0.75
53,"2021-08-31 15:23:07.095039",0.427038912503225,0.452229616776952,0.437317132949829,0.888937548796336,"times//performance","CLOUD","KNN","8",0.75
54,"2021-08-31 15:23:08.239113",0.42925375479239,0.454494882512976,0.574553966522217,0.908005452156067,"times//performance","CLOUD","KNN","8",0.75
55,"2021-08-31 15:23:09.252921",0.429245298559015,0.454346080259843,0.446310758590698,0.924902252356211,"times//performance","CLOUD","KNN","8",0.75
56,"2021-08-31 15:23:10.230343",0.428239337035588,0.453380367585591,0.400266170501709,0.941192619005839,"times//performance","CLOUD","KNN","8",0.75
57,"2021-08-31 15:23:11.215153",0.427596832576551,0.45273871170847,0.416805982589722,0.957606116930644,"times//performance","CLOUD","KNN","8",0.75
58,"2021-08-31 15:23:12.228013",0.427515720498973,0.452641762536148,0.447115659713745,0.97448711792628,"times//performance","CLOUD","KNN","8",0.75
59,"2021-08-31 15:23:13.253135",0.427410723799366,0.452537302243508,0.446478605270386,0.991572483380636,"times//performance","CLOUD","KNN","8",0.75
60,"2021-08-31 15:23:14.269607",0.427400855223338,0.452405873934428,0.44465160369873,1.00851368506749,"times//performance","CLOUD","KNN","8",0.75
61,"2021-08-31 15:23:15.302331",0.427261852827229,0.452264695871072,0.443794012069702,1.02572575012843,"times//performance","CLOUD","KNN","8",0.75
62,"2021-08-31 15:23:16.328443",0.427304010237417,0.452326447732987,0.456093311309814,1.0428276181221,"times//performance","CLOUD","KNN","8",0.75
63,"2021-08-31 15:23:17.305279",0.42653178790259,0.451464316201588,0.398012161254883,1.05910821755727,"times//performance","CLOUD","KNN","8",0.75
64,"2021-08-31 15:23:18.381298",0.427081134170294,0.452051483094692,0.489042997360229,1.07704186836878,"times//performance","CLOUD","KNN","8",0.75
65,"2021-08-31 15:23:19.409468",0.427201645190899,0.452253748820378,0.465198755264282,1.09417803287506,"times//performance","CLOUD","KNN","8",0.75
66,"2021-08-31 15:23:20.419403",0.427222324140144,0.452217333244555,0.44985032081604,1.11101028521856,"times//performance","CLOUD","KNN","8",0.75
67,"2021-08-31 15:23:21.448621",0.427253370854392,0.452298000677308,0.457622051239014,1.1281639178594,"times//performance","CLOUD","KNN","8",0.75
68,"2021-08-31 15:23:22.470591",0.427162559593425,0.452233637080473,0.447921276092529,1.14519675175349,"times//performance","CLOUD","KNN","8",0.75
69,"2021-08-31 15:23:23.493637",0.427188938942508,0.45226187982421,0.454182386398315,1.16224751869837,"times//performance","CLOUD","KNN","8",0.75
70,"2021-08-31 15:23:24.460625",0.426497207369123,0.451495960780552,0.398647546768188,1.17836398283641,"times//performance","CLOUD","KNN","8",0.75
71,"2021-08-31 15:23:25.548288",0.427167687617557,0.452237095631344,0.504116535186768,1.19649170239766,"times//performance","CLOUD","KNN","8",0.75
72,"2021-08-31 15:23:26.514111",0.426438904470868,0.451446761687597,0.395333051681519,1.21258875131607,"times//performance","CLOUD","KNN","8",0.75
73,"2021-08-31 15:23:27.572904",0.426943148652168,0.451912517416967,0.485446929931641,1.23023530244827,"times//performance","CLOUD","KNN","8",0.75
74,"2021-08-31 15:23:28.604987",0.427045306643924,0.451930635684245,0.453253269195557,1.24743668238322,"times//performance","CLOUD","KNN","8",0.75
75,"2021-08-31 15:23:29.621943",0.426885693868001,0.451764933268229,0.439502954483032,1.26438595056534,"times//performance","CLOUD","KNN","8",0.75
76,"2021-08-31 15:23:30.665047",0.427042616041083,0.451958282997734,0.466459512710571,1.28177101612091,"times//performance","CLOUD","KNN","8",0.75
77,"2021-08-31 15:23:31.688450",0.426980675040901,0.451938944977599,0.450469255447388,1.29882773558299,"times//performance","CLOUD","KNN","8",0.75
78,"2021-08-31 15:23:32.711598",0.427030948492197,0.452007000262921,0.457247257232666,1.31588019927343,"times//performance","CLOUD","KNN","8",0.75
79,"2021-08-31 15:23:33.832519",0.428320435029042,0.45326699184466,0.551546335220337,1.33456221818924,"times//performance","CLOUD","KNN","8",0.75
80,"2021-08-31 15:23:34.906171",0.428288999199867,0.453275361657143,0.453936576843262,1.3524564186732,"times//performance","CLOUD","KNN","8",0.75
81,"2021-08-31 15:23:35.926897",0.428209475529047,0.453210760045935,0.448042631149292,1.3694685180982,"times//performance","CLOUD","KNN","8",0.75
82,"2021-08-31 15:23:37.010528",0.428953377211966,0.453964352607727,0.515005350112915,1.38752903540929,"times//performance","CLOUD","KNN","8",0.75
83,"2021-08-31 15:23:38.008695",0.428522224885872,0.453549721154822,0.419549942016602,1.40416514873505,"times//performance","CLOUD","KNN","8",0.75
84,"2021-08-31 15:23:38.987205",0.427926844074613,0.452949955349877,0.403169393539429,1.42047365109126,"times//performance","CLOUD","KNN","8",0.75
85,"2021-08-31 15:23:40.245093",0.430692327723784,0.455734841963824,0.6896653175354,1.44143845240275,"times//performance","CLOUD","KNN","8",0.75
86,"2021-08-31 15:23:41.223770",0.430051459822544,0.455107705537663,0.401801109313965,1.45774973233541,"times//performance","CLOUD","KNN","8",0.75
87,"2021-08-31 15:23:42.191896",0.429483315040325,0.454488195222,0.401210308074951,1.47388516664505,"times//performance","CLOUD","KNN","8",0.75
88,"2021-08-31 15:23:43.381449",0.431253010576422,0.456282417882573,0.612379789352417,1.49371105035146,"times//performance","CLOUD","KNN","8",0.75
89,"2021-08-31 15:23:44.358885",0.430700002091654,0.455733569820275,0.407434940338135,1.51000165144602,"times//performance","CLOUD","KNN","8",0.75
90,"2021-08-31 15:23:45.334783",0.43012707763248,0.455162951681349,0.404377937316895,1.52626661856969,"times//performance","CLOUD","KNN","8",0.75
91,"2021-08-31 15:23:46.332445",0.429820555907029,0.454873847437429,0.428854465484619,1.5428943157196,"times//performance","CLOUD","KNN","8",0.75
92,"2021-08-31 15:23:47.352419",0.429732097231823,0.45478736317676,0.446917295455933,1.55989388227463,"times//performance","CLOUD","KNN","8",0.75
93,"2021-08-31 15:23:48.342732",0.429243321059853,0.454311963050596,0.410575151443481,1.57639909982681,"times//performance","CLOUD","KNN","8",0.75
94,"2021-08-31 15:23:49.402552",0.429578106454078,0.454655581332268,0.48661208152771,1.59406276543935,"times//performance","CLOUD","KNN","8",0.75
