imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-07-08 18:05:03.827180,68.86126041412354,69.7504768371582,0:00:00.888734
2,2021-07-08 18:05:04.083104,69.28009414672852,69.83568215370178,0:00:00.221587
3,2021-07-08 18:05:04.333671,69.46792149543762,69.91180737813313,0:00:00.220094
4,2021-07-08 18:05:04.582496,69.59617954492569,69.98411673307419,0:00:00.219781
5,2021-07-08 18:05:05.084788,69.70333657264709,70.10591225624084,0:00:00.460453
6,2021-07-08 18:05:05.326650,69.83876502513885,70.20925609270732,0:00:00.209792
7,2021-07-08 18:05:05.569759,69.95433671133858,70.30225999014718,0:00:00.212213
8,2021-07-08 18:05:05.841108,70.05861273407936,70.39252522587776,0:00:00.235553
9,2021-07-08 18:05:06.092579,70.15698790550232,70.47838354110718,0:00:00.220797
10,2021-07-08 18:05:06.333215,70.24943106174469,70.55997688770294,0:00:00.212573
11,2021-07-08 18:05:06.587046,70.33841026913036,70.63996076583862,0:00:00.211318
12,2021-07-08 18:05:06.859943,70.42425950368245,70.720199406147,0:00:00.233579
13,2021-07-08 18:05:07.116050,70.5089925802671,70.79939526778001,0:00:00.223415
14,2021-07-08 18:05:07.378965,70.59244266578129,70.87839765208108,0:00:00.227517
15,2021-07-08 18:05:07.617708,70.67468247413635,70.95549869537354,0:00:00.208203
16,2021-07-08 18:05:07.880333,70.75494900345802,71.03242142498493,0:00:00.227002
17,2021-07-08 18:05:08.131625,70.83493406632367,71.10867556403664,0:00:00.213719
18,2021-07-08 18:05:08.381844,70.91322957144843,71.18415433830685,0:00:00.222506
19,2021-07-08 18:05:08.624637,70.9908282631322,71.25881734647248,0:00:00.214777
20,2021-07-08 18:05:08.874160,71.0671776175499,71.33290708065033,0:00:00.222216
21,2021-07-08 18:05:09.128576,71.14309351784843,71.40678328559513,0:00:00.222238
22,2021-07-08 18:05:09.373879,71.21920369971882,71.4803280396895,0:00:00.206547
23,2021-07-08 18:05:09.655530,71.29566106588945,71.55474071917327,0:00:00.213824
24,2021-07-08 18:05:10.026366,71.37661583224933,71.63388390342395,0:00:00.215291
25,2021-07-08 18:05:10.326124,71.45877805709839,71.71429681777954,0:00:00.213260
26,2021-07-08 18:05:10.569966,71.53982384388263,71.79369461536407,0:00:00.210640
27,2021-07-08 18:05:10.917571,71.62337712005332,71.87602203863638,0:00:00.220472
28,2021-07-08 18:05:11.253991,71.70941029276166,71.96051291908536,0:00:00.209177
29,2021-07-08 18:05:11.599470,71.79754600031623,72.04725989802131,0:00:00.210544
