currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-07-09 17:24:03.031978,10.3,2.6,2.7,1.7,60.0,3979698176,3353333760,507924480,15.7,53592064,649814016,104853504,104853504,0,0.0,15379681280,10966642688,3736301568,74.6,264289280,30773248,233516032,11.6,609511936,43246592
2021-07-09 17:25:03.111613,5.2,2.9,3.2,2.6,60.0,3979698176,3307360256,553922560,16.9,53608448,649814016,104853504,104853504,0,0.0,15379681280,10966642688,3736301568,74.6,264289280,30773248,233516032,11.6,609511936,43287552
2021-07-09 17:26:03.184168,56.7,30.8,12.9,23.2,100.0,3979698176,3233013760,623611904,18.8,53690368,654708736,104853504,104853504,0,0.0,15379681280,10966667264,3736276992,74.6,264289280,30773248,233516032,11.6,609733120,43574272
2021-07-09 17:27:03.199937,24.3,18.9,10.8,98.5,100.0,3979698176,3231019008,623960064,18.8,53780480,656392192,104853504,104853504,0,0.0,15379681280,10966704128,3736240128,74.6,264289280,30773248,233516032,11.6,609733120,43906048
2021-07-09 17:28:03.269961,35.3,24.5,33.4,56.7,75.0,3979698176,3231662080,623337472,18.8,53882880,656416768,104853504,104853504,0,0.0,15379681280,10966749184,3736195072,74.6,264289280,30773248,233516032,11.6,609733120,44278784
2021-07-09 17:29:03.340479,20.3,22.6,40.0,68.4,0.0,3979698176,3230687232,625348608,18.8,53981184,655417344,104853504,104853504,0,0.0,15379681280,10966786048,3736158208,74.6,264289280,30773248,233516032,11.6,609733120,44598272
2021-07-09 17:30:03.410834,26.1,18.3,86.6,19.9,66.7,3979698176,3230576640,624406528,18.8,54071296,656502784,104853504,104853504,0,0.0,15379681280,10966814720,3736129536,74.6,264289280,30773248,233516032,11.6,609733120,44897280
2021-07-09 17:31:03.478781,19.8,89.7,23.8,15.3,50.0,3979698176,3230670848,624300032,18.8,54169600,656564224,104853504,104853504,0,0.0,15379681280,10966847488,3736096768,74.6,264289280,30773248,233516032,11.6,609733120,45237248
2021-07-09 17:32:03.548769,23.1,25.3,23.2,78.3,50.0,3979698176,3231297536,624721920,18.8,54259712,655548416,104853504,104853504,0,0.0,15379681280,10966884352,3736059904,74.6,264289280,30773248,233516032,11.6,609733120,45646848
2021-07-09 17:33:03.619159,20.9,18.1,90.0,21.9,50.0,3979698176,3229659136,625283072,18.8,54358016,656666624,104853504,104853504,0,0.0,15379681280,10966921216,3736023040,74.6,264289280,30773248,233516032,11.6,609733120,45986816
2021-07-09 17:34:03.654361,24.6,15.4,98.7,12.6,66.7,3979698176,3229249536,626757632,18.9,54448128,655618048,104853504,104853504,0,0.0,15379681280,10966958080,3735986176,74.6,264289280,30773248,233516032,11.6,609733120,46265344
2021-07-09 17:35:03.726702,8.9,28.4,97.2,17.0,50.0,3979698176,3229368320,626585600,18.9,54546432,655749120,104853504,104853504,0,0.0,15379681280,10966999040,3735945216,74.6,264289280,30773248,233516032,11.6,609733120,46593024
2021-07-09 17:36:03.764888,98.6,8.5,21.7,17.0,50.0,3979698176,3229925376,626040832,18.8,54644736,655753216,104853504,104853504,0,0.0,15379681280,10967035904,3735908352,74.6,264289280,30773248,233516032,11.6,609733120,46949376
2021-07-09 17:37:03.835099,73.0,16.8,21.2,36.5,50.0,3979698176,3229609984,625307648,18.8,54743040,656834560,104853504,104853504,0,0.0,15379681280,10967064576,3735879680,74.6,264289280,30773248,233516032,11.6,609733120,47375360
2021-07-09 17:38:03.899133,20.1,22.7,10.1,98.5,50.0,3979698176,3228282880,627650560,18.9,54833152,655876096,104853504,104853504,0,0.0,15379681280,10967097344,3735846912,74.6,264289280,30773248,233516032,11.6,609733120,47682560
2021-07-09 17:39:03.919264,22.2,17.2,14.7,97.3,66.7,3979698176,3229057024,626896896,18.9,54931456,655880192,104853504,104853504,0,0.0,15379681280,10967126016,3735818240,74.6,264289280,30773248,233516032,11.6,609733120,48043008
2021-07-09 17:40:03.987370,15.0,22.2,22.1,91.6,100.0,3979698176,3229286400,625639424,18.9,55021568,656941056,104853504,104853504,0,0.0,15379681280,10967162880,3735781376,74.6,264289280,30773248,233516032,11.6,609733120,48518144
2021-07-09 17:41:04.053930,45.7,23.9,20.0,60.3,50.0,3979698176,3228741632,627208192,18.9,55119872,655953920,104853504,104853504,0,0.0,15379681280,10967199744,3735744512,74.6,264289280,30773248,233516032,11.6,609733120,48882688
2021-07-09 17:42:04.125585,22.6,89.8,18.1,17.8,66.7,3979698176,3229544448,626405376,18.8,55218176,656003072,104853504,104853504,0,0.0,15379681280,10967244800,3735699456,74.6,264289280,30773248,233516032,11.6,609733120,49243136
2021-07-09 17:43:04.195928,22.9,39.9,19.6,67.4,0.0,3979698176,3228917760,625963008,18.9,55308288,657108992,104853504,104853504,0,0.0,15379681280,10967281664,3735662592,74.6,264289280,30773248,233516032,11.6,609733120,49538048
2021-07-09 17:44:04.265895,16.7,17.1,20.2,96.9,50.0,3979698176,3227054080,628883456,18.9,55406592,656089088,104853504,104853504,0,0.0,15379681280,10967306240,3735638016,74.6,264289280,30773248,233516032,11.6,609733120,49898496
2021-07-09 17:45:04.336471,58.6,17.9,19.9,51.7,0.0,3979698176,3227811840,628113408,18.9,55504896,656130048,104853504,104853504,0,0.0,15379681280,10967343104,3735601152,74.6,264289280,30773248,233516032,11.6,609733120,50185216
2021-07-09 17:46:04.404645,19.1,14.6,30.6,86.4,50.0,3979698176,3227070464,627814400,18.9,55595008,657219584,104853504,104853504,0,0.0,15379681280,10967379968,3735564288,74.6,264289280,30773248,233516032,11.6,609733120,50557952
2021-07-09 17:47:04.475023,21.9,17.9,97.6,13.5,0.0,3979698176,3227754496,628170752,18.9,55693312,656207872,104853504,104853504,0,0.0,15379681280,10967416832,3735527424,74.6,264289280,30773248,233516032,11.6,609733120,50988032
