imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-07-12 15:14:32.226008,75.65265011787415,75.81663346290588,0:00:00.163523
2,2021-07-12 15:14:32.329279,75.72974646091461,75.86231541633606,0:00:00.100941
3,2021-07-12 15:14:32.431751,75.7842682202657,75.90637175242107,0:00:00.100950
4,2021-07-12 15:14:32.536036,75.83561849594116,75.9529345035553,0:00:00.102723
5,2021-07-12 15:14:32.638595,75.8846755027771,75.99878697395324,0:00:00.101029
6,2021-07-12 15:14:32.740629,75.93018837769826,76.04207662741344,0:00:00.100548
7,2021-07-12 15:14:32.842891,75.97614186150687,76.08646443911961,0:00:00.100701
8,2021-07-12 15:14:32.945374,76.02076169848442,76.12993890047073,0:00:00.100932
9,2021-07-12 15:14:33.047408,76.06563316451178,76.17387098736233,0:00:00.100498
10,2021-07-12 15:14:33.149609,76.10982580184937,76.21733355522156,0:00:00.100709
11,2021-07-12 15:14:33.251805,76.15373745831576,76.26064749197526,0:00:00.100709
12,2021-07-12 15:14:33.354908,76.19751391808192,76.3040003379186,0:00:00.101598
13,2021-07-12 15:14:33.458862,76.24110065973721,76.34729431225703,0:00:00.102453
14,2021-07-12 15:14:33.560773,76.28487135682788,76.39068332740239,0:00:00.100625
15,2021-07-12 15:14:33.662866,76.32910103797913,76.43459005355835,0:00:00.100736
16,2021-07-12 15:14:33.766141,76.37349332869053,76.47877731919289,0:00:00.101978
17,2021-07-12 15:14:33.868362,76.41785444932826,76.5228960794561,0:00:00.100934
18,2021-07-12 15:14:33.970488,76.46249161826239,76.56731071737077,0:00:00.100806
19,2021-07-12 15:14:34.072568,76.50733051801983,76.61194960694564,0:00:00.100790
20,2021-07-12 15:14:34.174372,76.55139540433883,76.65581859350205,0:00:00.100472
21,2021-07-12 15:14:34.277998,76.59577904428754,76.70011117344811,0:00:00.102285
22,2021-07-12 15:14:34.380827,76.63984301957217,76.74405831640416,0:00:00.101539
23,2021-07-12 15:14:34.485378,76.68406518645908,76.78824527367301,0:00:00.103185
24,2021-07-12 15:14:34.588269,76.72816615303357,76.83224704861641,0:00:00.101575
25,2021-07-12 15:14:34.691328,76.77221398353576,76.8762119102478,0:00:00.101748
26,2021-07-12 15:14:34.793761,76.81622246595529,76.9201196707212,0:00:00.101151
27,2021-07-12 15:14:34.896138,76.86002480542219,76.96382631195917,0:00:00.101088
28,2021-07-12 15:14:34.998360,76.90367639916283,77.00738378082004,0:00:00.100908
29,2021-07-12 15:14:35.102059,76.94691179538596,77.05058245823301,0:00:00.102413
30,2021-07-12 15:14:35.204169,76.99022129376729,77.09380517800649,0:00:00.100844
31,2021-07-12 15:14:35.306820,77.03374055124098,77.13726022935683,0:00:00.101334
32,2021-07-12 15:14:35.408505,77.0774045214057,77.18083381652832,0:00:00.100396
33,2021-07-12 15:14:35.510331,77.12105050953951,77.2243979699684,0:00:00.100496
34,2021-07-12 15:14:35.612167,77.16465362380532,77.2679243999369,0:00:00.100514
35,2021-07-12 15:14:35.714700,77.20804518972125,77.31126486233302,0:00:00.101175
36,2021-07-12 15:14:35.817827,77.25151358710394,77.35470138655768,0:00:00.101845
37,2021-07-12 15:14:35.919904,77.29496014440382,77.39808958929939,0:00:00.100759
38,2021-07-12 15:14:36.022953,77.33846466792257,77.44156418976031,0:00:00.101765
39,2021-07-12 15:14:36.126794,77.38186781834334,77.48495933948419,0:00:00.102560
40,2021-07-12 15:14:36.228875,77.42532472014427,77.52836199402809,0:00:00.100680
41,2021-07-12 15:14:36.330799,77.46890850764949,77.57188960982532,0:00:00.100499
42,2021-07-12 15:14:36.434293,77.51250825609479,77.61547502449581,0:00:00.102139
43,2021-07-12 15:14:36.537054,77.55593803317048,77.65887539885765,0:00:00.101434
44,2021-07-12 15:14:36.638986,77.59957485849208,77.70246423916383,0:00:00.100550
45,2021-07-12 15:14:36.740940,77.6432478957706,77.74609294997322,0:00:00.100667
46,2021-07-12 15:14:36.842575,77.68695609984191,77.78975081962088,0:00:00.100302
47,2021-07-12 15:14:36.947155,77.73049661453734,77.83330640894302,0:00:00.103273
48,2021-07-12 15:14:37.050214,77.77417292694251,77.87696555256844,0:00:00.101762
49,2021-07-12 15:14:37.152409,77.8177605989028,77.92051963416897,0:00:00.100922
50,2021-07-12 15:14:37.255416,77.86138990879058,77.96413120746612,0:00:00.101651
51,2021-07-12 15:14:37.369460,77.90514393413768,78.007857280619,0:00:00.101037
52,2021-07-12 15:14:37.471585,77.94889600460345,78.05157682528862,0:00:00.100794
53,2021-07-12 15:14:37.573860,77.99264083718354,78.0952940796906,0:00:00.100989
54,2021-07-12 15:14:37.675898,78.03636323964155,78.13898530271318,0:00:00.100736
55,2021-07-12 15:14:37.778952,78.08002321936867,78.18263398950751,0:00:00.101776
56,2021-07-12 15:14:37.880636,78.1236960036414,78.22627136962754,0:00:00.100401
57,2021-07-12 15:14:37.982748,78.1673054318679,78.26985328657585,0:00:00.100777
58,2021-07-12 15:14:38.085730,78.21102925415697,78.3135664833003,0:00:00.101705
59,2021-07-12 15:14:38.190141,78.2548310312174,78.35738125089871,0:00:00.103063
60,2021-07-12 15:14:38.292732,78.29843537807464,78.40096868276596,0:00:00.101313
61,2021-07-12 15:14:38.394668,78.34213603910852,78.44464118363427,0:00:00.100593
62,2021-07-12 15:14:38.496480,78.38586078920672,78.48833770136679,0:00:00.100528
63,2021-07-12 15:14:38.598363,78.42962374006,78.53207307391696,0:00:00.100502
64,2021-07-12 15:14:38.699915,78.47328185662627,78.5757006406784,0:00:00.100267
65,2021-07-12 15:14:38.803502,78.51692797954266,78.6193484379695,0:00:00.102253
66,2021-07-12 15:14:38.906780,78.56054350462827,78.66296015724991,0:00:00.101943
67,2021-07-12 15:14:39.008544,78.60419014674514,78.70658003750133,0:00:00.100372
68,2021-07-12 15:14:39.111817,78.64779974783168,78.75018497074352,0:00:00.101802
69,2021-07-12 15:14:39.214691,78.69142507470173,78.79379960765009,0:00:00.101398
70,2021-07-12 15:14:39.318500,78.73501549788884,78.83739425114223,0:00:00.102439
71,2021-07-12 15:14:39.421664,78.77870192662091,78.88107684968223,0:00:00.101881
72,2021-07-12 15:14:39.525772,78.82248297995991,78.92486726906564,0:00:00.102820
73,2021-07-12 15:14:39.627720,78.86612089039528,78.9684846531855,0:00:00.100657
74,2021-07-12 15:14:39.730901,78.90985751796413,79.01221804361086,0:00:00.101898
75,2021-07-12 15:14:39.832796,78.953603626887,79.05594394048055,0:00:00.100615
76,2021-07-12 15:14:39.934746,78.99728961367356,79.09961036945644,0:00:00.100625
77,2021-07-12 15:14:40.036747,79.04100854365856,79.14331148197124,0:00:00.100720
78,2021-07-12 15:14:40.138538,79.08467175410344,79.18695340095422,0:00:00.100413
79,2021-07-12 15:14:40.240619,79.12830135792116,79.23056708106512,0:00:00.100747
80,2021-07-12 15:14:40.342549,79.17190427184104,79.27415200173854,0:00:00.100596
81,2021-07-12 15:14:40.444506,79.21549105055539,79.31772205859055,0:00:00.100671
82,2021-07-12 15:14:40.547369,79.25907839798346,79.36130366965038,0:00:00.101523
83,2021-07-12 15:14:40.652153,79.3026611546436,79.40490448331258,0:00:00.103500
84,2021-07-12 15:14:40.754216,79.34623925458817,79.44846789609818,0:00:00.100749
85,2021-07-12 15:14:40.856383,79.3898145759807,79.4920300399556,0:00:00.100881
86,2021-07-12 15:14:40.958430,79.43349776157113,79.53569846097813,0:00:00.100714
87,2021-07-12 15:14:41.060413,79.47721139041857,79.5793973851478,0:00:00.100696
88,2021-07-12 15:14:41.162242,79.52078503099355,79.62295433878899,0:00:00.100486
