imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-07-20 20:03:54.139076,29.129344701766968,29.156599521636963,0:00:00.026646
2,2021-07-20 20:03:54.170687,28.89492166042328,28.92100155353546,0:00:00.024033
3,2021-07-20 20:03:54.204508,28.659523804982502,28.685470740000408,0:00:00.024845
4,2021-07-20 20:03:54.252652,28.422616362571716,28.449815690517426,0:00:00.030307
5,2021-07-20 20:03:54.277712,28.18400893211365,28.208990335464478,0:00:00.015182
6,2021-07-20 20:03:54.316725,27.94616671403249,27.972747564315796,0:00:00.033536
7,2021-07-20 20:03:54.368683,27.703237976346696,27.732627153396606,0:00:00.036684
8,2021-07-20 20:03:54.435607,27.47046858072281,27.50319281220436,0:00:00.055567
9,2021-07-20 20:03:54.516989,27.24031326505873,27.276285515891182,0:00:00.056783
10,2021-07-20 20:03:54.589613,27.01334309577942,27.052386975288393,0:00:00.065657
11,2021-07-20 20:03:54.692767,26.7885619727048,26.828930963169444,0:00:00.052627
12,2021-07-20 20:03:54.773718,26.568174699942272,26.609414617220562,0:00:00.049702
13,2021-07-20 20:03:54.869660,26.34881723844088,26.392779662058903,0:00:00.075546
14,2021-07-20 20:03:54.967236,26.131555489131383,26.178069983209884,0:00:00.078828
15,2021-07-20 20:03:55.113687,25.915495506922404,25.96697694460551,0:00:00.115595
16,2021-07-20 20:03:55.203313,25.703679516911507,25.756951302289963,0:00:00.079616
17,2021-07-20 20:03:55.329379,25.49294656865737,25.549315831240484,0:00:00.105468
18,2021-07-20 20:03:55.448406,25.2821298705207,25.34108720885383,0:00:00.101002
19,2021-07-20 20:03:55.581468,25.074686200995195,25.136588322488887,0:00:00.114452
20,2021-07-20 20:03:55.716651,24.8689169049263,24.93314689397812,0:00:00.107844
21,2021-07-20 20:03:55.829018,24.660729919161117,24.725354262760707,0:00:00.064171
22,2021-07-20 20:03:55.976644,24.45659589767456,24.523034583438527,0:00:00.104029
23,2021-07-20 20:03:56.139458,24.25511676332225,24.324711084365845,0:00:00.138479
24,2021-07-20 20:03:56.320067,24.0560678144296,24.12825381755829,0:00:00.131334
25,2021-07-20 20:03:56.480127,23.859328899383545,23.934500522613526,0:00:00.130342
26,2021-07-20 20:03:56.664369,23.664648156899673,23.742473299686726,0:00:00.134395
27,2021-07-20 20:03:56.872658,23.472279054147226,23.55322436933164,0:00:00.150458
28,2021-07-20 20:03:56.976884,23.2829019512449,23.364535306181228,0:00:00.099729
29,2021-07-20 20:03:57.111357,23.09335126547978,23.17589831352234,0:00:00.107587
30,2021-07-20 20:03:57.234062,22.90424591700236,22.987316044171653,0:00:00.097821
31,2021-07-20 20:03:57.360726,22.71549544026775,22.798639082139537,0:00:00.084898
32,2021-07-20 20:03:57.471538,22.526099115610123,22.60917654633522,0:00:00.080541
33,2021-07-20 20:03:57.637167,22.336490551630657,22.421025399005774,0:00:00.130724
34,2021-07-20 20:03:57.773938,22.147567061816943,22.233287937500897,0:00:00.124356
35,2021-07-20 20:03:57.915202,21.959892763410295,22.04607310976301,0:00:00.101307
36,2021-07-20 20:03:58.023569,21.772032605277168,21.858131249745686,0:00:00.066333
37,2021-07-20 20:03:58.163712,21.583935995359678,21.67042294708458,0:00:00.099992
38,2021-07-20 20:03:58.323834,21.39591035717412,21.4835084802226,0:00:00.128228
39,2021-07-20 20:03:58.492448,21.20869828493167,21.29706094815181,0:00:00.116956
40,2021-07-20 20:03:58.639111,21.022029089927674,21.111685693264008,0:00:00.139661
41,2021-07-20 20:03:58.839308,20.835827001711216,20.927497235740102,0:00:00.171723
42,2021-07-20 20:03:59.068926,20.651692242849442,20.745033179010665,0:00:00.161385
43,2021-07-20 20:03:59.307003,20.469270794890647,20.56522830696993,0:00:00.191375
44,2021-07-20 20:03:59.565883,20.28957507827065,20.388451066884127,0:00:00.223934
45,2021-07-20 20:03:59.848935,20.112238534291585,20.21367022726271,0:00:00.213432
46,2021-07-20 20:04:00.072993,19.9371169909187,20.04114001730214,0:00:00.220122
47,2021-07-20 20:04:00.385236,19.764138891341837,19.87186820963596,0:00:00.241567
48,2021-07-20 20:04:00.645860,19.593555336197216,19.704404150446255,0:00:00.257037
49,2021-07-20 20:04:00.935424,19.42595336875137,19.53946000702527,0:00:00.233278
50,2021-07-20 20:04:01.231542,19.261001710891723,19.377027640342714,0:00:00.238774
51,2021-07-20 20:04:01.584955,19.098560711916754,19.217233316571104,0:00:00.250472
52,2021-07-20 20:04:01.892622,18.938225934138664,19.059463931963993,0:00:00.251622
53,2021-07-20 20:04:02.115584,18.780159693843913,18.903124737289716,0:00:00.212306
54,2021-07-20 20:04:02.500305,18.623870699493974,18.74989911803493,0:00:00.287735
55,2021-07-20 20:04:02.771604,18.470102032748137,18.59870532209223,0:00:00.267215
56,2021-07-20 20:04:03.196363,18.318978241511754,18.450271257332393,0:00:00.266605
57,2021-07-20 20:04:03.401751,18.170662516041805,18.3027363367248,0:00:00.156056
58,2021-07-20 20:04:03.653639,18.02287067216018,18.156107544898987,0:00:00.179970
59,2021-07-20 20:04:04.010849,17.876172958794285,18.012095261428314,0:00:00.268101
60,2021-07-20 20:04:04.475260,17.731736759344738,17.872140793005624,0:00:00.404395
61,2021-07-20 20:04:05.008552,17.591400169935383,17.73595533996332,0:00:00.393122
62,2021-07-20 20:04:05.267789,17.45495661227934,17.601308891850135,0:00:00.255530
63,2021-07-20 20:04:05.700390,17.32010985934545,17.468134653000604,0:00:00.251301
64,2021-07-20 20:04:05.884282,17.18806217610836,17.335526201874018,0:00:00.086442
65,2021-07-20 20:04:06.065282,17.054799736463107,17.202324214348426,0:00:00.148713
66,2021-07-20 20:04:06.235536,16.921501434210576,17.068196137746174,0:00:00.057777
