"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"5.20","2021-07-21 18:55:41.788246",35.3,20,0,12.5,50,3979698176,3636826112,223178752,8.6,16084992,270082048,104853504,2576384,102277120,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125028482560,195363840,0
2,"4.00","2021-07-21 18:55:42.298576",10.2,13.7,2,8,50,3979698176,3634405376,223346688,8.7,16084992,272494592,104853504,2617344,102236160,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125028511232,195363840,0.00850550333658854
3,"4.30","2021-07-21 18:55:42.808236",11.8,5.9,13.5,28,0,3979698176,3628314624,228507648,8.8,16642048,274001920,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125029613056,195363840,0.0169998327891032
4,"4.40","2021-07-21 18:55:43.318343",2,3.9,7.8,7.7,100,3979698176,3634688000,229412864,8.7,16642048,268709888,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125031742976,195363840,0.0255016167958577
5,"4.50","2021-07-21 18:55:43.838425",18.5,13.5,17.3,36.5,66.7,3979698176,3630632960,233619456,8.8,16666624,269897728,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125032996352,195363840,0.0341696500778198
6,"4.50","2021-07-21 18:55:44.352249",0,7.7,9.8,23.5,0,3979698176,3629125632,236687360,8.8,16707584,269627392,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125034483200,195363840,0.0427333831787109
7,"4.30","2021-07-21 18:55:44.861638",3.8,5.9,7.8,6.3,0,3979698176,3629789184,238784512,8.8,16846848,268423168,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125036047872,195363840,0.0512232025464376
8,"3.60","2021-07-21 18:55:45.377400",4,4,7.7,30.2,50,3979698176,3627462656,240906240,8.9,17526784,269492224,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125037669888,195363840,0.059819233417511
9,"3.60","2021-07-21 18:55:45.894237",5.9,3.9,8,14,50,3979698176,3626209280,242343936,8.9,17543168,271118336,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125039529472,195363840,0.0684331854184469
10,NA,"2021-07-21 18:55:46.404155",2,5.9,11.8,15.4,33.3,3979698176,3624714240,243789824,8.9,17559552,273027072,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125041212928,195363840,0.0769318183263143
