"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","ClassificationTime","Platform","Algorithm","Size","Workload"
1,"2021-07-21 19:47:06.816810",13.0779228210449,13.1106326580048,"0:00:00.032090",0,0.03209,"EDGE","CNN","8",0.1
2,"2021-07-21 19:47:06.849098",12.0093294382095,12.0389754772186,"0:00:00.025996",0.000538134574890137,0.025996,"EDGE","CNN","8",0.1
3,"2021-07-21 19:47:06.886114",11.6146647135417,11.6448342005412,"0:00:00.030221",0.00115506649017334,0.030221,"EDGE","CNN","8",0.1
4,"2021-07-21 19:47:06.939441",11.4086955189705,11.4431313872337,"0:00:00.046476",0.00204385121663411,0.046476,"EDGE","CNN","8",0.1
5,"2021-07-21 19:47:06.990573",11.27014503479,11.3057589530945,"0:00:00.039689",0.00289605061213175,0.039689,"EDGE","CNN","8",0.1
6,"2021-07-21 19:47:07.058940",11.1663953860601,11.2048066457113,"0:00:00.049992",0.00403550068537394,0.049992,"EDGE","CNN","8",0.1
7,"2021-07-21 19:47:07.172001",11.0894296169281,11.136636189052,"0:00:00.092674",0.00591984987258911,0.092674,"EDGE","CNN","8",0.1
8,"2021-07-21 19:47:07.247903",11.0295242369175,11.078657835722,"0:00:00.062142",0.00718488693237305,0.062142,"EDGE","CNN","8",0.1
9,"2021-07-21 19:47:07.325095",10.9793884224362,11.0295260217455,"0:00:00.057725",0.00847141742706299,0.057725,"EDGE","CNN","8",0.1
10,"2021-07-21 19:47:07.401968",10.9330008029938,10.9837905406952,"0:00:00.056200",0.00975263516108195,0.0562,"EDGE","CNN","8",0.1
11,"2021-07-21 19:47:07.479932",10.8947176716544,10.9457931735299,"0:00:00.053457",0.0110520362854004,0.053457,"EDGE","CNN","8",0.1
12,"2021-07-21 19:47:07.588885",10.8564395507177,10.9111132423083,"0:00:00.093855",0.0128679196039836,0.093855,"EDGE","CNN","8",0.1
13,"2021-07-21 19:47:07.708347",10.8266844566052,10.8847306691683,"0:00:00.098100",0.0148589531580607,0.0981,"EDGE","CNN","8",0.1
14,"2021-07-21 19:47:07.828277",10.8006598779133,10.8624937023435,"0:00:00.110633",0.0168577869733175,0.110633,"EDGE","CNN","8",0.1
15,"2021-07-21 19:47:07.942623",10.777266963323,10.841382821401,"0:00:00.080375",0.0187635501225789,0.080375,"EDGE","CNN","8",0.1
16,"2021-07-21 19:47:08.090981",10.7590467780828,10.825097233057,"0:00:00.091261",0.0212361852327983,0.091261,"EDGE","CNN","8",0.1
17,"2021-07-21 19:47:08.274526",10.7457926694085,10.8171961167279,"0:00:00.139995",0.0242952664693197,0.139995,"EDGE","CNN","8",0.1
18,"2021-07-21 19:47:08.414523",10.7378789716297,10.8113672468397,"0:00:00.107886",0.0266285498936971,0.107886,"EDGE","CNN","8",0.1
19,"2021-07-21 19:47:08.575010",10.73358115397,10.8086732061286,"0:00:00.091216",0.0293033361434937,0.091216,"EDGE","CNN","8",0.1
20,"2021-07-21 19:47:08.764942",10.732214152813,10.8105596542358,"0:00:00.135177",0.0324688673019409,0.135177,"EDGE","CNN","8",0.1
21,"2021-07-21 19:47:08.904291",10.7328725315276,10.8135377338954,"0:00:00.126637",0.0347913503646851,0.126637,"EDGE","CNN","8",0.1
