currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-06-29 17:34:21.954037,2.3,3.1,3.4,20.1,50.0,3979698176,3363188736,497397760,15.5,60551168,625934336,104853504,104853504,0,0.0,15379681280,12246958080,2455986176,83.3,264289280,30773248,233516032,11.6,588569088,64664576
2021-06-29 17:35:21.981473,3.1,2.2,2.7,2.0,50.0,3979698176,3352825856,507768832,15.8,60567552,625934336,104853504,104853504,0,0.0,15379681280,12246958080,2455986176,83.3,264289280,30773248,233516032,11.6,588569088,64713728
2021-06-29 17:36:22.049538,11.0,14.9,17.5,78.8,0.0,3979698176,3312386048,543494144,16.8,60649472,630697984,104853504,104853504,0,0.0,15379681280,12246982656,2455961600,83.3,264289280,30773248,233516032,11.6,588569088,65020928
2021-06-29 17:37:22.122241,22.4,18.3,78.6,30.7,66.7,3979698176,3307204608,547065856,16.9,60739584,632328192,104853504,104853504,0,0.0,15379681280,12247019520,2455924736,83.3,264289280,30773248,233516032,11.6,588569088,65278976
2021-06-29 17:38:22.142056,24.1,75.1,18.2,34.2,50.0,3979698176,3306217472,549109760,16.9,60841984,631312384,104853504,104853504,0,0.0,15379681280,12247068672,2455875584,83.3,264289280,30773248,233516032,11.6,588569088,65610752
2021-06-29 17:39:22.161881,75.6,36.2,21.1,16.2,50.0,3979698176,3303284736,550969344,17.0,60948480,632442880,104853504,104853504,0,0.0,15379681280,12247105536,2455838720,83.3,264289280,30773248,233516032,11.6,588569088,66266112
2021-06-29 17:40:22.231077,67.5,18.3,23.9,40.1,50.0,3979698176,3299803136,555503616,17.1,61038592,631406592,104853504,104853504,0,0.0,15379681280,12247134208,2455810048,83.3,264289280,30773248,233516032,11.6,588569088,66569216
2021-06-29 17:41:22.300010,23.2,29.8,20.5,79.2,50.0,3979698176,3296296960,556843008,17.2,61136896,633634816,104853504,104853504,0,0.0,15379681280,12247171072,2455773184,83.3,264289280,30773248,233516032,11.6,588569088,66900992
2021-06-29 17:42:22.371017,24.2,20.2,9.2,98.4,50.0,3979698176,3293085696,561676288,17.3,61235200,632020992,104853504,104853504,0,0.0,15379681280,12247203840,2455740416,83.3,264289280,30773248,233516032,11.6,588569088,67265536
2021-06-29 17:43:22.441920,33.2,8.6,48.4,61.0,50.0,3979698176,3292184576,560971776,17.3,61325312,633675776,104853504,104853504,0,0.0,15379681280,12247240704,2455703552,83.3,264289280,30773248,233516032,11.6,588569088,67572736
2021-06-29 17:44:22.511287,22.4,47.8,15.5,65.3,50.0,3979698176,3289772032,564420608,17.3,61423616,632684544,104853504,104853504,0,0.0,15379681280,12247277568,2455666688,83.3,264289280,30773248,233516032,11.6,588569088,67875840
2021-06-29 17:45:22.582409,23.2,52.9,55.2,20.1,50.0,3979698176,3286237184,566910976,17.4,61521920,633790464,104853504,104853504,0,0.0,15379681280,12247322624,2455621632,83.3,264289280,30773248,233516032,11.6,588569088,68203520
2021-06-29 17:46:22.598947,23.5,15.8,92.8,17.4,50.0,3979698176,3284545536,569655296,17.5,61612032,632754176,104853504,104853504,0,0.0,15379681280,12247359488,2455584768,83.3,264289280,30773248,233516032,11.6,588569088,68523008
2021-06-29 17:47:22.670729,24.6,36.1,65.3,24.3,50.0,3979698176,3281797120,571346944,17.5,61710336,633909248,104853504,104853504,0,0.0,15379681280,12247384064,2455560192,83.3,264289280,30773248,233516032,11.6,588569088,68871168
2021-06-29 17:48:22.742423,16.2,92.6,22.1,21.5,50.0,3979698176,3279339520,574828544,17.6,61800448,632922112,104853504,104853504,0,0.0,15379681280,12247420928,2455523328,83.3,264289280,30773248,233516032,11.6,588569088,69219328
2021-06-29 17:49:22.809352,25.2,68.7,15.1,43.2,0.0,3979698176,3276980224,577167360,17.7,61898752,633024512,104853504,104853504,0,0.0,15379681280,12247457792,2455486464,83.3,264289280,30773248,233516032,11.6,588569088,69559296
2021-06-29 17:50:22.880919,19.1,98.1,14.6,19.6,50.0,3979698176,3274997760,578097152,17.7,61997056,634081280,104853504,104853504,0,0.0,15379681280,12247494656,2455449600,83.3,264289280,30773248,233516032,11.6,588569088,69858304
2021-06-29 17:51:22.953942,13.7,76.1,42.0,20.1,50.0,3979698176,3271376896,582758400,17.8,62087168,633077760,104853504,104853504,0,0.0,15379681280,12247535616,2455408640,83.3,264289280,30773248,233516032,11.6,588569088,70198272
2021-06-29 17:52:23.018239,25.7,52.0,10.9,63.0,50.0,3979698176,3268153344,584937472,17.9,62185472,634155008,104853504,104853504,0,0.0,15379681280,12247572480,2455371776,83.3,264289280,30773248,233516032,11.6,588569088,70513664
2021-06-29 17:53:23.090869,67.5,47.7,17.0,16.5,50.0,3979698176,3265970176,588173312,17.9,62283776,633143296,104853504,104853504,0,0.0,15379681280,12247613440,2455330816,83.3,264289280,30773248,233516032,11.6,588569088,70923264
2021-06-29 17:54:23.161750,17.2,94.9,26.6,13.4,0.0,3979698176,3264094208,589889536,18.0,62373888,633348096,104853504,104853504,0,0.0,15379681280,12247650304,2455293952,83.3,264289280,30773248,233516032,11.6,588569088,71197696
2021-06-29 17:55:23.229535,21.8,98.6,12.6,18.9,66.7,3979698176,3262234624,590848000,18.0,62472192,634277888,104853504,104853504,0,0.0,15379681280,12247678976,2455265280,83.3,264289280,30773248,233516032,11.6,588569088,71525376
2021-06-29 17:56:23.277528,35.7,75.3,23.3,17.2,50.0,3979698176,3260088320,594018304,18.1,62562304,633298944,104853504,104853504,0,0.0,15379681280,12247715840,2455228416,83.3,264289280,30773248,233516032,11.6,588569088,71808000
2021-06-29 17:57:23.352773,41.4,54.6,22.2,32.1,66.7,3979698176,3256545280,596631552,18.2,62660608,634286080,104853504,104853504,0,0.0,15379681280,12247752704,2455191552,83.3,264289280,30773248,233516032,11.6,588569088,72221696
2021-06-29 17:58:23.421547,48.4,60.6,26.1,15.2,50.0,3979698176,3252404224,601661440,18.3,62750720,633466880,104853504,104853504,0,0.0,15379681280,12247785472,2455158784,83.3,264289280,30773248,233516032,11.6,588569088,72659968
2021-06-29 17:59:23.441198,18.5,92.5,20.9,19.9,66.7,3979698176,3250442240,602578944,18.3,62849024,634540032,104853504,104853504,0,0.0,15379681280,12247822336,2455121920,83.3,264289280,30773248,233516032,11.6,588569088,72971264
2021-06-29 18:00:23.514375,22.9,95.5,12.2,21.0,66.7,3979698176,3249033216,605036544,18.4,62939136,633503744,104853504,104853504,0,0.0,15379681280,12247859200,2455085056,83.3,264289280,30773248,233516032,11.6,588569088,73282560
2021-06-29 18:01:23.587810,22.2,51.2,59.5,17.9,60.0,3979698176,3245481984,607526912,18.4,63037440,634621952,104853504,104853504,0,0.0,15379681280,12247904256,2455040000,83.3,264289280,30773248,233516032,11.6,588569088,73597952
2021-06-29 18:02:23.603402,13.9,18.4,98.2,18.4,100.0,3979698176,3243274240,610779136,18.5,63127552,633602048,104853504,104853504,0,0.0,15379681280,12247941120,2455003136,83.3,264289280,30773248,233516032,11.6,588569088,73905152
2021-06-29 18:03:23.653820,18.4,98.4,16.9,17.7,50.0,3979698176,3240615936,612401152,18.6,63225856,634675200,104853504,104853504,0,0.0,15379681280,12247969792,2454974464,83.3,264289280,30773248,233516032,11.6,588569088,74187776
2021-06-29 18:04:23.728236,24.6,68.6,13.5,45.4,66.7,3979698176,3239440384,613576704,18.6,63315968,634712064,104853504,104853504,0,0.0,15379681280,12248006656,2454937600,83.3,264289280,30773248,233516032,11.6,588569088,74503168
