currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-07-02 18:28:26.171008,1.3,6.2,8.2,2.8,50.0,3979698176,1928077312,1933926400,51.6,35528704,1964318720,104853504,101707776,3145728,3.0,15379681280,12285747200,2417197056,83.6,264289280,30773248,233516032,11.6,2617141760,31958016
2021-07-02 18:29:26.229802,1.3,2.3,1.8,1.4,50.0,3979698176,1926168576,1935839232,51.6,35545088,1964318720,104853504,101707776,3145728,3.0,15379681280,12285751296,2417192960,83.6,264289280,30773248,233516032,11.6,2617141760,31998976
2021-07-02 18:30:26.299852,8.7,53.0,7.9,12.3,50.0,3979698176,1919950848,1935781888,51.8,31621120,1968865280,104853504,101707776,3145728,3.0,15379681280,12285759488,2417184768,83.6,264289280,30773248,233516032,11.6,2617276928,32138240
2021-07-02 18:31:26.325541,12.5,53.9,21.0,16.4,66.7,3979698176,1920602112,1936121856,51.7,31723520,1967935488,104853504,101707776,3145728,3.0,15379681280,12285784064,2417160192,83.6,264289280,30773248,233516032,11.6,2617281024,32388096
2021-07-02 18:32:26.398816,13.7,17.0,23.7,11.8,50.0,3979698176,1921007616,1935720448,51.7,31817728,1968017408,104853504,101707776,3145728,3.0,15379681280,12285800448,2417143808,83.6,264289280,30773248,233516032,11.6,2617281024,32629760
2021-07-02 18:33:26.457033,15.8,12.6,23.1,13.7,0.0,3979698176,1920049152,1936220160,51.8,31907840,1968427008,104853504,101707776,3145728,3.0,15379681280,12285808640,2417135616,83.6,264289280,30773248,233516032,11.6,2617281024,32896000
2021-07-02 18:34:26.525552,12.1,15.9,23.3,12.8,100.0,3979698176,1921753088,1934434304,51.7,31997952,1968574464,104853504,101707776,3145728,3.0,15379681280,12285816832,2417127424,83.6,264289280,30773248,233516032,11.6,2617281024,33141760
2021-07-02 18:35:26.595065,12.9,20.4,17.7,14.2,66.7,3979698176,1921249280,1933893632,51.7,32079872,1969582080,104853504,101707776,3145728,3.0,15379681280,12285829120,2417115136,83.6,264289280,30773248,233516032,11.6,2617281024,33379328
2021-07-02 18:36:26.635221,17.1,16.9,18.0,14.1,0.0,3979698176,1920819200,1935360000,51.7,32464896,1971052544,104853504,101707776,3145728,3.0,15379681280,12285845504,2417098752,83.6,264289280,30773248,233516032,11.6,2619996672,33993728
2021-07-02 18:37:26.693257,10.8,13.0,19.8,19.3,60.0,3979698176,1922854912,1934991360,51.7,32559104,1969520640,104853504,101707776,3145728,3.0,15379681280,12285857792,2417086464,83.6,264289280,30773248,233516032,11.6,2620189184,34272256
2021-07-02 18:38:26.740217,13.3,18.5,19.3,12.9,0.0,3979698176,1922797568,1934942208,51.7,32649216,1969618944,104853504,101707776,3145728,3.0,15379681280,12285857792,2417086464,83.6,264289280,30773248,233516032,11.6,2620189184,34567168
2021-07-02 18:39:26.787245,17.1,14.9,17.0,15.0,50.0,3979698176,1923051520,1934766080,51.7,32739328,1969565696,104853504,101707776,3145728,3.0,15379681280,12285874176,2417070080,83.6,264289280,30773248,233516032,11.6,2620189184,34776064
2021-07-02 18:40:26.799367,12.2,13.3,24.4,15.2,50.0,3979698176,1922342912,1935466496,51.7,32833536,1969577984,104853504,101707776,3145728,3.0,15379681280,12285878272,2417065984,83.6,264289280,30773248,233516032,11.6,2620193280,35066880
2021-07-02 18:41:26.867185,16.5,15.7,17.5,15.5,50.0,3979698176,1921486848,1935212544,51.7,32931840,1970765824,104853504,101707776,3145728,3.0,15379681280,12285902848,2417041408,83.6,264289280,30773248,233516032,11.6,2620193280,35333120
2021-07-02 18:42:26.944664,14.0,17.5,21.4,13.6,75.0,3979698176,1919873024,1936293888,51.8,30167040,1967931392,104853504,101707776,3145728,3.0,15379681280,12285898752,2417045504,83.6,264289280,30773248,233516032,11.6,2620193280,35656704
2021-07-02 18:43:27.008015,15.6,14.8,17.4,18.9,66.7,3979698176,1920299008,1934815232,51.7,30257152,1969061888,104853504,101707776,3145728,3.0,15379681280,12285915136,2417029120,83.6,264289280,30773248,233516032,11.6,2620197376,35886080
2021-07-02 18:44:27.080034,14.0,12.6,20.9,16.6,50.0,3979698176,1919561728,1935548416,51.8,30347264,1969012736,104853504,101707776,3145728,3.0,15379681280,12285923328,2417020928,83.6,264289280,30773248,233516032,11.6,2620197376,36164608
2021-07-02 18:45:27.150073,13.9,12.9,21.3,17.5,50.0,3979698176,1920245760,1935917056,51.7,30437376,1968037888,104853504,101707776,3145728,3.0,15379681280,12285947904,2416996352,83.6,264289280,30773248,233516032,11.6,2620197376,36459520
2021-07-02 18:46:27.219534,14.3,17.9,17.6,14.0,33.3,3979698176,1920270336,1935892480,51.7,30527488,1967972352,104853504,101707776,3145728,3.0,15379681280,12285947904,2416996352,83.6,264289280,30773248,233516032,11.6,2620197376,36729856
2021-07-02 18:47:27.261504,16.8,11.4,25.6,11.4,50.0,3979698176,1921155072,1935003648,51.7,30617600,1967996928,104853504,101707776,3145728,3.0,15379681280,12285960192,2416984064,83.6,264289280,30773248,233516032,11.6,2620197376,36996096
2021-07-02 18:48:27.333658,11.9,12.3,22.8,17.8,0.0,3979698176,1920503808,1935659008,51.7,30699520,1968001024,104853504,101707776,3145728,3.0,15379681280,12285968384,2416975872,83.6,264289280,30773248,233516032,11.6,2620197376,37213184
2021-07-02 18:49:27.355568,17.1,12.0,21.9,12.9,33.3,3979698176,1921089536,1935060992,51.7,30789632,1968025600,104853504,101707776,3145728,3.0,15379681280,12285980672,2416963584,83.6,264289280,30773248,233516032,11.6,2620197376,37495808
2021-07-02 18:50:27.417285,15.7,13.6,17.6,16.6,66.7,3979698176,1921511424,1934643200,51.7,30879744,1968095232,104853504,101707776,3145728,3.0,15379681280,12285997056,2416947200,83.6,264289280,30773248,233516032,11.6,2620197376,37721088
2021-07-02 18:51:27.489841,17.5,14.9,21.7,12.9,0.0,3979698176,1921028096,1934073856,51.7,30969856,1969090560,104853504,101707776,3145728,3.0,15379681280,12285997056,2416947200,83.6,264289280,30773248,233516032,11.6,2620197376,38028288
2021-07-02 18:52:27.551319,14.7,15.5,21.0,12.4,50.0,3979698176,1920421888,1935204352,51.7,31059968,1968644096,104853504,101707776,3145728,3.0,15379681280,12286017536,2416926720,83.6,264289280,30773248,233516032,11.6,2620197376,38233088
2021-07-02 18:53:27.603145,16.3,9.6,21.6,17.5,0.0,3979698176,1919131648,1935958016,51.8,31150080,1969123328,104853504,101707776,3145728,3.0,15379681280,12286017536,2416926720,83.6,264289280,30773248,233516032,11.6,2620197376,38548480
2021-07-02 18:54:27.640870,16.1,14.0,15.9,20.5,50.0,3979698176,1920565248,1934524416,51.7,31240192,1969143808,104853504,101707776,3145728,3.0,15379681280,12286038016,2416906240,83.6,264289280,30773248,233516032,11.6,2620197376,38786048
2021-07-02 18:55:27.715203,15.0,19.9,19.8,10.2,0.0,3979698176,1919107072,1935970304,51.8,31330304,1969156096,104853504,101707776,3145728,3.0,15379681280,12286038016,2416906240,83.6,264289280,30773248,233516032,11.6,2620197376,39126016
2021-07-02 18:56:27.784114,12.5,13.5,20.9,14.5,50.0,3979698176,1922310144,1935544320,51.7,31420416,1966395392,104853504,101707776,3145728,3.0,15379681280,12286054400,2416889856,83.6,264289280,30773248,233516032,11.6,2620197376,39429120
2021-07-02 18:57:27.851300,15.6,15.2,22.2,11.2,33.3,3979698176,1922211840,1935626240,51.7,31510528,1966481408,104853504,101707776,3145728,3.0,15379681280,12286066688,2416877568,83.6,264289280,30773248,233516032,11.6,2620197376,39748608
2021-07-02 18:58:27.927134,15.6,13.0,21.2,16.8,66.7,3979698176,1920962560,1935790080,51.7,31600640,1967517696,104853504,101707776,3145728,3.0,15379681280,12286074880,2416869376,83.6,264289280,30773248,233516032,11.6,2620197376,40100864
2021-07-02 18:59:28.012852,14.5,11.1,20.6,18.9,75.0,3979698176,1922187264,1933520896,51.7,31690752,1968631808,104853504,101707776,3145728,3.0,15379681280,12286087168,2416857088,83.6,264289280,30773248,233516032,11.6,2620197376,40432640
2021-07-02 19:00:28.083351,14.2,16.0,23.8,12.2,50.0,3979698176,1921454080,1935298560,51.7,31780864,1967538176,104853504,101707776,3145728,3.0,15379681280,12286095360,2416848896,83.6,264289280,30773248,233516032,11.6,2620197376,40682496
2021-07-02 19:01:28.154037,15.6,13.3,22.4,14.1,66.7,3979698176,1920585728,1935085568,51.7,31870976,1968693248,104853504,101707776,3145728,3.0,15379681280,12286111744,2416832512,83.6,264289280,30773248,233516032,11.6,2620197376,40956928
2021-07-02 19:02:28.230788,15.6,11.1,21.2,14.3,80.0,3979698176,1920335872,1935335424,51.7,31952896,1968652288,104853504,101707776,3145728,3.0,15379681280,12286128128,2416816128,83.6,264289280,30773248,233516032,11.6,2620197376,41219072
