currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-06-29 18:13:53.778149,1.9,11.1,7.0,9.0,33.3,3979698176,2734993408,1126031360,31.3,63893504,1166700544,104853504,104853504,0,0.0,15379681280,12248199168,2454745088,83.3,264289280,30773248,233516032,11.6,1127713280,76592128
2021-06-29 18:14:53.860994,1.3,2.7,2.7,1.8,50.0,3979698176,2730967040,1130078208,31.4,63909888,1166704640,104853504,104853504,0,0.0,15379681280,12248199168,2454745088,83.3,264289280,30773248,233516032,11.6,1127713280,76645376
2021-06-29 18:15:53.885231,5.4,61.2,11.8,16.2,33.3,3979698176,2725445632,1129857024,31.5,63967232,1172459520,104853504,104853504,0,0.0,15379681280,12248215552,2454728704,83.3,264289280,30773248,233516032,11.6,1127721472,76829696
2021-06-29 18:16:53.952432,17.9,67.5,8.3,25.6,50.0,3979698176,2728161280,1128210432,31.4,64065536,1171427328,104853504,104853504,0,0.0,15379681280,12248256512,2454687744,83.3,264289280,30773248,233516032,11.6,1127721472,77120512
2021-06-29 18:17:54.023977,15.7,19.9,19.4,18.3,66.7,3979698176,2726985728,1129320448,31.5,64163840,1171525632,104853504,104853504,0,0.0,15379681280,12248281088,2454663168,83.3,264289280,30773248,233516032,11.6,1127721472,77702144
2021-06-29 18:18:54.097908,16.7,23.0,18.2,14.7,100.0,3979698176,2728656896,1127092224,31.4,64262144,1172123648,104853504,104853504,0,0.0,15379681280,12248305664,2454638592,83.3,264289280,30773248,233516032,11.6,1127721472,78095360
2021-06-29 18:19:54.166332,14.3,18.9,20.7,19.3,66.7,3979698176,2725679104,1128984576,31.5,64352256,1173237760,104853504,104853504,0,0.0,15379681280,12248326144,2454618112,83.3,264289280,30773248,233516032,11.6,1127721472,78468096
2021-06-29 18:20:54.235408,14.0,22.6,18.7,17.2,0.0,3979698176,2726555648,1128112128,31.5,64442368,1173245952,104853504,104853504,0,0.0,15379681280,12248342528,2454601728,83.3,264289280,30773248,233516032,11.6,1127721472,79008768
2021-06-29 18:21:54.300430,14.7,25.1,20.0,12.9,50.0,3979698176,2725642240,1127972864,31.5,64532480,1174327296,104853504,104853504,0,0.0,15379681280,12248358912,2454585344,83.3,264289280,30773248,233516032,11.6,1127721472,79545344
2021-06-29 18:22:54.368557,18.0,20.8,18.5,14.6,0.0,3979698176,2726543360,1128120320,31.5,64630784,1173307392,104853504,104853504,0,0.0,15379681280,12248383488,2454560768,83.3,264289280,30773248,233516032,11.6,1127721472,79848448
