"Tempo","Watt"
"44376.56467737","3.00"
"44376.56537182","3.10"
"44376.56606626","3.30"
"44376.56676071","4.60"
"44376.56745515","4.70"
"44376.56814959","3.40"
"44376.56884404","4.80"
"44376.56953848","4.80"
"44376.57023293","4.80"
"44376.57092737","4.70"
"44376.57162182","4.70"
"44376.57231626","4.70"
"44376.57301071","4.70"
"44376.57370515","4.70"
"44376.57439959","4.70"
"44376.57509404","4.40"
"44376.57578848","4.50"
"44376.57648293","4.60"
"44376.57717737","4.50"
"44376.57787182","4.60"
"44376.57856626","4.60"
"44376.57926071","4.70"
"44376.57995515","4.70"
"44376.58064959","4.70"
"44376.58134404","4.70"
"44376.58203848","4.70"
"44376.58273293","4.60"
"44376.58342737","4.70"
"44376.58412182","4.70"
"44376.58481626","4.70"
"44376.58551071","4.70"
"44376.58620515","4.70"
"44376.58689959","4.70"
"44376.58759404","4.70"
