"Tempo","Watt"
"44376.59592737","3.70"
"44376.59662182","4.10"
"44376.59731626","5.50"
"44376.59801071","5.60"
"44376.59870515","5.60"
"44376.59939959","5.60"
"44376.60009404","5.60"
"44376.60078848","5.60"
"44376.60148293","5.60"
"44376.60217737","5.50"
"44376.60287182","5.60"
"44376.60356626","5.50"
"44376.60426071","5.60"
"44376.60495515","5.60"
"44376.60564959","5.50"
"44376.60634404","5.60"
"44376.60703848","5.60"
"44376.60773293","5.60"
"44376.60842737","5.70"
"44376.60912182","5.70"
"44376.60981626","5.60"
"44376.61051071","5.60"
"44376.61120515","5.60"
"44376.61189959","5.60"
"44376.61259404","5.60"
"44376.61328848","5.60"
"44376.61398293","5.60"
"44376.61467737","5.60"
"44376.61537182","5.60"
"44376.61606626","5.70"
"44376.61676071","5.60"
"44376.61745515","5.70"
"44376.61814959","5.60"
"44376.61884404","5.60"
