"Tempo","Watt"
"44376.59523293","3.80"
"44376.59592737","4.00"
"44376.59662182","4.90"
"44376.59731626","5.00"
"44376.59801071","4.90"
"44376.59870515","4.90"
"44376.59939959","4.90"
"44376.60009404","4.90"
"44376.60078848","4.90"
"44376.60148293","4.90"
"44376.60217737","5.00"
"44376.60287182","5.00"
"44376.60356626","5.00"
"44376.60426071","4.90"
"44376.60495515","5.00"
"44376.60564959","4.90"
"44376.60634404","4.90"
"44376.60703848","4.90"
"44376.60773293","5.00"
"44376.60842737","5.00"
"44376.60912182","5.00"
"44376.60981626","5.00"
"44376.61051071","5.00"
"44376.61120515","5.00"
"44376.61189959","4.90"
"44376.61259404","4.80"
"44376.61328848","4.80"
"44376.61398293","4.90"
"44376.61467737","4.90"
"44376.61537182","4.80"
"44376.61606626","4.80"
"44376.61676071","4.80"
"44376.61745515","4.80"
"44376.61814959","5.00"
