"Tempo","Watt"
"44376.54523293","3.60"
"44376.54592737","3.80"
"44376.54662182","3.80"
"44376.54731626","3.70"
"44376.54801071","3.70"
"44376.54870515","3.80"
"44376.54939959","3.80"
"44376.55009404","3.60"
"44376.55078848","3.80"
"44376.55148293","3.80"
"44376.55217737","3.80"
"44376.55287182","3.70"
"44376.55356626","3.70"
"44376.55426071","3.80"
"44376.55495515","3.80"
"44376.55564959","3.70"
"44376.55634404","3.80"
"44376.55703848","3.80"
"44376.55773293","3.70"
"44376.55842737","3.80"
"44376.55912182","3.60"
"44376.55981626","3.70"
"44376.56051071","3.70"
"44376.56120515","3.30"
"44376.56189959","3.70"
"44376.56259404","3.80"
"44376.56328848","3.70"
"44376.56398293","3.60"
"44376.56467737","3.70"
"44376.56537182","3.70"
"44376.56606626","3.70"
"44376.56676071","3.70"
"44376.56745515","3.70"
"44376.56814959","3.70"
