"Tempo","Watt"
"44376.53134404","3.20"
"44376.53203848","3.30"
"44376.53273293","3.40"
"44376.53342737","3.90"
"44376.53412182","4.20"
"44376.53481626","4.10"
"44376.53551071","4.40"
"44376.53620515","4.40"
"44376.53689959","3.80"
"44376.53759404","3.80"
"44376.53828848","3.90"
"44376.53898293","3.80"
"44376.53967737","3.90"
"44376.54037182","3.90"
"44376.54106626","3.90"
"44376.54176071","3.80"
"44376.54245515","3.80"
"44376.54314959","3.90"
"44376.54384404","3.80"
"44376.54453848","3.80"
"44376.54523293","3.80"
"44376.54592737","3.80"
"44376.54662182","3.80"
"44376.54731626","3.90"
"44376.54801071","3.90"
"44376.54870515","3.90"
"44376.54939959","3.90"
"44376.55009404","3.80"
"44376.55078848","3.90"
"44376.55148293","3.90"
"44376.55217737","3.80"
"44376.55287182","3.90"
"44376.55356626","3.90"
"44376.55426071","3.90"
