"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"3.00","2021-06-30 14:38:08.837257",0.9,2.5,13,1.9,33.3,3979698176,2742132736,1119023104,31.1,52404224,1211150336,104853504,104853504,0,0,15379681280,12274774016,2428170240,83.5,264289280,30773248,233516032,11.6,1170737664,36639744,0
2,"3.20","2021-06-30 14:39:08.916511",2.9,2.1,2,1.2,50,3979698176,2733125632,1128026112,31.3,52420608,1211150336,104853504,104853504,0,0,15379681280,12274774016,2428170240,83.5,264289280,30773248,233516032,11.6,1170737664,36680704,1.00132090250651
3,"4.00","2021-06-30 14:40:08.990587",13.6,7.5,77.4,24,66.7,3979698176,2724462592,1130930176,31.5,52494336,1216851968,104853504,104853504,0,0,15379681280,12274798592,2428145664,83.5,264289280,30773248,233516032,11.6,1170737664,36905984,2.00255550146103
4,"4.30","2021-06-30 14:41:09.059507",17.9,8.5,100,30.2,66.7,3979698176,2723164160,1132232704,31.6,52592640,1216897024,104853504,104853504,0,0,15379681280,12274839552,2428104704,83.5,264289280,30773248,233516032,11.6,1170737664,37217280,3.00370416641235
5,"4.30","2021-06-30 14:42:09.099972",9,21.2,99.9,25.9,50,3979698176,2723209216,1132183552,31.6,52703232,1216954368,104853504,104853504,0,0,15379681280,12274892800,2428051456,83.5,264289280,30773248,233516032,11.6,1170737664,37864448,4.0043785850207
6,"4.20","2021-06-30 14:43:09.172308",20,29.7,100,7.6,100,3979698176,2722865152,1132552192,31.6,52801536,1217118208,104853504,104853504,0,0,15379681280,12274946048,2427998208,83.5,264289280,30773248,233516032,11.6,1170737664,38188032,5.00558418432871
7,"4.20","2021-06-30 14:44:09.243896",19,31,100,7,66.7,3979698176,2723061760,1131737088,31.6,52908032,1217597440,104853504,104853504,0,0,15379681280,12274982912,2427961344,83.5,264289280,30773248,233516032,11.6,1170737664,38528000,6.00677731831868
8,"4.40","2021-06-30 14:45:09.267755",29,22,100,7.5,0,3979698176,2723209216,1131634688,31.6,53014528,1217650688,104853504,104853504,0,0,15379681280,12275032064,2427912192,83.5,264289280,30773248,233516032,11.6,1170737664,38892544,7.00717496871948
9,"4.30","2021-06-30 14:46:09.313638",24.4,25.7,100,7.2,50,3979698176,2722516992,1132318720,31.6,53112832,1217712128,104853504,104853504,0,0,15379681280,12275073024,2427871232,83.5,264289280,30773248,233516032,11.6,1170737664,39248896,8.00793968439102
10,"4.30","2021-06-30 14:47:09.331093",18.8,31.2,100,7.2,100,3979698176,2722877440,1131982848,31.6,53227520,1217802240,104853504,104853504,0,0,15379681280,12275130368,2427813888,83.5,264289280,30773248,233516032,11.6,1170737664,39597056,9.00823060274124
11,"4.30","2021-06-30 14:48:09.399385",27.2,22.5,100,8,66.7,3979698176,2721423360,1132269568,31.6,53325824,1218949120,104853504,104853504,0,0,15379681280,12275167232,2427777024,83.5,264289280,30773248,233516032,11.6,1170737664,39924736,10.0093688011169
12,"4.30","2021-06-30 14:49:09.419931",27.8,21.1,100,9.1,66.7,3979698176,2721480704,1132240896,31.6,53432320,1218985984,104853504,104853504,0,0,15379681280,12275212288,2427731968,83.5,264289280,30773248,233516032,11.6,1170737664,40289280,11.0097112337748
13,"4.30","2021-06-30 14:50:09.475442",27.1,20.4,100,10.6,50,3979698176,2721996800,1131741184,31.6,53538816,1219031040,104853504,104853504,0,0,15379681280,12275257344,2427686912,83.5,264289280,30773248,233516032,11.6,1170737664,40653824,12.010636417071
