"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"3.70","2021-07-06 10:40:58.840208",2.6,4.9,9,0.7,40,3979698176,2734419968,1134977024,31.3,53084160,1244508160,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219229184,22734848,0
2,"3.60","2021-07-06 10:41:58.922970",0.1,0.2,0,0,50,3979698176,2733932544,1135476736,31.3,53100544,1244606464,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219233280,22779904,1.00137936671575
3,"3.70","2021-07-06 10:42:59.005094",0.2,0,0,0.2,60,3979698176,2733948928,1135464448,31.3,53125120,1244610560,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219233280,22837248,2.00274809996287
4,"3.70","2021-07-06 10:43:59.086952",0.1,0.1,0.1,0,50,3979698176,2733969408,1135443968,31.3,53141504,1244631040,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219233280,22882304,3.00411239862442
5,"3.60","2021-07-06 10:44:59.169128",0,0,0.1,0.1,50,3979698176,2734227456,1135169536,31.3,53157888,1244631040,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219233280,22923264,4.00548199812571
6,"3.60","2021-07-06 10:45:59.251914",0.1,0,0,0.2,60,3979698176,2734260224,1135144960,31.3,53174272,1244655616,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219233280,22964224,5.0068617661794
7,"3.60","2021-07-06 10:46:59.334061",0.1,0.1,0,0.1,57.1,3979698176,2734501888,1134886912,31.3,53190656,1244655616,104853504,104853504,0,0,15379681280,13009219584,1693724672,88.5,264289280,30773248,233516032,11.6,1219233280,23005184,6.00823088089625
8,"3.60","2021-07-06 10:47:59.406176",0.2,0.1,0.1,0,40,3979698176,2734276608,1135124480,31.3,53223424,1244676096,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23099392,7.00943280061086
9,"3.60","2021-07-06 10:48:59.488269",0.2,0.1,0.3,0.1,50,3979698176,2733752320,1135648768,31.3,53248000,1244692480,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23443456,8.01080101728439
10,"3.60","2021-07-06 10:49:59.570432",0.1,0.1,0.1,0,50,3979698176,2734022656,1135382528,31.3,53264384,1244684288,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23484416,9.01217039823532
11,"3.60","2021-07-06 10:50:59.630988",0,0.1,0,0.1,40,3979698176,2734022656,1135357952,31.3,53280768,1244708864,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23525376,10.0131796638171
12,"3.60","2021-07-06 10:51:59.713264",0.1,0.1,0.1,0,60,3979698176,2733555712,1135865856,31.3,53297152,1244717056,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23566336,11.0145509322484
13,"3.60","2021-07-06 10:52:59.794266",0,0.1,0,0.1,50,3979698176,2733322240,1136099328,31.3,53321728,1244733440,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23623680,12.0159009655317
14,"3.60","2021-07-06 10:53:59.854539",0.1,0.1,0.2,0,40,3979698176,2733596672,1135824896,31.3,53338112,1244733440,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23668736,13.0169055143992
15,"3.60","2021-07-06 10:54:59.925037",0,0.1,0,0.1,40,3979698176,2734374912,1135034368,31.3,53354496,1244749824,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23709696,14.0180804808935
16,"3.60","2021-07-06 10:56:00.007331",0.1,0.1,0,0.1,60,3979698176,2734374912,1135009792,31.3,53370880,1244708864,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23750656,15.019452047348
17,"3.60","2021-07-06 10:57:00.089049",0.1,0.1,0.1,0,40,3979698176,2734419968,1135001600,31.3,53387264,1244700672,104853504,104853504,0,0,15379681280,13009227776,1693716480,88.5,264289280,30773248,233516032,11.6,1219233280,23791616,16.0208140174548
18,"3.60","2021-07-06 10:58:00.149058",0.1,0.1,0,0.1,60,3979698176,2733895680,1135489024,31.3,53411840,1244721152,104853504,104853504,0,0,15379681280,13009231872,1693712384,88.5,264289280,30773248,233516032,11.6,1219233280,23857152,17.0218141674995
19,"3.60","2021-07-06 10:59:00.202956",0.1,0.1,0,0.1,60,3979698176,2733330432,1136099328,31.3,53428224,1244659712,104853504,104853504,0,0,15379681280,13009235968,1693708288,88.5,264289280,30773248,233516032,11.6,1219233280,23906304,18.0227124651273
20,"3.60","2021-07-06 11:00:00.284873",0.1,0,0,0.2,40,3979698176,2734206976,1135198208,31.3,53452800,1244712960,104853504,104853504,0,0,15379681280,13009235968,1693708288,88.5,264289280,30773248,233516032,11.6,1219233280,23980032,19.0240777492523
21,"3.60","2021-07-06 11:01:00.366896",0.1,0,0,0.1,60,3979698176,2734206976,1135181824,31.3,53469184,1244712960,104853504,104853504,0,0,15379681280,13009235968,1693708288,88.5,264289280,30773248,233516032,11.6,1219233280,24020992,20.0254447976748
22,"3.60","2021-07-06 11:02:00.448846",0.2,0,0.1,0.1,60,3979698176,2734256128,1135165440,31.3,53485568,1244712960,104853504,104853504,0,0,15379681280,13009235968,1693708288,88.5,264289280,30773248,233516032,11.6,1219233280,24061952,21.0268106341362
23,"3.60","2021-07-06 11:03:00.530939",0.2,0.2,0.1,0.1,50,3979698176,2733752320,1135656960,31.3,53501952,1244721152,104853504,104853504,0,0,15379681280,13009235968,1693708288,88.5,264289280,30773248,233516032,11.6,1219233280,24102912,22.0281788508097
