"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"3.70","2021-07-06 14:19:00.253635",4.4,5,6.5,2.1,50,3979698176,3367260160,494473216,15.4,62701568,1370914816,104853504,104853504,0,0,15379681280,13009756160,1693188096,88.5,264289280,30773248,233516032,11.6,1336157696,49440768,0
2,"3.80","2021-07-06 14:20:00.333408",0.9,2.1,2.2,2.1,50,3979698176,3367051264,494673920,15.4,62717952,1370918912,104853504,104853504,0,0,15379681280,13009756160,1693188096,88.5,264289280,30773248,233516032,11.6,1336157696,49481728,1.00132955312729
3,"4.20","2021-07-06 14:21:00.403182",16.7,16.2,13.3,38.3,0,3979698176,3333718016,523300864,16.2,62791680,1375682560,104853504,104853504,0,0,15379681280,13009772544,1693171712,88.5,264289280,30773248,233516032,11.6,1336157696,49752064,2.00249245166779
4,"4.40","2021-07-06 14:22:00.471761",9.9,17.6,13.6,9.6,50,3979698176,3332820992,522674176,16.3,62881792,1377284096,104853504,104853504,0,0,15379681280,13009788928,1693155328,88.5,264289280,30773248,233516032,11.6,1336157696,50046976,3.00363543430964
5,"4.40","2021-07-06 14:23:00.539747",11.9,17.1,11.3,10.1,50,3979698176,3331969024,524492800,16.3,62984192,1376395264,104853504,104853504,0,0,15379681280,13009813504,1693130752,88.5,264289280,30773248,233516032,11.6,1336157696,50284544,4.00476853450139
6,"4.40","2021-07-06 14:24:00.610066",11.3,16.4,10.3,13,50,3979698176,3332751360,524238848,16.3,63074304,1375817728,104853504,104853504,0,0,15379681280,13009813504,1693130752,88.5,264289280,30773248,233516032,11.6,1336157696,50563072,5.00594051678975
7,"4.40","2021-07-06 14:25:00.679862",11.8,17.2,11.4,10.7,75,3979698176,3332898816,524017664,16.3,63164416,1375977472,104853504,104853504,0,0,15379681280,13009838080,1693106176,88.5,264289280,30773248,233516032,11.6,1336157696,50796544,6.00710378487905
8,"4.40","2021-07-06 14:26:00.690549",12.4,14.2,14.8,9.2,33.3,3979698176,3331670016,525332480,16.3,63254528,1375834112,104853504,104853504,0,0,15379681280,13009833984,1693110272,88.5,264289280,30773248,233516032,11.6,1336157696,51103744,7.00728189945221
9,"4.40","2021-07-06 14:27:00.759143",13.3,14.4,11,12.5,50,3979698176,3330846720,524640256,16.3,63344640,1377435648,104853504,104853504,0,0,15379681280,13009858560,1693085696,88.5,264289280,30773248,233516032,11.6,1336157696,51288064,8.00842513640722
10,"4.40","2021-07-06 14:28:00.830059",10.9,15.1,10.2,13.9,50,3979698176,3331129344,525332480,16.3,63434752,1376395264,104853504,104853504,0,0,15379681280,13009854464,1693089792,88.5,264289280,30773248,233516032,11.6,1336157696,51591168,9.00960706869761
11,"4.50","2021-07-06 14:29:00.902770",14.9,14.1,10.8,10.7,66.7,3979698176,3332337664,524111872,16.3,63524864,1376493568,104853504,104853504,0,0,15379681280,13009879040,1693065216,88.5,264289280,30773248,233516032,11.6,1336157696,51845120,10.010818918546
12,"4.40","2021-07-06 14:30:00.972058",10.2,13.5,13,14.2,0,3979698176,3331850240,525070336,16.3,63614976,1375961088,104853504,104853504,0,0,15379681280,13009870848,1693073408,88.5,264289280,30773248,233516032,11.6,1336157696,52119552,11.0119737188021
13,"4.40","2021-07-06 14:31:00.992238",10.1,17.3,12.8,10.6,0,3979698176,3332739072,524251136,16.3,63705088,1375932416,104853504,104853504,0,0,15379681280,13009891328,1693052928,88.5,264289280,30773248,233516032,11.6,1336157696,52373504,12.012310051918
14,"4.40","2021-07-06 14:32:01.061001",11.6,15.1,13.2,10.4,50,3979698176,3331092480,524845056,16.3,63795200,1377054720,104853504,104853504,0,0,15379681280,13009899520,1693044736,88.5,264289280,30773248,233516032,11.6,1336157696,52639744,13.0134561022123
15,"4.40","2021-07-06 14:33:01.137081",11.3,15.3,11.9,12.6,75,3979698176,3330879488,525037568,16.3,63885312,1377046528,104853504,104853504,0,0,15379681280,13009911808,1693032448,88.5,264289280,30773248,233516032,11.6,1336157696,52918272,14.0147240996361
16,"4.40","2021-07-06 14:34:01.205943",11.1,17.8,10.3,11.9,50,3979698176,3330781184,525135872,16.3,63975424,1377116160,104853504,104853504,0,0,15379681280,13009920000,1693024256,88.5,264289280,30773248,233516032,11.6,1336157696,53188608,15.0158718029658
17,"4.40","2021-07-06 14:35:01.222384",12,15.5,12.9,10.6,33.3,3979698176,3331043328,524857344,16.3,64065536,1377079296,104853504,104853504,0,0,15379681280,13009928192,1693016064,88.5,264289280,30773248,233516032,11.6,1336157696,53467136,16.0161458174388
18,"4.40","2021-07-06 14:36:01.291664",13.9,12.5,12.8,11.8,50,3979698176,3330437120,525463552,16.3,64155648,1377173504,104853504,104853504,0,0,15379681280,13009944576,1692999680,88.5,264289280,30773248,233516032,11.6,1336157696,53737472,17.017300482591
19,"4.40","2021-07-06 14:37:01.360181",13.6,14.3,12.4,9.8,0,3979698176,3329970176,524357632,16.3,64245760,1378721792,104853504,104853504,0,0,15379681280,13009952768,1692991488,88.5,264289280,30773248,233516032,11.6,1336157696,53987328,18.0184424360593
20,"4.40","2021-07-06 14:38:01.429439",11.2,17,11.5,11.5,33.3,3979698176,3331096576,524271616,16.3,64335872,1377669120,104853504,104853504,0,0,15379681280,13009956864,1692987392,88.5,264289280,30773248,233516032,11.6,1336157696,54306816,19.0195967356364
21,"4.40","2021-07-06 14:39:01.498580",12.4,16.4,11.2,11.3,50,3979698176,3330883584,525017088,16.3,64425984,1377091584,104853504,104853504,0,0,15379681280,13009965056,1692979200,88.5,264289280,30773248,233516032,11.6,1336157696,54536192,20.0207490841548
22,"4.40","2021-07-06 14:40:01.567874",11.6,15.3,12.1,11.8,50,3979698176,3331751936,524144640,16.3,64516096,1377099776,104853504,104853504,0,0,15379681280,13009969152,1692975104,88.5,264289280,30773248,233516032,11.6,1336157696,54822912,21.0219039837519
23,"4.30","2021-07-06 14:41:01.636279",10.4,12.1,14.4,13,50,3979698176,3331158016,524738560,16.3,64606208,1377189888,104853504,104853504,0,0,15379681280,13009997824,1692946432,88.5,264289280,30773248,233516032,11.6,1336157696,55134208,22.0230440696081
24,"4.40","2021-07-06 14:42:01.705741",12.3,13.5,11.9,13.5,50,3979698176,3329634304,524689408,16.3,64696320,1378697216,104853504,104853504,0,0,15379681280,13009989632,1692954624,88.5,264289280,30773248,233516032,11.6,1336157696,55449600,23.0242017666499
25,"4.40","2021-07-06 14:43:01.754209",11.9,15.8,12.3,10.8,75,3979698176,3331362816,524017664,16.3,64786432,1377730560,104853504,104853504,0,0,15379681280,13010018304,1692925952,88.5,264289280,30773248,233516032,11.6,1336157696,55691264,24.0250095685323
26,"4.40","2021-07-06 14:44:01.823729",10.5,14.4,14.4,11.4,33.3,3979698176,3329843200,524435456,16.3,64876544,1378803712,104853504,104853504,0,0,15379681280,13010010112,1692934144,88.5,264289280,30773248,233516032,11.6,1336157696,55990272,25.026168235143
27,"4.40","2021-07-06 14:45:01.892968",10.6,16.5,12.2,11.6,0,3979698176,3329765376,525041664,16.3,64966656,1378332672,104853504,104853504,0,0,15379681280,13010038784,1692905472,88.5,264289280,30773248,233516032,11.6,1336157696,56195072,26.0273222168287
28,"4.40","2021-07-06 14:46:01.942476",9,19.5,9.4,12.1,50,3979698176,3329523712,525275136,16.3,65056768,1378267136,104853504,104853504,0,0,15379681280,13010030592,1692913664,88.5,264289280,30773248,233516032,11.6,1336157696,56489984,27.0281473517418
29,"4.40","2021-07-06 14:47:02.011754",13.1,15.9,12,9.9,50,3979698176,3329114112,524120064,16.3,65138688,1379856384,104853504,104853504,0,0,15379681280,13010051072,1692893184,88.5,264289280,30773248,233516032,11.6,1336157696,56731648,28.0293019851049
30,"4.40","2021-07-06 14:48:02.080915",11.9,15.5,11.1,12.3,50,3979698176,3329486848,524804096,16.3,65236992,1378816000,104853504,104853504,0,0,15379681280,13010051072,1692893184,88.5,264289280,30773248,233516032,11.6,1336157696,57075712,29.0304546674093
31,"4.40","2021-07-06 14:49:02.147376",11.1,14.7,14,11.5,50,3979698176,3328811008,525991936,16.4,65327104,1378312192,104853504,104853504,0,0,15379681280,13010067456,1692876800,88.5,264289280,30773248,233516032,11.6,1336157696,57583616,30.0315623521805
32,"4.40","2021-07-06 14:50:02.176355",8.5,14.1,13.7,13,66.7,3979698176,3328204800,525328384,16.4,65417216,1379659776,104853504,104853504,0,0,15379681280,13010079744,1692864512,88.5,264289280,30773248,233516032,11.6,1336157696,57845760,31.0320453325907
33,"4.40","2021-07-06 14:51:02.243227",9.5,13.8,15.9,10.1,33.3,3979698176,3326693376,525266944,16.4,65507328,1381179392,104853504,104853504,0,0,15379681280,13010087936,1692856320,88.5,264289280,30773248,233516032,11.6,1336157696,58087424,32.0331598679225
34,"4.30","2021-07-06 14:52:02.312459",11.6,15.4,11.3,11.4,33.3,3979698176,3327369216,525643776,16.4,65597440,1380196352,104853504,104853504,0,0,15379681280,13010100224,1692844032,88.5,264289280,30773248,233516032,11.6,1336157696,58357760,33.0343137343725
