"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"3.60","2021-07-05 20:41:15.158713",9.9,3.2,2.4,1.2,60,3979698176,3275739136,586424320,17.7,72540160,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772156928,0
2,"3.60","2021-07-05 20:42:15.197433",0.7,2.4,2.1,1.2,40,3979698176,3275239424,586924032,17.7,72556544,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772197888,1.0006453315417
3,"3.60","2021-07-05 20:43:15.256596",0.5,2.2,2,1.6,50,3979698176,3275771904,586395648,17.7,72572928,2082955264,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772238848,2.00163138310115
4,"3.60","2021-07-05 20:44:15.338969",0.4,2.1,2.4,1.4,60,3979698176,3275788288,586375168,17.7,72589312,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772279808,3.00300426483154
5,"3.60","2021-07-05 20:45:15.418856",0.4,2.4,2.6,1,60,3979698176,3274776576,587390976,17.7,72605696,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772320768,4.00433571338654
6,"3.60","2021-07-05 20:46:15.500928",0.9,2.6,2.1,0.9,60,3979698176,3274534912,587632640,17.7,72622080,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772361728,5.00570358037949
7,"3.60","2021-07-05 20:47:15.579962",1.4,2.2,1.7,1.1,25,3979698176,3275309056,586842112,17.7,72638464,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772402688,6.00702081521352
8,"3.60","2021-07-05 20:48:15.626220",0.4,2.5,2.5,0.9,60,3979698176,3275857920,586309632,17.7,72654848,2082959360,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772443648,7.00779178142548
9,"3.60","2021-07-05 20:49:15.700245",0.7,2.6,2.2,1,50,3979698176,3275096064,587063296,17.7,72671232,2082963456,104853504,104853504,0,0,15379681280,13000769536,1702174720,88.4,264289280,30773248,233516032,11.6,1330952192,772484608,8.0090255300204
10,"3.60","2021-07-05 20:50:15.733146",0.5,2,2.3,1.6,25,3979698176,3274862592,587288576,17.7,72695808,2082971648,104853504,104853504,0,0,15379681280,13000777728,1702166528,88.4,264289280,30773248,233516032,11.6,1330952192,772562432,9.0095738808314
11,"3.60","2021-07-05 20:51:15.815290",0.5,2.1,2.7,1.1,40,3979698176,3275407360,586756096,17.7,72712192,2082971648,104853504,104853504,0,0,15379681280,13000777728,1702166528,88.4,264289280,30773248,233516032,11.6,1330952192,772615680,10.0109429478645
12,"3.60","2021-07-05 20:52:15.899068",0.8,1.9,2.2,1.4,66.7,3979698176,3275165696,586997760,17.7,72728576,2082971648,104853504,104853504,0,0,15379681280,13000777728,1702166528,88.4,264289280,30773248,233516032,11.6,1330952192,772656640,11.0123392502467
13,"3.60","2021-07-05 20:53:15.933568",0.6,2.1,2.7,0.9,50,3979698176,3275182080,586981376,17.7,72744960,2082971648,104853504,104853504,0,0,15379681280,13000777728,1702166528,88.4,264289280,30773248,233516032,11.6,1330952192,772697600,12.0129142483075
14,"3.60","2021-07-05 20:54:16.015773",0.4,2.1,2.9,0.8,50,3979698176,3274682368,587481088,17.7,72761344,2082971648,104853504,104853504,0,0,15379681280,13000777728,1702166528,88.4,264289280,30773248,233516032,11.6,1330952192,772738560,13.0142843325933
15,"3.60","2021-07-05 20:55:16.096343",0.5,2.7,2.1,0.9,50,3979698176,3275472896,586690560,17.7,72777728,2082971648,104853504,104853504,0,0,15379681280,13000777728,1702166528,88.4,264289280,30773248,233516032,11.6,1330952192,772779520,14.0156271656354
16,"3.60","2021-07-05 20:56:16.178642",0.9,2.4,2.3,0.8,40,3979698176,3275493376,586665984,17.7,72794112,2082979840,104853504,104853504,0,0,15379681280,13000781824,1702162432,88.4,264289280,30773248,233516032,11.6,1330952192,772820480,15.0169988155365
17,"3.60","2021-07-05 20:57:16.257842",1,1.7,2.6,1.2,50,3979698176,3275075584,587096064,17.7,72826880,2083033088,104853504,104853504,0,0,15379681280,13000790016,1702154240,88.4,264289280,30773248,233516032,11.6,1330952192,772922880,16.0183188160261
18,"3.60","2021-07-05 20:58:16.326405",0.7,2.3,2,1.5,60,3979698176,3275358208,586801152,17.7,72851456,2083045376,104853504,104853504,0,0,15379681280,13000794112,1702150144,88.4,264289280,30773248,233516032,11.6,1330952192,773000704,17.0194615324338
19,"3.60","2021-07-05 20:59:16.405636",0.4,2.2,2.6,1.1,50,3979698176,3275120640,587042816,17.7,72867840,2083045376,104853504,104853504,0,0,15379681280,13000794112,1702150144,88.4,264289280,30773248,233516032,11.6,1330952192,773049856,18.020782049497
20,"3.50","2021-07-05 21:00:16.428647",0.4,2.2,2.5,1.1,50,3979698176,3275141120,587026432,17.7,72884224,2083045376,104853504,104853504,0,0,15379681280,13000794112,1702150144,88.4,264289280,30773248,233516032,11.6,1330952192,773099008,19.0211655656497
