"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time"
1,"3.60","2021-07-06 17:53:09.842398",1.2,2.9,2.7,12.8,57.1,3979698176,2671824896,1189818368,32.9,76963840,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98711552,0
2,"3.80","2021-07-06 17:54:09.922565",0.5,2,2.5,1.9,25,3979698176,2672082944,1189552128,32.9,76980224,1368055808,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98748416,1.0013361175855
3,"3.80","2021-07-06 17:55:10.004385",0.9,2.2,2.7,1.6,50,3979698176,2671333376,1190293504,32.9,77004800,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98801664,2.00269978443782
4,"3.70","2021-07-06 17:56:10.086564",1.1,1.8,2.4,1.8,50,3979698176,2671357952,1190277120,32.9,77021184,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98846720,3.00406943559647
5,"3.70","2021-07-06 17:57:10.151606",0.8,2.7,2.2,1.7,40,3979698176,2671632384,1190002688,32.9,77045760,1368055808,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98899968,4.00515346924464
6,"3.80","2021-07-06 17:58:10.183766",0.9,2.3,2.6,1.2,60,3979698176,2671407104,1190236160,32.9,77062144,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98945024,5.0056894659996
7,"3.80","2021-07-06 17:59:10.255441",1.2,1.5,2.3,2.2,50,3979698176,2671673344,1189961728,32.9,77078528,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,98985984,6.00688405036926
8,"3.60","2021-07-06 18:00:10.337179",1,2.2,2.6,1.6,50,3979698176,2671423488,1190203392,32.9,77094912,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,99026944,7.00824635028839
9,"3.80","2021-07-06 18:01:10.380325",1.6,2.3,1.9,1.5,33.3,3979698176,2671714304,1189928960,32.9,77111296,1368064000,104853504,104853504,0,0,15379681280,13013741568,1689202688,88.5,264289280,30773248,233516032,11.6,1336919552,99067904,8.00896545251211
10,"3.80","2021-07-06 18:02:10.405262",0.7,2.3,1.8,2.3,33.3,3979698176,2671972352,1189670912,32.9,77127680,1368047616,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99133440,9.00938106775284
11,"3.80","2021-07-06 18:03:10.485176",0.6,2.3,2.1,2.1,33.3,3979698176,2671730688,1189904384,32.9,77144064,1368055808,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99174400,10.0107129693031
12,"3.70","2021-07-06 18:04:10.512691",0.6,2.6,1.8,2.1,50,3979698176,2672005120,1189629952,32.9,77160448,1368055808,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99215360,11.0111715515455
13,"3.70","2021-07-06 18:05:10.554772",0.8,2.5,1.8,2.1,60,3979698176,2670993408,1190641664,32.9,77176832,1368059904,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99256320,12.0118728995323
14,"3.80","2021-07-06 18:06:10.574505",0.7,2.6,2.4,1.4,33.3,3979698176,2670501888,1191141376,32.9,77193216,1368059904,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99297280,13.0122017860413
15,"3.80","2021-07-06 18:07:10.654224",0.5,2.6,2,2,40,3979698176,2671276032,1190350848,32.9,77209600,1368059904,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99338240,14.0135304331779
16,"3.70","2021-07-06 18:08:10.682503",0.9,2.6,2.4,1.6,33.3,3979698176,2671558656,1190076416,32.9,77225984,1368059904,104853504,104853504,0,0,15379681280,13013733376,1689210880,88.5,264289280,30773248,233516032,11.6,1336919552,99379200,15.014001750946
