currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-06-22 20:19:46.907189,50.0,0.0,100.0,0.0,66.7,3979698176,3579445248,279240704,10.1,62414848,1228165120,104853504,104853504,0,0.0,15379681280,12165640192,2537304064,82.7,264289280,30773248,233516032,11.6,1184020992,62125056
2021-06-22 20:20:46.985722,0.8,1.7,2.8,1.4,25.0,3979698176,3581571072,279261184,10.0,62439424,1226022912,104853504,104853504,0,0.0,15379681280,12165640192,2537304064,82.7,264289280,30773248,233516032,11.6,1184020992,62223360
2021-06-22 20:21:47.056685,16.0,13.3,76.1,33.0,50.0,3979698176,3338248192,517349376,16.1,62529536,1231233024,104853504,104853504,0,0.0,15379681280,12165668864,2537275392,82.7,264289280,30773248,233516032,11.6,1184020992,62628864
2021-06-22 20:22:47.131451,24.8,36.9,69.1,19.3,75.0,3979698176,3334877184,519618560,16.2,62627840,1232412672,104853504,104853504,0,0.0,15379681280,12165693440,2537250816,82.7,264289280,30773248,233516032,11.6,1184020992,62956544
2021-06-22 20:23:47.162385,24.6,35.0,75.9,16.2,66.7,3979698176,3331383296,523120640,16.3,62726144,1232510976,104853504,104853504,0,0.0,15379681280,12165738496,2537205760,82.7,264289280,30773248,233516032,11.6,1184020992,63284224
2021-06-22 20:24:47.235113,23.0,21.5,54.0,54.1,60.0,3979698176,3329118208,526430208,16.3,62816256,1231495168,104853504,104853504,0,0.0,15379681280,12165783552,2537160704,82.7,264289280,30773248,233516032,11.6,1184020992,63570944
2021-06-22 20:25:47.256097,22.4,43.4,69.4,16.6,66.7,3979698176,3328122880,527437824,16.4,62922752,1231532032,104853504,104853504,0,0.0,15379681280,12165812224,2537132032,82.7,264289280,30773248,233516032,11.6,1184020992,63919104
2021-06-22 20:26:47.323013,26.4,77.9,17.4,27.9,50.0,3979698176,3325616128,529928192,16.4,63021056,1231515648,104853504,104853504,0,0.0,15379681280,12165836800,2537107456,82.7,264289280,30773248,233516032,11.6,1184020992,64242688
2021-06-22 20:27:47.392022,27.5,56.6,31.0,37.4,50.0,3979698176,3322941440,532602880,16.5,63127552,1231556608,104853504,104853504,0,0.0,15379681280,12165881856,2537062400,82.7,264289280,30773248,233516032,11.6,1184020992,64611328
2021-06-22 20:28:47.408475,19.1,84.2,26.8,18.9,100.0,3979698176,3319771136,535777280,16.6,63221760,1231605760,104853504,104853504,0,0.0,15379681280,12165910528,2537033728,82.7,264289280,30773248,233516032,11.6,1184020992,64967680
2021-06-22 20:29:47.482191,24.0,31.4,62.4,34.2,75.0,3979698176,3314540544,538902528,16.7,63320064,1233743872,104853504,104853504,0,0.0,15379681280,12165955584,2536988672,82.7,264289280,30773248,233516032,11.6,1184020992,65299456
2021-06-22 20:30:47.539815,24.0,98.5,16.2,11.1,66.7,3979698176,3311120384,542322688,16.8,63410176,1233854464,104853504,104853504,0,0.0,15379681280,12165988352,2536955904,82.7,264289280,30773248,233516032,11.6,1184020992,65618944
2021-06-22 20:31:47.608338,28.0,18.1,80.0,24.5,50.0,3979698176,3309211648,544227328,16.8,63508480,1233883136,104853504,104853504,0,0.0,15379681280,12166025216,2536919040,82.7,264289280,30773248,233516032,11.6,1184020992,65987584
2021-06-22 20:32:47.675148,23.0,17.0,32.8,79.2,33.3,3979698176,3307257856,547225600,16.9,63598592,1232818176,104853504,104853504,0,0.0,15379681280,12166062080,2536882176,82.7,264289280,30773248,233516032,11.6,1184020992,66249728
2021-06-22 20:33:47.743143,14.4,22.2,17.7,98.7,0.0,3979698176,3303735296,550760448,17.0,63696896,1232838656,104853504,104853504,0,0.0,15379681280,12166086656,2536857600,82.7,264289280,30773248,233516032,11.6,1184020992,66610176
2021-06-22 20:34:47.810973,18.4,14.7,19.7,98.6,33.3,3979698176,3301752832,551690240,17.0,63795200,1233944576,104853504,104853504,0,0.0,15379681280,12166123520,2536820736,82.7,264289280,30773248,233516032,11.6,1184020992,66958336
2021-06-22 20:35:47.880961,18.7,20.8,14.2,98.6,50.0,3979698176,3300614144,552828928,17.1,63885312,1233973248,104853504,104853504,0,0.0,15379681280,12166160384,2536783872,82.7,264289280,30773248,233516032,11.6,1184020992,67294208
2021-06-22 20:36:47.968216,39.4,20.7,24.1,65.5,66.7,3979698176,3296956416,557535232,17.2,63983616,1233039360,104853504,104853504,0,0.0,15379681280,12166197248,2536747008,82.7,264289280,30773248,233516032,11.6,1184020992,67646464
2021-06-22 20:37:48.039120,19.8,19.2,52.3,60.5,50.0,3979698176,3293315072,561176576,17.2,64081920,1233068032,104853504,104853504,0,0.0,15379681280,12166242304,2536701952,82.7,264289280,30773248,233516032,11.6,1184020992,67990528
2021-06-22 20:38:48.107009,22.5,27.3,91.7,10.2,0.0,3979698176,3290279936,563687424,17.3,64172032,1233625088,104853504,104853504,0,0.0,15379681280,12166270976,2536673280,82.7,264289280,30773248,233516032,11.6,1184020992,68326400
2021-06-22 20:39:48.173543,20.8,52.0,57.4,20.9,50.0,3979698176,3287556096,565882880,17.4,64270336,1234137088,104853504,104853504,0,0.0,15379681280,12166299648,2536644608,82.7,264289280,30773248,233516032,11.6,1184020992,68666368
2021-06-22 20:40:48.238733,23.1,90.0,18.7,17.9,60.0,3979698176,3286188032,567259136,17.4,64360448,1234161664,104853504,104853504,0,0.0,15379681280,12166340608,2536603648,82.7,264289280,30773248,233516032,11.6,1184020992,68981760
2021-06-22 20:41:48.306992,18.0,73.5,42.9,16.3,50.0,3979698176,3282989056,571498496,17.5,64458752,1233162240,104853504,104853504,0,0.0,15379681280,12166369280,2536574976,82.7,264289280,30773248,233516032,11.6,1184020992,69342208
2021-06-22 20:42:48.376376,20.4,17.6,80.9,32.6,50.0,3979698176,3281162240,573325312,17.6,64557056,1233285120,104853504,104853504,0,0.0,15379681280,12166414336,2536529920,82.7,264289280,30773248,233516032,11.6,1184020992,69678080
2021-06-22 20:43:48.448196,25.9,13.5,46.7,65.1,0.0,3979698176,3279749120,574738432,17.6,64647168,1233317888,104853504,104853504,0,0.0,15379681280,12166459392,2536484864,82.7,264289280,30773248,233516032,11.6,1184020992,69985280
2021-06-22 20:44:48.520479,26.1,26.7,33.5,62.9,50.0,3979698176,3276587008,576974848,17.7,64745472,1234255872,104853504,104853504,0,0.0,15379681280,12166483968,2536460288,82.7,264289280,30773248,233516032,11.6,1184020992,70341632
2021-06-22 20:45:48.587060,37.8,12.0,80.1,21.4,50.0,3979698176,3272953856,580489216,17.8,64835584,1234354176,104853504,104853504,0,0.0,15379681280,12166512640,2536431616,82.7,264289280,30773248,233516032,11.6,1184020992,70669312
2021-06-22 20:46:48.656290,21.1,25.2,32.6,72.3,0.0,3979698176,3271598080,582893568,17.8,64933888,1233354752,104853504,104853504,0,0.0,15379681280,12166557696,2536386560,82.7,264289280,30773248,233516032,11.6,1184020992,71005184
2021-06-22 20:47:48.688778,56.5,62.4,21.3,8.7,66.7,3979698176,3266916352,587546624,17.9,65032192,1233395712,104853504,104853504,0,0.0,15379681280,12166582272,2536361984,82.7,264289280,30773248,233516032,11.6,1184020992,71382016
