currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-06-22 19:01:47.347955,0.0,0.0,100.0,0.0,100.0,3979698176,3577294848,279433216,10.1,56262656,1218605056,104853504,104853504,0,0.0,15379681280,12165050368,2537893888,82.7,264289280,30773248,233516032,11.6,1173391872,43107328
2021-06-22 19:02:47.417365,2.4,6.4,2.5,22.5,50.0,3979698176,3367661568,489275392,15.4,56299520,1227583488,104853504,104853504,0,0.0,15379681280,12165066752,2537877504,82.7,264289280,30773248,233516032,11.6,1182534144,43279360
2021-06-22 19:03:47.486325,7.4,8.1,4.7,7.2,0.0,3979698176,3355586560,501780480,15.7,56389632,1227116544,104853504,104853504,0,0.0,15379681280,12165070848,2537873408,82.7,264289280,30773248,233516032,11.6,1182534144,43574272
2021-06-22 19:04:47.520314,6.0,8.6,6.3,6.1,25.0,3979698176,3345268736,511545344,15.9,56471552,1227689984,104853504,104853504,0,0.0,15379681280,12165074944,2537869312,82.7,264289280,30773248,233516032,11.6,1182534144,43746304
2021-06-22 19:05:47.538040,6.9,7.4,6.3,7.8,0.0,3979698176,3342274560,514015232,16.0,56553472,1228218368,104853504,104853504,0,0.0,15379681280,12165079040,2537865216,82.7,264289280,30773248,233516032,11.6,1182534144,43930624
2021-06-22 19:06:47.608856,5.5,8.7,6.6,6.4,66.7,3979698176,3342372864,513896448,16.0,56639488,1228316672,104853504,104853504,0,0.0,15379681280,12165099520,2537844736,82.7,264289280,30773248,233516032,11.6,1182534144,44151808
2021-06-22 19:07:47.678016,5.8,8.8,7.7,6.2,0.0,3979698176,3340931072,515342336,16.1,56729600,1228279808,104853504,104853504,0,0.0,15379681280,12165103616,2537840640,82.7,264289280,30773248,233516032,11.6,1182534144,44475392
2021-06-22 19:08:47.747346,6.2,6.4,7.5,7.5,50.0,3979698176,3341475840,514330624,16.0,56811520,1228726272,104853504,104853504,0,0.0,15379681280,12165099520,2537844736,82.7,264289280,30773248,233516032,11.6,1182534144,44729344
2021-06-22 19:09:47.816537,5.6,8.0,7.4,6.5,50.0,3979698176,3341852672,514416640,16.0,56893440,1228267520,104853504,104853504,0,0.0,15379681280,12165103616,2537840640,82.7,264289280,30773248,233516032,11.6,1182534144,44946432
2021-06-22 19:10:47.894237,6.1,9.1,7.4,5.3,71.4,3979698176,3340439552,515829760,16.1,56983552,1228361728,104853504,104853504,0,0.0,15379681280,12165120000,2537824256,82.7,264289280,30773248,233516032,11.6,1182534144,45241344
2021-06-22 19:11:47.964055,6.5,8.7,7.2,5.4,33.3,3979698176,3339956224,515788800,16.1,57065472,1228820480,104853504,104853504,0,0.0,15379681280,12165124096,2537820160,82.7,264289280,30773248,233516032,11.6,1182534144,45511680
2021-06-22 19:12:48.033181,4.7,10.0,7.2,5.5,0.0,3979698176,3341070336,515186688,16.0,57155584,1228300288,104853504,104853504,0,0.0,15379681280,12165120000,2537824256,82.7,264289280,30773248,233516032,11.6,1182534144,45765632
2021-06-22 19:13:48.102013,5.5,8.7,4.6,8.4,33.3,3979698176,3340648448,515608576,16.1,57237504,1228312576,104853504,104853504,0,0.0,15379681280,12165124096,2537820160,82.7,264289280,30773248,233516032,11.6,1182534144,45982720
2021-06-22 19:14:48.170933,6.1,7.7,7.0,6.2,50.0,3979698176,3340300288,515960832,16.1,57327616,1228402688,104853504,104853504,0,0.0,15379681280,12165140480,2537803776,82.7,264289280,30773248,233516032,11.6,1182534144,46273536
2021-06-22 19:15:48.236997,7.8,8.7,5.2,7.2,50.0,3979698176,3339816960,516440064,16.1,57409536,1228374016,104853504,104853504,0,0.0,15379681280,12165144576,2537799680,82.7,264289280,30773248,233516032,11.6,1182534144,46568448
2021-06-22 19:16:48.305856,5.5,9.2,6.3,5.8,0.0,3979698176,3339657216,516579328,16.1,57499648,1228402688,104853504,104853504,0,0.0,15379681280,12165148672,2537795584,82.7,264289280,30773248,233516032,11.6,1182534144,47109120
2021-06-22 19:17:48.355057,5.6,8.0,7.1,6.1,50.0,3979698176,3342024704,514371584,16.0,57581568,1228238848,104853504,104853504,0,0.0,15379681280,12165144576,2537799680,82.7,264289280,30773248,233516032,11.6,1182534144,47551488
2021-06-22 19:18:48.366758,5.3,10.9,7.1,4.5,50.0,3979698176,3340673024,515112960,16.1,57663488,1228931072,104853504,104853504,0,0.0,15379681280,12165165056,2537779200,82.7,264289280,30773248,233516032,11.6,1182534144,47793152
2021-06-22 19:19:48.434985,7.7,7.2,5.9,6.7,33.3,3979698176,3340726272,515039232,16.1,57745408,1228890112,104853504,104853504,0,0.0,15379681280,12165160960,2537783296,82.7,264289280,30773248,233516032,11.6,1182534144,47993856
2021-06-22 19:20:48.444291,5.9,9.1,5.7,7.3,0.0,3979698176,3340533760,515231744,16.1,57835520,1228914688,104853504,104853504,0,0.0,15379681280,12165173248,2537771008,82.7,264289280,30773248,233516032,11.6,1182534144,48247808
2021-06-22 19:21:48.513241,5.9,6.9,7.6,7.1,0.0,3979698176,3340439552,515325952,16.1,57925632,1228972032,104853504,104853504,0,0.0,15379681280,12165177344,2537766912,82.7,264289280,30773248,233516032,11.6,1182534144,48489472
2021-06-22 19:22:48.536521,5.8,6.5,9.7,5.3,0.0,3979698176,3339497472,515747840,16.1,58007552,1229500416,104853504,104853504,0,0.0,15379681280,12165185536,2537758720,82.7,264289280,30773248,233516032,11.6,1182534144,48710656
2021-06-22 19:23:48.549779,5.6,9.6,6.4,6.4,0.0,3979698176,3340263424,516546560,16.1,58089472,1227878400,104853504,104853504,0,0.0,15379681280,12165181440,2537762816,82.7,264289280,30773248,233516032,11.6,1182534144,48907264
2021-06-22 19:24:48.567154,4.8,8.8,7.0,7.4,66.7,3979698176,3339595776,517206016,16.1,58179584,1227902976,104853504,104853504,0,0.0,15379681280,12165193728,2537750528,82.7,264289280,30773248,233516032,11.6,1182534144,49140736
2021-06-22 19:25:48.636015,5.8,7.8,7.7,6.5,50.0,3979698176,3340038144,516243456,16.1,58269696,1228484608,104853504,104853504,0,0.0,15379681280,12165197824,2537746432,82.7,264289280,30773248,233516032,11.6,1182534144,49443840
