currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-06-22 11:22:05.599350,33.3,100.0,0.0,0.0,66.7,3979698176,3580370944,280920064,10.0,38854656,367124480,104853504,104853504,0,0.0,15379681280,12164800512,2538143744,82.7,264289280,30773248,233516032,11.6,328583680,18179072
2021-06-22 11:23:05.669259,5.9,8.3,2.3,7.8,33.3,3979698176,3406700544,454799360,14.4,48848896,651497472,104853504,104853504,0,0.0,15379681280,12164800512,2538143744,82.7,264289280,30773248,233516032,11.6,613444096,18301952
2021-06-22 11:24:05.678965,6.8,8.4,7.8,18.6,50.0,3979698176,2736291840,1119854592,31.2,49168384,1215213568,104853504,104853504,0,0.0,15379681280,12164808704,2538135552,82.7,264289280,30773248,233516032,11.6,1170090496,18490368
2021-06-22 11:25:05.692928,7.1,7.7,4.6,6.1,0.0,3979698176,2736431104,1119707136,31.2,49250304,1215213568,104853504,104853504,0,0.0,15379681280,12164820992,2538123264,82.7,264289280,30773248,233516032,11.6,1170090496,18785280
2021-06-22 11:26:05.762773,5.6,5.8,7.6,7.3,66.7,3979698176,2735529984,1120059392,31.3,49340416,1215787008,104853504,104853504,0,0.0,15379681280,12164816896,2538127360,82.7,264289280,30773248,233516032,11.6,1170090496,19162112
2021-06-22 11:27:05.832659,7.6,6.7,6.2,4.8,50.0,3979698176,2736422912,1120354304,31.2,49422336,1214636032,104853504,104853504,0,0.0,15379681280,12164829184,2538115072,82.7,264289280,30773248,233516032,11.6,1170090496,19387392
2021-06-22 11:28:05.859687,6.3,10.5,4.0,5.5,60.0,3979698176,2736721920,1119989760,31.2,49512448,1214668800,104853504,104853504,0,0.0,15379681280,12164833280,2538110976,82.7,264289280,30773248,233516032,11.6,1170090496,19682304
2021-06-22 11:29:05.941013,5.0,7.5,7.4,5.9,25.0,3979698176,2736295936,1120395264,31.2,49594368,1214713856,104853504,104853504,0,0.0,15379681280,12164845568,2538098688,82.7,264289280,30773248,233516032,11.6,1170090496,19907584
2021-06-22 11:30:05.987549,6.6,6.9,6.7,6.6,50.0,3979698176,2735067136,1120571392,31.3,49684480,1215754240,104853504,104853504,0,0.0,15379681280,12164845568,2538098688,82.7,264289280,30773248,233516032,11.6,1170090496,20210688
2021-06-22 11:31:05.999356,6.4,8.9,4.5,5.7,0.0,3979698176,2736787456,1119350784,31.2,49766400,1215361024,104853504,104853504,0,0.0,15379681280,12164857856,2538086400,82.7,264289280,30773248,233516032,11.6,1170090496,20448256
2021-06-22 11:32:06.069544,7.0,6.4,6.2,6.7,100.0,3979698176,2734239744,1121349632,31.3,49860608,1215881216,104853504,104853504,0,0.0,15379681280,12164853760,2538090496,82.7,264289280,30773248,233516032,11.6,1170094592,20976640
2021-06-22 11:33:06.087975,6.4,5.9,6.8,6.3,0.0,3979698176,2734395392,1119608832,31.3,49942528,1217556480,104853504,104853504,0,0.0,15379681280,12164870144,2538074112,82.7,264289280,30773248,233516032,11.6,1170094592,21222400
2021-06-22 11:34:06.158705,6.3,6.4,7.7,5.6,75.0,3979698176,2733649920,1120354304,31.3,50032640,1217478656,104853504,104853504,0,0.0,15379681280,12164866048,2538078208,82.7,264289280,30773248,233516032,11.6,1170094592,21505024
2021-06-22 11:35:06.239231,6.1,9.2,5.1,5.6,50.0,3979698176,2733776896,1120227328,31.3,50122752,1217564672,104853504,104853504,0,0.0,15379681280,12164874240,2538070016,82.7,264289280,30773248,233516032,11.6,1170094592,21750784
2021-06-22 11:36:06.264877,7.2,7.2,4.7,7.0,50.0,3979698176,2732769280,1121234944,31.3,50204672,1217490944,104853504,104853504,0,0.0,15379681280,12164870144,2538074112,82.7,264289280,30773248,233516032,11.6,1170094592,22017024
2021-06-22 11:37:06.331032,5.3,7.4,5.7,7.6,50.0,3979698176,2734219264,1119768576,31.3,50294784,1217576960,104853504,104853504,0,0.0,15379681280,12164886528,2538057728,82.7,264289280,30773248,233516032,11.6,1170094592,22266880
2021-06-22 11:38:06.347534,6.0,6.8,5.5,7.7,0.0,3979698176,2734505984,1119494144,31.3,50384896,1217503232,104853504,104853504,0,0.0,15379681280,12164882432,2538061824,82.7,264289280,30773248,233516032,11.6,1170094592,22553600
2021-06-22 11:39:06.359977,5.5,6.0,6.8,7.8,50.0,3979698176,2733645824,1119297536,31.3,50466816,1218650112,104853504,104853504,0,0.0,15379681280,12164902912,2538041344,82.7,264289280,30773248,233516032,11.6,1170094592,22799360
2021-06-22 11:40:06.429097,5.4,9.3,4.3,6.7,0.0,3979698176,2732154880,1121292288,31.3,50556928,1218097152,104853504,104853504,0,0.0,15379681280,12164898816,2538045440,82.7,264289280,30773248,233516032,11.6,1170094592,23090176
2021-06-22 11:41:06.465094,5.9,8.7,6.2,5.1,0.0,3979698176,2733088768,1120817152,31.3,50638848,1217716224,104853504,104853504,0,0.0,15379681280,12164911104,2538033152,82.7,264289280,30773248,233516032,11.6,1170094592,23315456
2021-06-22 11:42:06.484040,5.9,6.5,7.2,5.8,0.0,3979698176,2733748224,1120927744,31.3,50728960,1216864256,104853504,104853504,0,0.0,15379681280,12164911104,2538033152,82.7,264289280,30773248,233516032,11.6,1170094592,23618560
2021-06-22 11:43:06.511863,5.7,7.7,6.9,6.0,40.0,3979698176,2733510656,1119105024,31.3,50810880,1219006464,104853504,104853504,0,0.0,15379681280,12164923392,2538020864,82.7,264289280,30773248,233516032,11.6,1170094592,23892992
2021-06-22 11:44:06.585807,4.8,8.3,7.9,6.4,50.0,3979698176,2732736512,1120919552,31.3,50900992,1217908736,104853504,104853504,0,0.0,15379681280,12164919296,2538024960,82.7,264289280,30773248,233516032,11.6,1170094592,24228864
2021-06-22 11:45:06.656486,5.3,6.5,6.7,7.7,0.0,3979698176,2736787456,1120264192,31.2,50982912,1214562304,104853504,104853504,0,0.0,15379681280,12164931584,2538012672,82.7,264289280,30773248,233516032,11.6,1170094592,24486912
2021-06-22 11:46:06.701076,6.0,9.1,6.1,5.6,50.0,3979698176,2736054272,1120448512,31.2,51073024,1215062016,104853504,104853504,0,0.0,15379681280,12164927488,2538016768,82.7,264289280,30773248,233516032,11.6,1170094592,24818688
2021-06-22 11:47:06.769080,7.0,7.6,3.7,8.6,50.0,3979698176,2734923776,1121046528,31.3,51163136,1215664128,104853504,104853504,0,0.0,15379681280,12164939776,2538004480,82.7,264289280,30773248,233516032,11.6,1170094592,25117696
2021-06-22 11:48:06.823399,6.6,6.9,7.2,6.2,0.0,3979698176,2736152576,1120837632,31.2,51253248,1214590976,104853504,104853504,0,0.0,15379681280,12164935680,2538008576,82.7,264289280,30773248,233516032,11.6,1170094592,25420800
2021-06-22 11:49:06.844184,6.4,8.0,6.6,5.5,33.3,3979698176,2735448064,1121538048,31.3,51335168,1214656512,104853504,104853504,0,0.0,15379681280,12164947968,2537996288,82.7,264289280,30773248,233516032,11.6,1170094592,25666560
2021-06-22 11:50:06.873146,6.7,6.8,8.4,5.6,0.0,3979698176,2735620096,1120817152,31.3,51417088,1215156224,104853504,104853504,0,0.0,15379681280,12164947968,2537996288,82.7,264289280,30773248,233516032,11.6,1170094592,25953280
2021-06-22 11:51:06.939489,6.2,7.4,7.1,6.1,50.0,3979698176,2737364992,1120247808,31.2,51499008,1214062592,104853504,104853504,0,0.0,15379681280,12164964352,2537979904,82.7,264289280,30773248,233516032,11.6,1170094592,26174464
2021-06-22 11:52:07.007155,5.6,9.2,5.6,7.0,50.0,3979698176,2736869376,1120661504,31.2,51589120,1214074880,104853504,104853504,0,0.0,15379681280,12164960256,2537984000,82.7,264289280,30773248,233516032,11.6,1170094592,26489856
2021-06-22 11:53:07.029144,5.4,7.9,6.4,6.9,0.0,3979698176,2735226880,1121218560,31.3,51671040,1215242240,104853504,104853504,0,0.0,15379681280,12164972544,2537971712,82.7,264289280,30773248,233516032,11.6,1170094592,26702848
