"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time","Platform","Algorithm","Size","Workload"
1,3.1,"2021-07-08 18:03:52.900608",1.3,2.2,10.8,1.2,50,3979698176,3323932672,528973824,16.5,75808768,1248157696,104853504,104853504,0,0,15379681280,10904223744,3798720512,74.2,264289280,30773248,233516032,11.6,1202244096,107471872,0,"EDGE","CNN","128",0.1
2,3.3,"2021-07-08 18:04:52.927778",4.9,2.8,3.2,3,50,3979698176,3261415424,598654976,18,75833344,1240985600,104853504,104853504,0,0,15379681280,10904223744,3798720512,74.2,264289280,30773248,233516032,11.6,1202244096,107529216,1.00045283238093,"EDGE","CNN","128",0.1
3,4.3,"2021-07-08 18:05:53.004174",43.9,39.3,41.8,38.4,66.7,3979698176,3126128640,729333760,21.4,75915264,1245540352,104853504,104853504,0,0,15379681280,10904236032,3798708224,74.2,264289280,30773248,233516032,11.6,1202244096,107820032,2.00172609885534,"EDGE","CNN","128",0.1
4,4.7,"2021-07-08 18:06:53.069737",50.9,48.4,50.9,45.4,0,3979698176,3068846080,785473536,22.9,76005376,1246703616,104853504,104853504,0,0,15379681280,10904256512,3798687744,74.2,264289280,30773248,233516032,11.6,1202244096,108078080,3.00281881491343,"EDGE","CNN","128",0.1
5,4.7,"2021-07-08 18:07:53.138312",46.2,43.7,46.8,41.2,50,3979698176,3012837376,842469376,24.3,76103680,1245732864,104853504,104853504,0,0,15379681280,10904276992,3798667264,74.2,264289280,30773248,233516032,11.6,1202244096,108364800,4.003961733977,"EDGE","CNN","128",0.1
6,4.3,"2021-07-08 18:08:53.207760",23.8,24.8,26.4,20.7,66.7,3979698176,2983120896,872169472,25,76185600,1245835264,104853504,104853504,0,0,15379681280,10904305664,3798638592,74.2,264289280,30773248,233516032,11.6,1202244096,108672000,5.00511920054754,"EDGE","CNN","128",0.1
7,3.8,"2021-07-08 18:09:53.273285",21.6,20.2,20.2,18.7,50,3979698176,2945646592,911994880,26,76267520,1243414528,104853504,104853504,0,0,15379681280,10904293376,3798650880,74.2,264289280,30773248,233516032,11.6,1202244096,108942336,6.00621128082275,"EDGE","CNN","128",0.1
8,3.7,"2021-07-08 18:10:53.342386",27,25.1,29,22.7,50,3979698176,2879565824,977448960,27.6,76353536,1228455936,104853504,104853504,0,0,15379681280,10904322048,3798622208,74.2,264289280,30773248,233516032,11.6,1202244096,109151232,7.00736296574275,"EDGE","CNN","128",0.1
9,4.2,"2021-07-08 18:11:53.413860",36.2,37.3,33.2,32.7,50,3979698176,2814029824,1042460672,29.3,76443648,1223958528,104853504,104853504,0,0,15379681280,10904317952,3798626304,74.2,264289280,30773248,233516032,11.6,1202244096,109376512,8.00855420033137,"EDGE","CNN","128",0.1
10,4.2,"2021-07-08 18:12:53.488576",37,31.4,33.4,33.6,75,3979698176,2765611008,1090334720,30.5,76525568,1217183744,104853504,104853504,0,0,15379681280,10904330240,3798614016,74.2,264289280,30773248,233516032,11.6,1202244096,109626368,9.00979946454366,"EDGE","CNN","128",0.1
11,4.1,"2021-07-08 18:13:53.557202",32.5,34.2,30.6,28.4,66.7,3979698176,2730995712,1126522880,31.4,76615680,1214775296,104853504,104853504,0,0,15379681280,10904358912,3798585344,74.2,264289280,30773248,233516032,11.6,1202244096,109872128,10.0109432339668,"EDGE","CNN","128",0.1
12,4.1,"2021-07-08 18:14:53.579801",35.2,31.9,31.5,30.4,50,3979698176,2692198400,1164189696,32.4,76705792,1213702144,104853504,104853504,0,0,15379681280,10904363008,3798581248,74.2,264289280,30773248,233516032,11.6,1202244096,110126080,11.0113198836644,"EDGE","CNN","128",0.1
13,4.2,"2021-07-08 18:15:53.649540",31.1,31.8,37,29.8,50,3979698176,2674540544,1184989184,32.8,76795904,1210507264,104853504,104853504,0,0,15379681280,10904367104,3798577152,74.2,264289280,30773248,233516032,11.6,1202244096,110384128,12.0124821980794,"EDGE","CNN","128",0.1
14,4.3,"2021-07-08 18:16:53.719115",37.1,37.1,35.2,34.7,50,3979698176,2675494912,1180438528,32.8,76886016,1214132224,104853504,104853504,0,0,15379681280,10904391680,3798552576,74.2,264289280,30773248,233516032,11.6,1202244096,110621696,13.0136417826017,"EDGE","CNN","128",0.1
15,4.3,"2021-07-08 18:17:53.789326",36.4,38.6,36.6,33.2,66.7,3979698176,2673225728,1182629888,32.8,76984320,1214349312,104853504,104853504,0,0,15379681280,10904395776,3798548480,74.2,264289280,30773248,233516032,11.6,1202379264,111232000,14.0148119648298,"EDGE","CNN","128",0.1
16,4.3,"2021-07-08 18:18:53.864646",36.3,39.1,36.6,33.5,50,3979698176,2677129216,1181204480,32.7,77074432,1207492608,104853504,104853504,0,0,15379681280,10904420352,3798523904,74.2,264289280,30773248,233516032,11.6,1202379264,111461376,15.0160672982534,"EDGE","CNN","128",0.1
17,4.3,"2021-07-08 18:19:53.938847",30.8,32.4,36.9,29.7,66.7,3979698176,2680320000,1177997312,32.7,77160448,1207463936,104853504,104853504,0,0,15379681280,10904428544,3798515712,74.2,264289280,30773248,233516032,11.6,1202379264,111711232,16.0173039833705,"EDGE","CNN","128",0.1
18,4.3,"2021-07-08 18:20:54.008470",31.4,34.6,35.5,34.5,50,3979698176,2684899328,1173409792,32.5,77160448,1207496704,104853504,104853504,0,0,15379681280,10904453120,3798491136,74.2,264289280,30773248,233516032,11.6,1202379264,112034816,17.018464366595,"EDGE","CNN","128",0.1
19,4.3,"2021-07-08 18:21:54.079246",34.7,36,35.4,32.2,50,3979698176,2694819840,1160351744,32.3,77160448,1210638336,104853504,104853504,0,0,15379681280,10904457216,3798487040,74.2,264289280,30773248,233516032,11.6,1202379264,112346112,18.0196439663569,"EDGE","CNN","128",0.1
20,4.2,"2021-07-08 18:22:54.165375",36.8,35.2,37.5,31.9,75,3979698176,2686046208,1167552512,32.5,77160448,1212227584,104853504,104853504,0,0,15379681280,10904473600,3798470656,74.2,264289280,30773248,233516032,11.6,1202379264,112583680,19.0210794488589,"EDGE","CNN","128",0.1
21,4.3,"2021-07-08 18:23:54.232356",36.4,37.1,35.4,32.3,66.7,3979698176,2686013440,1168633856,32.5,77160448,1211256832,104853504,104853504,0,0,15379681280,10904494080,3798450176,74.2,264289280,30773248,233516032,11.6,1202379264,112821248,20.0221958001455,"EDGE","CNN","128",0.1
22,4.3,"2021-07-08 18:24:54.315756",36.6,34.8,37.1,32.7,100,3979698176,2696671232,1156923392,32.2,77160448,1212268544,104853504,104853504,0,0,15379681280,10904510464,3798433792,74.2,264289280,30773248,233516032,11.6,1202379264,113124352,21.0235858003298,"EDGE","CNN","128",0.1
23,4.3,"2021-07-08 18:25:54.386856",35.4,32.5,37.4,31.9,0,3979698176,2693214208,1161433088,32.3,77160448,1211224064,104853504,104853504,0,0,15379681280,10904518656,3798425600,74.2,264289280,30773248,233516032,11.6,1202379264,113468416,22.0247708002726,"EDGE","CNN","128",0.1
24,4.3,"2021-07-08 18:26:54.455568",35.6,34.3,36.4,32.4,50,3979698176,2695135232,1160032256,32.3,77160448,1210716160,104853504,104853504,0,0,15379681280,10904530944,3798413312,74.2,264289280,30773248,233516032,11.6,1202379264,113701888,23.0259160002073,"EDGE","CNN","128",0.1
25,4.3,"2021-07-08 18:27:54.517253",36.7,36,38.2,32.7,33.3,3979698176,2697388032,1157255168,32.2,77160448,1211330560,104853504,104853504,0,0,15379681280,10904563712,3798380544,74.2,264289280,30773248,233516032,11.6,1202379264,113964032,24.0269440809886,"EDGE","CNN","128",0.1
26,4.4,"2021-07-08 18:28:54.591824",38.9,35.6,37.4,32.5,66.7,3979698176,2705108992,1147416576,32,77160448,1213480960,104853504,104853504,0,0,15379681280,10904576000,3798368256,74.2,264289280,30773248,233516032,11.6,1202399744,114275328,25.0281869331996,"EDGE","CNN","128",0.1
27,4.3,"2021-07-08 18:29:54.604638",34.3,35.7,35.8,32.3,50,3979698176,2708815872,1144770560,31.9,77225984,1212358656,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114500608,26.0284005006154,"EDGE","CNN","128",0.1
28,3.4,"2021-07-08 18:30:54.686064",1.2,2.5,2.8,0.4,40,3979698176,2715971584,1145745408,31.8,77238272,1204224000,104853504,104853504,0,0,15379681280,10904571904,3798372352,74.2,264289280,30773248,233516032,11.6,1202399744,114557952,27.0297575990359,"EDGE","CNN","128",0.1
