"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","ClassificationTime","Platform","Algorithm","Size","Workload"
1,"2021-06-30 17:17:06.156459",62.7233307361603,63.5399024486542,"0:00:00.816149",0,0.816149,"EDGE","CNN","32",0.5
2,"2021-06-30 17:17:06.299241",62.8340504169464,63.3130135536194,"0:00:00.141104",0.00237969954808553,0.141104,"EDGE","CNN","32",0.5
3,"2021-06-30 17:17:06.438678",62.7633021672567,63.1286377112071,"0:00:00.137815",0.00470364888509115,0.137815,"EDGE","CNN","32",0.5
4,"2021-06-30 17:17:06.584194",62.3416944742203,62.6504675745964,"0:00:00.138795",0.00712891419728597,0.138795,"EDGE","CNN","32",0.5
5,"2021-06-30 17:17:06.962521",62.0164922237396,62.3388758659363,"0:00:00.376561",0.013434366385142,0.376561,"EDGE","CNN","32",0.5
6,"2021-06-30 17:17:07.101974",62.1226573785146,62.4143151839574,"0:00:00.137765",0.0157585819562276,0.137765,"EDGE","CNN","32",0.5
7,"2021-06-30 17:17:07.240777",61.9223991802761,62.1920052255903,"0:00:00.136975",0.0180719653765361,0.136975,"EDGE","CNN","32",0.5
8,"2021-06-30 17:17:07.387286",61.725108474493,61.9791141450405,"0:00:00.144506",0.0205137809117635,0.144506,"EDGE","CNN","32",0.5
9,"2021-06-30 17:17:07.526361",61.5321732362111,61.773223373625,"0:00:00.137135",0.0228316982587179,0.137135,"EDGE","CNN","32",0.5
10,"2021-06-30 17:17:07.665327",61.3408219814301,61.571506357193,"0:00:00.137124",0.025147799650828,0.137124,"EDGE","CNN","32",0.5
11,"2021-06-30 17:17:07.804804",61.1510211771185,61.3732591325587,"0:00:00.137502",0.0274724165598551,0.137502,"EDGE","CNN","32",0.5
12,"2021-06-30 17:17:07.954900",60.9623355468114,61.178412258625,"0:00:00.147965",0.0299740155537923,0.147965,"EDGE","CNN","32",0.5
13,"2021-06-30 17:17:08.094795",60.7747819056878,60.9848718276391,"0:00:00.137976",0.0323055982589722,0.137976,"EDGE","CNN","32",0.5
14,"2021-06-30 17:17:08.234235",60.5879638195038,60.792888368879,"0:00:00.137508",0.0346295992533366,0.137508,"EDGE","CNN","32",0.5
15,"2021-06-30 17:17:08.373753",60.401173210144,60.6016296545664,"0:00:00.137640",0.0369548996289571,0.13764,"EDGE","CNN","32",0.5
16,"2021-06-30 17:17:08.524957",60.2147897928953,60.4120573699474,"0:00:00.149159",0.0394749641418457,0.149159,"EDGE","CNN","32",0.5
17,"2021-06-30 17:17:08.663851",60.0293438154108,60.2230823320501,"0:00:00.136960",0.0417898654937744,0.13696,"EDGE","CNN","32",0.5
18,"2021-06-30 17:17:08.803578",59.8421103292041,60.0327549642987,"0:00:00.137779",0.0441186467806498,0.137779,"EDGE","CNN","32",0.5
19,"2021-06-30 17:17:08.943133",59.6573101093895,59.8451807875382,"0:00:00.137648",0.046444567044576,0.137648,"EDGE","CNN","32",0.5
20,"2021-06-30 17:17:09.094286",59.4722761631012,59.6582224488258,"0:00:00.149113",0.0489637811978658,0.149113,"EDGE","CNN","32",0.5
21,"2021-06-30 17:17:09.234975",59.2881564753396,59.4718679132916,"0:00:00.138744",0.0513086001078288,0.138744,"EDGE","CNN","32",0.5
22,"2021-06-30 17:17:09.373715",59.1040487397801,59.2856399687854,"0:00:00.136785",0.0536209305127462,0.136785,"EDGE","CNN","32",0.5
23,"2021-06-30 17:17:09.522459",58.9194503141486,59.0995352268219,"0:00:00.146673",0.0560999989509583,0.146673,"EDGE","CNN","32",0.5
24,"2021-06-30 17:17:09.662041",58.7355897029241,58.9139188329379,"0:00:00.137661",0.0584263642628988,0.137661,"EDGE","CNN","32",0.5
25,"2021-06-30 17:17:09.801548",58.5513395118713,58.7280497741699,"0:00:00.137589",0.060751481850942,0.137589,"EDGE","CNN","32",0.5
26,"2021-06-30 17:17:09.941503",58.3675621931369,58.5427924119509,"0:00:00.137959",0.0630840659141541,0.137959,"EDGE","CNN","32",0.5
27,"2021-06-30 17:17:10.092423",58.1832590544665,58.3575206862556,"0:00:00.148807",0.0655993978182475,0.148807,"EDGE","CNN","32",0.5
28,"2021-06-30 17:17:10.231977",58.0002697195326,58.1732315676553,"0:00:00.137596",0.0679252982139587,0.137596,"EDGE","CNN","32",0.5
29,"2021-06-30 17:17:10.370791",57.8170664392669,57.9887952886779,"0:00:00.136933",0.0702388644218445,0.136933,"EDGE","CNN","32",0.5
30,"2021-06-30 17:17:10.509883",57.6341494083405,57.8047347466151,"0:00:00.137150",0.0725570638974508,0.13715,"EDGE","CNN","32",0.5
31,"2021-06-30 17:17:10.660679",57.4512093374806,57.6210987029537,"0:00:00.148722",0.075070333480835,0.148722,"EDGE","CNN","32",0.5
32,"2021-06-30 17:17:10.796402",57.2685794085264,57.4373484253883,"0:00:00.133728",0.0773323814074198,0.133728,"EDGE","CNN","32",0.5
33,"2021-06-30 17:17:10.931702",57.0856842272209,57.2533896619623,"0:00:00.133365",0.0795873800913493,0.133365,"EDGE","CNN","32",0.5
34,"2021-06-30 17:17:11.067502",56.9025945032344,57.0693152792314,"0:00:00.133958",0.0818507154782613,0.133958,"EDGE","CNN","32",0.5
35,"2021-06-30 17:17:11.215284",56.7193130901882,56.885446357727,"0:00:00.145890",0.0843137502670288,0.14589,"EDGE","CNN","32",0.5
36,"2021-06-30 17:17:11.351098",56.5362882415454,56.7015326884058,"0:00:00.133817",0.086577316125234,0.133817,"EDGE","CNN","32",0.5
37,"2021-06-30 17:17:11.487086",56.3527264981656,56.5171357296609,"0:00:00.134076",0.0888437827428182,0.134076,"EDGE","CNN","32",0.5
38,"2021-06-30 17:17:11.638927",56.1693252513283,56.333277357252,"0:00:00.146769",0.0913744648297628,0.146769,"EDGE","CNN","32",0.5
39,"2021-06-30 17:17:11.778699",55.9858897465926,56.149179599224,"0:00:00.137856",0.0937039971351624,0.137856,"EDGE","CNN","32",0.5
40,"2021-06-30 17:17:11.919817",55.8027725458145,55.9654682338238,"0:00:00.139254",0.0960559646288554,0.139254,"EDGE","CNN","32",0.5
41,"2021-06-30 17:17:12.059479",55.6197102128006,55.781804294121,"0:00:00.137766",0.0983836650848389,0.137766,"EDGE","CNN","32",0.5
42,"2021-06-30 17:17:12.210640",55.4364168076288,55.598207797323,"0:00:00.149062",0.10090301434199,0.149062,"EDGE","CNN","32",0.5
43,"2021-06-30 17:17:12.350821",55.2535484003466,55.414799451828,"0:00:00.138265",0.103239365418752,0.138265,"EDGE","CNN","32",0.5
44,"2021-06-30 17:17:12.490206",55.0707804831592,55.2314978079362,"0:00:00.137508",0.105562448501587,0.137508,"EDGE","CNN","32",0.5
45,"2021-06-30 17:17:12.630170",54.8878857506646,55.0481051762899,"0:00:00.138045",0.107895183563232,0.138045,"EDGE","CNN","32",0.5
46,"2021-06-30 17:17:12.781462",54.704698547073,54.864687240642,"0:00:00.149342",0.110416714350382,0.149342,"EDGE","CNN","32",0.5
47,"2021-06-30 17:17:12.920713",54.5221050546524,54.6816173918704,"0:00:00.137337",0.11273756424586,0.137337,"EDGE","CNN","32",0.5
48,"2021-06-30 17:17:13.059285",54.3393782029549,54.4984189371268,"0:00:00.136573",0.115047097206116,0.136573,"EDGE","CNN","32",0.5
49,"2021-06-30 17:17:13.208475",54.1565740497745,54.3153791670897,"0:00:00.147230",0.117533600330353,0.14723,"EDGE","CNN","32",0.5
50,"2021-06-30 17:17:13.348240",53.9741614151001,54.1325523471832,"0:00:00.137827",0.119863013426463,0.137827,"EDGE","CNN","32",0.5
51,"2021-06-30 17:17:13.488540",53.791798881456,53.9498037730946,"0:00:00.138434",0.122201347351074,0.138434,"EDGE","CNN","32",0.5
52,"2021-06-30 17:17:13.628841",53.6093702178735,53.7670028484785,"0:00:00.138381",0.124539697170258,0.138381,"EDGE","CNN","32",0.5
53,"2021-06-30 17:17:13.780031",53.4269366399297,53.5844165784008,"0:00:00.149245",0.127059531211853,0.149245,"EDGE","CNN","32",0.5
54,"2021-06-30 17:17:13.919566",53.244564904107,53.4016825358073,"0:00:00.137628",0.129385113716125,0.137628,"EDGE","CNN","32",0.5
55,"2021-06-30 17:17:14.059399",53.0621440714056,53.2189175995913,"0:00:00.137928",0.131715663274129,0.137928,"EDGE","CNN","32",0.5
56,"2021-06-30 17:17:14.198780",52.8796519041061,53.0360848009586,"0:00:00.137419",0.134038682778676,0.137419,"EDGE","CNN","32",0.5
57,"2021-06-30 17:17:14.350258",52.6970271687759,52.8533432065395,"0:00:00.149528",0.136563316980998,0.149528,"EDGE","CNN","32",0.5
58,"2021-06-30 17:17:14.489947",52.514570495178,52.670570916143,"0:00:00.137745",0.138891466458639,0.137745,"EDGE","CNN","32",0.5
59,"2021-06-30 17:17:14.630116",52.3319094908439,52.4876136052406,"0:00:00.138255",0.141227614879608,0.138255,"EDGE","CNN","32",0.5
60,"2021-06-30 17:17:14.769711",52.1490869720777,52.3044956564903,"0:00:00.137712",0.143554198741913,0.137712,"EDGE","CNN","32",0.5
61,"2021-06-30 17:17:14.921767",51.9661557205388,52.1214809026874,"0:00:00.149393",0.14608846505483,0.149393,"EDGE","CNN","32",0.5
62,"2021-06-30 17:17:15.060950",51.7834613284757,51.9384980663176,"0:00:00.137166",0.148408182462056,0.137166,"EDGE","CNN","32",0.5
63,"2021-06-30 17:17:15.200247",51.6006316457476,51.7553935088809,"0:00:00.137420",0.15072979927063,0.13742,"EDGE","CNN","32",0.5
64,"2021-06-30 17:17:15.349413",51.4176966771483,51.5723450742662,"0:00:00.147188",0.153215897083282,0.147188,"EDGE","CNN","32",0.5
65,"2021-06-30 17:17:15.489074",51.2349291581374,51.389321745359,"0:00:00.137755",0.155543581644694,0.137755,"EDGE","CNN","32",0.5
66,"2021-06-30 17:17:15.635238",51.0520642562346,51.2063074437055,"0:00:00.144224",0.157979647318522,0.144224,"EDGE","CNN","32",0.5
67,"2021-06-30 17:17:15.775136",50.8693419890617,51.0233468262117,"0:00:00.138008",0.160311281681061,0.138008,"EDGE","CNN","32",0.5
68,"2021-06-30 17:17:15.926518",50.6867000916425,50.8406409831608,"0:00:00.149390",0.162834314505259,0.14939,"EDGE","CNN","32",0.5
69,"2021-06-30 17:17:16.065887",50.5042813204337,50.6579876222472,"0:00:00.137491",0.165157131354014,0.137491,"EDGE","CNN","32",0.5
70,"2021-06-30 17:17:16.205386",50.3217368194035,50.4752169132233,"0:00:00.137606",0.167482113838196,0.137606,"EDGE","CNN","32",0.5
71,"2021-06-30 17:17:16.344398",50.1391803848911,50.2924337353505,"0:00:00.137115",0.169798982143402,0.137115,"EDGE","CNN","32",0.5
72,"2021-06-30 17:17:16.495199",49.9566919737392,50.10988811983,"0:00:00.148871",0.172312331199646,0.148871,"EDGE","CNN","32",0.5
73,"2021-06-30 17:17:16.636720",49.7743540724663,49.9273326756203,"0:00:00.137053",0.174671014149984,0.137053,"EDGE","CNN","32",0.5
74,"2021-06-30 17:17:16.775615",49.5920279960375,49.7447947811436,"0:00:00.137055",0.176985931396484,0.137055,"EDGE","CNN","32",0.5
75,"2021-06-30 17:17:16.924473",49.409720436732,49.5624122524261,"0:00:00.146881",0.179466899236043,0.146881,"EDGE","CNN","32",0.5
76,"2021-06-30 17:17:17.063673",49.2273266189977,49.379819829213,"0:00:00.137335",0.181786898771922,0.137335,"EDGE","CNN","32",0.5
77,"2021-06-30 17:17:17.204380",49.0449981937161,49.1973160118252,"0:00:00.138720",0.184132015705109,0.13872,"EDGE","CNN","32",0.5
78,"2021-06-30 17:17:17.344080",48.8625687727561,49.0147030414679,"0:00:00.137737",0.186460347970327,0.137737,"EDGE","CNN","32",0.5
79,"2021-06-30 17:17:17.495085",48.6799768194368,48.8320750948749,"0:00:00.149022",0.188977098464966,0.149022,"EDGE","CNN","32",0.5
80,"2021-06-30 17:17:17.634204",48.4974209785461,48.6493363291025,"0:00:00.137190",0.191295746962229,0.13719,"EDGE","CNN","32",0.5
81,"2021-06-30 17:17:17.773396",48.3148260999609,48.4665637428378,"0:00:00.137259",0.193615615367889,0.137259,"EDGE","CNN","32",0.5
82,"2021-06-30 17:17:17.912957",48.1321220572402,48.2836905659699,"0:00:00.137599",0.195941630999247,0.137599,"EDGE","CNN","32",0.5
83,"2021-06-30 17:17:18.064271",47.949332205646,48.1008770379675,"0:00:00.149338",0.198463531335195,0.149338,"EDGE","CNN","32",0.5
84,"2021-06-30 17:17:18.203926",47.7666173009645,47.9180006725447,"0:00:00.137718",0.200791116555532,0.137718,"EDGE","CNN","32",0.5
