imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-07-06 13:00:58.150972,53.4634485244751,55.841827154159546,0:00:02.378006
2,2021-07-06 13:00:58.294352,54.1548148393631,55.41358530521393,0:00:00.138767
3,2021-07-06 13:00:58.429819,54.09371201197306,54.97747270266215,0:00:00.133475
4,2021-07-06 13:00:58.564878,53.84310972690582,54.53927385807037,0:00:00.133111
5,2021-07-06 13:00:58.952662,53.51821722984314,54.15078144073486,0:00:00.377657
6,2021-07-06 13:00:59.089743,53.19563285509745,53.7453723748525,0:00:00.135138
7,2021-07-06 13:00:59.224031,52.83971905708313,53.32990033285959,0:00:00.132590
8,2021-07-06 13:00:59.366659,52.46258744597435,52.909166902303696,0:00:00.141123
9,2021-07-06 13:00:59.501575,52.07227558559842,52.48408216900296,0:00:00.133376
10,2021-07-06 13:00:59.635031,51.672012257575986,52.055858206748965,0:00:00.131950
11,2021-07-06 13:00:59.769948,51.264325467022985,51.625429218465634,0:00:00.133437
12,2021-07-06 13:00:59.916292,50.85120133558909,51.194298803806305,0:00:00.144780
13,2021-07-06 13:01:00.051383,50.434766677709725,50.76176795592675,0:00:00.133599
14,2021-07-06 13:01:00.186788,50.014934114047456,50.32815933227539,0:00:00.133692
15,2021-07-06 13:01:00.322092,49.592395035425824,49.893675581614175,0:00:00.133820
16,2021-07-06 13:01:00.468758,49.16765797138214,49.4591943025589,0:00:00.145129
17,2021-07-06 13:01:00.603118,48.741775162079755,49.023992468329034,0:00:00.132836
18,2021-07-06 13:01:00.737753,48.31439680523343,48.588348534372116,0:00:00.133194
19,2021-07-06 13:01:00.872552,47.88582025076214,48.152380893104954,0:00:00.133274
20,2021-07-06 13:01:01.020845,47.45596842765808,47.71654926538467,0:00:00.146722
21,2021-07-06 13:01:01.155738,47.026402087438676,47.2809298265548,0:00:00.133208
22,2021-07-06 13:01:01.290774,46.59589535539801,46.84493501619859,0:00:00.133538
23,2021-07-06 13:01:01.434494,46.165159878523454,46.409565624983415,0:00:00.142217
24,2021-07-06 13:01:01.569587,45.73458038767179,45.97438175479571,0:00:00.133657
25,2021-07-06 13:01:01.703853,45.30330021858215,45.53883008003235,0:00:00.132773
26,2021-07-06 13:01:01.839578,44.87129845069005,45.102941256303055,0:00:00.134220
27,2021-07-06 13:01:01.985526,44.438709055935895,44.667130399633336,0:00:00.144412
28,2021-07-06 13:01:02.120086,44.00626728364399,44.231289429324015,0:00:00.132996
29,2021-07-06 13:01:02.255647,43.573266941925574,43.7951622995837,0:00:00.134097
30,2021-07-06 13:01:02.390522,43.13979864915212,43.35875270366669,0:00:00.133410
31,2021-07-06 13:01:02.536215,42.70588829440455,42.922436475753784,0:00:00.144127
32,2021-07-06 13:01:02.671022,42.27191083878279,42.485865853726864,0:00:00.133324
33,2021-07-06 13:01:02.805249,41.83754417390534,42.04904691378275,0:00:00.132784
34,2021-07-06 13:01:02.940297,41.402808112256665,41.61202427218942,0:00:00.133508
35,2021-07-06 13:01:03.087287,40.96775635310582,41.175156811305456,0:00:00.145416
36,2021-07-06 13:01:03.221570,40.53274370564355,40.73807907766766,0:00:00.132809
37,2021-07-06 13:01:03.356602,40.097426633577086,40.3008284053287,0:00:00.133538
38,2021-07-06 13:01:03.500758,39.661848871331465,39.863657807049,0:00:00.142636
39,2021-07-06 13:01:03.635703,39.226264116091606,39.42632753421099,0:00:00.133409
40,2021-07-06 13:01:03.770897,38.79076305627823,38.989174449443816,0:00:00.133739
41,2021-07-06 13:01:03.906106,38.355034613027804,38.55187210804078,0:00:00.133641
42,2021-07-06 13:01:04.052498,37.91946503661928,38.11507082553137,0:00:00.144867
