imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-07-02 19:09:43.487806,65.97665357589722,66.25044536590576,0:00:00.273305
2,2021-07-02 19:09:43.724407,65.74856376647949,66.00313258171082,0:00:00.235029
3,2021-07-02 19:09:44.020703,65.49983541170756,65.76791135470073,0:00:00.294808
4,2021-07-02 19:09:44.290098,65.25991904735565,65.52802699804306,0:00:00.267928
5,2021-07-02 19:09:44.546190,65.01737799644471,65.28282270431518,0:00:00.254504
6,2021-07-02 19:09:44.726488,64.77146875858307,65.02251295248668,0:00:00.178748
7,2021-07-02 19:09:44.979230,64.51229500770569,64.76339547974723,0:00:00.251148
8,2021-07-02 19:09:45.196290,64.2548209130764,64.50151538848877,0:00:00.215574
9,2021-07-02 19:09:45.425857,63.994191593594024,64.23884256680806,0:00:00.228012
10,2021-07-02 19:09:45.691423,63.73223876953125,63.97884979248047,0:00:00.263961
11,2021-07-02 19:09:45.914950,63.47321157021956,63.71761187640104,0:00:00.221984
12,2021-07-02 19:09:46.156142,63.21294182538986,63.45696918169657,0:00:00.239586
13,2021-07-02 19:09:46.301845,62.953144366924576,63.18951674608084,0:00:00.144225
14,2021-07-02 19:09:46.363237,62.686576809201924,62.91035030569349,0:00:00.059698
15,2021-07-02 19:09:46.618396,62.408914947509764,62.63468831380208,0:00:00.253518
16,2021-07-02 19:09:46.831962,62.13454428315163,62.35947644710541,0:00:00.212023
17,2021-07-02 19:09:47.062189,61.86017429127413,62.08534734389361,0:00:00.228792
18,2021-07-02 19:09:47.330444,61.58689222070906,61.814386659198334,0:00:00.266668
19,2021-07-02 19:09:47.583648,61.31666088104248,61.54544382346304,0:00:00.251702
20,2021-07-02 19:09:47.839924,61.04781347513199,61.27791088819504,0:00:00.254758
21,2021-07-02 19:09:48.111957,60.780778090159096,61.012814578555876,0:00:00.270563
22,2021-07-02 19:09:48.305438,60.51412211764943,60.744351690465756,0:00:00.191956
23,2021-07-02 19:09:48.369857,60.24748536814814,60.47045345928358,0:00:00.062928
24,2021-07-02 19:09:48.584922,59.97403513391813,60.19662183523178,0:00:00.213401
25,2021-07-02 19:09:48.729047,59.700669374465946,59.92006678581238,0:00:00.142567
26,2021-07-02 19:09:48.961807,59.42457131239084,59.64443398438967,0:00:00.231204
27,2021-07-02 19:09:49.171368,59.14938529332479,59.36882021692064,0:00:00.208023
28,2021-07-02 19:09:49.415646,58.874396613665986,59.09467601776123,0:00:00.242804
29,2021-07-02 19:09:49.715403,58.590969661186485,58.81394804757217,0:00:00.298290
30,2021-07-02 19:09:49.891612,58.310788941383365,58.5321666876475,0:00:00.174656
31,2021-07-02 19:09:50.170953,58.03027327599064,58.2534810573824,0:00:00.277790
32,2021-07-02 19:09:50.418931,57.752220667898655,57.976163908839226,0:00:00.246483
33,2021-07-02 19:09:50.608223,57.475310643514,57.69816267129147,0:00:00.187621
34,2021-07-02 19:09:50.844787,57.197679323308606,57.42089784145355,0:00:00.235036
35,2021-07-02 19:09:51.128185,56.920826401029316,57.145730004991805,0:00:00.281905
36,2021-07-02 19:09:51.355788,56.64624034696155,56.87118550803926,0:00:00.226106
37,2021-07-02 19:09:51.595831,56.37202905964207,56.59735001100076,0:00:00.238558
