imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-06-29 18:53:05.770288,96.22970986366272,96.3903431892395,0:00:00.160246
2,2021-06-29 18:53:05.882376,95.94642317295074,96.08218252658844,0:00:00.110654
3,2021-06-29 18:53:05.992879,95.63495961825053,95.76190725962321,0:00:00.109071
4,2021-06-29 18:53:06.103999,95.32048922777176,95.44316202402115,0:00:00.109604
5,2021-06-29 18:53:06.216867,95.0012610912323,95.12172746658325,0:00:00.111404
6,2021-06-29 18:53:06.327443,94.68110863367717,94.79972922801971,0:00:00.109161
7,2021-06-29 18:53:06.438191,94.35928610392979,94.47661164828709,0:00:00.109320
8,2021-06-29 18:53:06.551817,94.03901141881943,94.15572094917297,0:00:00.112164
9,2021-06-29 18:53:06.662023,93.71694861518012,93.83280229568481,0:00:00.108771
10,2021-06-29 18:53:06.772278,93.39403090476989,93.5092033624649,0:00:00.108811
11,2021-06-29 18:53:06.884917,93.07032604651017,93.1851622841575,0:00:00.111237
12,2021-06-29 18:53:06.995932,92.74698913097382,92.86140807469685,0:00:00.109602
13,2021-06-29 18:53:07.106154,92.42307760165288,92.53707693173335,0:00:00.108729
14,2021-06-29 18:53:07.219709,92.09992529664721,92.2138067994799,0:00:00.112123
15,2021-06-29 18:53:07.330006,91.77677472432454,91.89033169746399,0:00:00.108770
16,2021-06-29 18:53:07.439957,91.45388115942478,91.56713843345642,0:00:00.108529
17,2021-06-29 18:53:07.553085,91.13048268766964,91.24366071644951,0:00:00.111678
18,2021-06-29 18:53:07.666455,90.8076730966568,90.92079673873053,0:00:00.111921
19,2021-06-29 18:53:07.776352,90.484796022114,90.59768509864807,0:00:00.108435
20,2021-06-29 18:53:07.887040,90.16133763790131,90.27405455112458,0:00:00.109210
21,2021-06-29 18:53:07.999369,89.8376397064754,89.95028146107991,0:00:00.110868
22,2021-06-29 18:53:08.112864,89.51395460692319,89.62657563252883,0:00:00.111942
23,2021-06-29 18:53:08.223401,89.1900239923726,89.30250358581543,0:00:00.109132
24,2021-06-29 18:53:08.334910,88.86632317304611,88.97871154546738,0:00:00.110010
25,2021-06-29 18:53:08.448501,88.5427972316742,88.65518643379211,0:00:00.112143
26,2021-06-29 18:53:08.558534,88.21891135435838,88.33116252605731,0:00:00.108516
27,2021-06-29 18:53:08.668546,87.89478978404293,88.00691439487316,0:00:00.108603
28,2021-06-29 18:53:08.780930,87.57035211154393,87.6824438061033,0:00:00.110972
29,2021-06-29 18:53:08.893160,87.24588376078113,87.35793989280174,0:00:00.110822
30,2021-06-29 18:53:09.003219,86.92140664259593,87.03335712750753,0:00:00.108655
31,2021-06-29 18:53:09.113979,86.59685218718744,86.70872382194766,0:00:00.109263
32,2021-06-29 18:53:09.224739,86.27204874902964,86.38384870439768,0:00:00.109296
33,2021-06-29 18:53:09.334761,85.9472512404124,86.05896183216211,0:00:00.108618
34,2021-06-29 18:53:09.445331,85.62244038020863,85.73408156282761,0:00:00.109113
35,2021-06-29 18:53:09.557821,85.29771926062448,85.40935121263776,0:00:00.111085
36,2021-06-29 18:53:09.668493,84.97344455454085,85.08501727051205,0:00:00.109266
37,2021-06-29 18:53:09.778470,84.64855799159488,84.76005575463579,0:00:00.108564
38,2021-06-29 18:53:09.888617,84.32420702984459,84.43563843400855,0:00:00.108743
39,2021-06-29 18:53:09.999930,84.00018039116493,84.11157865402026,0:00:00.109905
40,2021-06-29 18:53:10.110523,83.67595101594925,83.78729829192162,0:00:00.109129
41,2021-06-29 18:53:10.221390,83.35193338045259,83.4632404083159,0:00:00.109460
42,2021-06-29 18:53:10.331862,83.02800123464493,83.13926040558587,0:00:00.109065
43,2021-06-29 18:53:10.442216,82.7040423459785,82.81525228189868,0:00:00.108910
44,2021-06-29 18:53:10.555488,82.37996278567748,82.4911933758042,0:00:00.111889
45,2021-06-29 18:53:10.665608,82.05579087469313,82.16696960131327,0:00:00.108661
46,2021-06-29 18:53:10.776384,81.73157913788505,81.84272286166315,0:00:00.109336
47,2021-06-29 18:53:10.893595,81.407462525875,81.51856121103815,0:00:00.108780
48,2021-06-29 18:53:11.003846,81.08339568475883,81.19445239504178,0:00:00.108853
49,2021-06-29 18:53:11.114759,80.75943425723484,80.87046274846914,0:00:00.109438
50,2021-06-29 18:53:11.225351,80.4355022096634,80.5464984512329,0:00:00.109191
51,2021-06-29 18:53:11.335420,80.11149670563492,80.2224508079828,0:00:00.108611
52,2021-06-29 18:53:11.449124,79.78754111895195,79.89852472910515,0:00:00.112254
