imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-07-02 21:20:46.627296,6.098313808441162,6.39709734916687,0:00:00.298315
2,2021-07-02 21:20:46.831948,5.754550814628601,6.005648493766785,0:00:00.202555
3,2021-07-02 21:20:47.061810,5.36985969543457,5.613477389017741,0:00:00.228404
4,2021-07-02 21:20:47.288363,4.983840823173523,5.222879350185394,0:00:00.225041
5,2021-07-02 21:20:47.506830,4.595372533798217,4.829932928085327,0:00:00.216394
6,2021-07-02 21:20:47.720932,4.204177975654602,4.435108383496602,0:00:00.212521
7,2021-07-02 21:20:47.965206,3.810758965356009,4.043421506881714,0:00:00.242804
8,2021-07-02 21:20:48.229922,3.420017272233963,3.6564498245716095,0:00:00.262547
9,2021-07-02 21:20:48.954168,3.0901770326826306,3.323505851957533,0:00:00.208237
10,2021-07-02 21:20:49.996293,2.826361560821533,3.0598387479782105,0:00:00.234555
11,2021-07-02 21:20:51.006426,2.610627196051858,2.844228917902166,0:00:00.234631
12,2021-07-02 21:20:52.065787,2.431058923403422,2.668483873208364,0:00:00.279106
13,2021-07-02 21:20:53.020249,2.278782074268048,2.5153468205378604,0:00:00.226023
14,2021-07-02 21:20:54.111618,2.1558777264186313,2.389622858592442,0:00:00.196879
15,2021-07-02 21:20:55.180506,2.050815804799398,2.284760618209839,0:00:00.236490
16,2021-07-02 21:20:56.081966,1.9508573412895203,2.184785410761833,0:00:00.233318
17,2021-07-02 21:20:57.119972,1.8627117241130156,2.0993235672221466,0:00:00.279337
18,2021-07-02 21:20:58.003704,1.7843131489223905,2.01639723777771,0:00:00.154899
19,2021-07-02 21:20:59.101397,1.71418759697362,1.9467673678147166,0:00:00.241142
20,2021-07-02 21:21:00.146979,1.6510895490646362,1.8857571721076964,0:00:00.273952
21,2021-07-02 21:21:01.053949,1.5939199583871024,1.825666870389666,0:00:00.173111
22,2021-07-02 21:21:02.132115,1.5419360290874133,1.7745054851878772,0:00:00.249611
23,2021-07-02 21:21:03.154431,1.4944679944411567,1.7286858765975288,0:00:00.270277
24,2021-07-02 21:21:04.191307,1.4510069886843364,1.6874869763851166,0:00:00.288260
25,2021-07-02 21:21:05.061388,1.4110447692871093,1.64405517578125,0:00:00.149526
26,2021-07-02 21:21:06.114457,1.374254795221182,1.6056388983359704,0:00:00.190488
27,2021-07-02 21:21:07.244353,1.3400764641938385,1.5745838041658755,0:00:00.315495
28,2021-07-02 21:21:08.119462,1.3084000774792262,1.5410611118589128,0:00:00.182592
29,2021-07-02 21:21:09.189770,1.2788713882709373,1.5120230543202366,0:00:00.246639
30,2021-07-02 21:21:10.178958,1.2513001044591268,1.4842539389928182,0:00:00.226669
31,2021-07-02 21:21:11.217446,1.2255087514077463,1.4591910608353154,0:00:00.255315
