imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-06-30 15:17:44.115809,63.41810393333435,63.59281873703003,0:00:00.174301
2,2021-06-30 15:17:44.232898,63.024986028671265,63.17022168636322,0:00:00.115463
3,2021-06-30 15:17:44.348722,62.59442981084188,62.729470094045006,0:00:00.114407
4,2021-06-30 15:17:44.462131,62.154204964637756,62.2835408449173,0:00:00.111966
5,2021-06-30 15:17:44.575356,61.70964336395264,61.8355016708374,0:00:00.111696
6,2021-06-30 15:17:44.688505,61.263423919677734,61.386967857678734,0:00:00.111721
7,2021-06-30 15:17:44.804193,60.815778493881226,60.9380327633449,0:00:00.114264
8,2021-06-30 15:17:44.917856,60.36755394935608,60.48858109116554,0:00:00.112140
9,2021-06-30 15:17:45.033863,59.91872315936618,60.039058685302734,0:00:00.114555
10,2021-06-30 15:17:45.147033,59.470429468154904,59.58992428779602,0:00:00.111673
11,2021-06-30 15:17:45.261389,59.02161476828835,59.1405234336853,0:00:00.112767
12,2021-06-30 15:17:45.374349,58.57248944044113,58.69079953432083,0:00:00.111490
13,2021-06-30 15:17:45.490866,58.123024426973785,58.24110537308913,0:00:00.115072
14,2021-06-30 15:17:45.605216,57.67354912417276,57.79127836227417,0:00:00.112905
15,2021-06-30 15:17:45.717959,57.22391963005066,57.34123810132345,0:00:00.111281
16,2021-06-30 15:17:45.831121,56.77441817522049,56.89140094816685,0:00:00.111694
17,2021-06-30 15:17:45.944187,56.32556376737707,56.442246829762176,0:00:00.111638
18,2021-06-30 15:17:46.058698,55.87644068400065,55.99293805493249,0:00:00.113045
19,2021-06-30 15:17:46.172044,55.42774944556387,55.54401685062208,0:00:00.111864
20,2021-06-30 15:17:46.286512,54.978817117214206,55.094933116436,0:00:00.112969
21,2021-06-30 15:17:46.401815,54.52972682317098,54.64574810436794,0:00:00.113874
22,2021-06-30 15:17:46.514762,54.08054187081077,54.19636854258451,0:00:00.111486
23,2021-06-30 15:17:46.627522,53.63116978562397,53.7468116387077,0:00:00.111319
24,2021-06-30 15:17:46.744156,53.181628008683525,53.297260810931526,0:00:00.115150
25,2021-06-30 15:17:46.857069,52.73208984375,52.84756663322449,0:00:00.111479
26,2021-06-30 15:17:46.973450,52.28245674646818,52.39792331365439,0:00:00.114902
27,2021-06-30 15:17:47.086639,51.832826879289414,51.948164259945905,0:00:00.111721
28,2021-06-30 15:17:47.202812,51.38308353934969,51.498408547469545,0:00:00.114736
29,2021-06-30 15:17:47.317170,50.93381045604574,51.04905910327517,0:00:00.112827
30,2021-06-30 15:17:47.431663,50.48392426172892,50.59910883903503,0:00:00.113073
31,2021-06-30 15:17:47.544870,50.03456647934452,50.14964975080183,0:00:00.111794
32,2021-06-30 15:17:47.658832,49.58509499579668,49.700105518102646,0:00:00.112511
33,2021-06-30 15:17:47.772188,49.13554092609521,49.25046592770201,0:00:00.111931
34,2021-06-30 15:17:47.885105,48.68589420879589,48.80072619634516,0:00:00.111511
35,2021-06-30 15:17:47.997856,48.23615129334586,48.350890159606934,0:00:00.111283
36,2021-06-30 15:17:48.111276,47.78659851021237,47.90126737621095,0:00:00.111972
37,2021-06-30 15:17:48.224453,47.33696208773433,47.45155874458519,0:00:00.111740
38,2021-06-30 15:17:48.342845,46.88724458217621,47.00190817682367,0:00:00.116830
39,2021-06-30 15:17:48.458767,46.43789156277975,46.55255588507041,0:00:00.114465
40,2021-06-30 15:17:48.573845,45.98851256966591,46.1031580388546,0:00:00.113661
41,2021-06-30 15:17:48.689971,45.539459234330714,45.65411149001703,0:00:00.114675
42,2021-06-30 15:17:48.803088,45.090374770618624,45.2049590803328,0:00:00.111549
43,2021-06-30 15:17:48.916022,44.64118853835173,44.75570634353993,0:00:00.111467
44,2021-06-30 15:17:49.029028,44.19190431183035,44.30636125261133,0:00:00.111587
45,2021-06-30 15:17:49.142198,43.74252987437778,43.856932422849866,0:00:00.111764
46,2021-06-30 15:17:49.258964,43.29318948932316,43.40761729427006,0:00:00.115316
47,2021-06-30 15:17:49.372442,42.84384957272956,42.9582279996669,0:00:00.111888
48,2021-06-30 15:17:49.487513,42.394433875878654,42.508802304665245,0:00:00.113652
49,2021-06-30 15:17:49.600100,41.94498419761658,42.05929183959961,0:00:00.111141
50,2021-06-30 15:17:49.716654,41.495454564094544,41.60978087425232,0:00:00.114941
51,2021-06-30 15:17:49.829732,41.04592198951572,41.16020122228884,0:00:00.111672
52,2021-06-30 15:17:49.942855,40.59632455385648,40.71055769920349,0:00:00.111631
53,2021-06-30 15:17:50.056110,40.1466644709965,40.260856682399535,0:00:00.111815
54,2021-06-30 15:17:50.169440,39.696947795373426,39.81110240353478,0:00:00.111910
55,2021-06-30 15:17:50.282986,39.246941128644075,39.361062769456346,0:00:00.112093
56,2021-06-30 15:17:50.400795,38.79700113620077,38.911168166569304,0:00:00.116439
57,2021-06-30 15:17:50.513751,38.347493410110474,38.461618762267264,0:00:00.111541
58,2021-06-30 15:17:50.626799,37.898161378400076,38.01224744319916,0:00:00.111601
59,2021-06-30 15:17:50.740211,37.44886737758831,37.56292051379963,0:00:00.111870
60,2021-06-30 15:17:50.853538,36.99951209227244,37.11353320280711,0:00:00.111843
61,2021-06-30 15:17:50.969967,36.55009845045746,36.66413938803751,0:00:00.114983
62,2021-06-30 15:17:51.083150,36.10067982442917,36.21468707438438,0:00:00.111707
63,2021-06-30 15:17:51.197520,35.651203643708,35.76519789392986,0:00:00.112941
64,2021-06-30 15:17:51.314850,35.20182952657342,35.3158572986722,0:00:00.115887
65,2021-06-30 15:17:51.430901,34.75256227346567,34.86660261154175,0:00:00.114610
66,2021-06-30 15:17:51.544317,34.30351639155185,34.417529734698206,0:00:00.112005
67,2021-06-30 15:17:51.658366,33.85440976584135,33.968405478036225,0:00:00.112583
68,2021-06-30 15:17:51.771528,33.40542848320568,33.519394769388086,0:00:00.111749
69,2021-06-30 15:17:51.884504,32.95657630934232,33.07051140329112,0:00:00.111568
70,2021-06-30 15:17:52.000425,32.50765368597848,32.62160038266863,0:00:00.114498
71,2021-06-30 15:17:52.113976,32.058783638645224,32.172708286365996,0:00:00.112128
72,2021-06-30 15:17:52.416012,31.612561563650768,31.726374586423237,0:00:00.105654
73,2021-06-30 15:17:53.425059,31.178477349346633,31.29217954204507,0:00:00.105503
74,2021-06-30 15:17:54.443867,30.756207404909908,30.869792674038862,0:00:00.104828
75,2021-06-30 15:17:55.457796,30.345149717330933,30.458649349212646,0:00:00.106934
76,2021-06-30 15:17:56.471141,29.944950480210153,30.058336916722748,0:00:00.104680
77,2021-06-30 15:17:57.497871,29.555430994405373,29.66873216938663,0:00:00.106605
78,2021-06-30 15:17:58.487453,29.175591542170597,29.28878406989269,0:00:00.104265
79,2021-06-30 15:17:59.547933,28.805407907389387,28.919220052187956,0:00:00.161719
80,2021-06-30 15:18:00.501969,28.444451504945754,28.558125221729277,0:00:00.102521
81,2021-06-30 15:18:01.510169,28.092352681689793,28.205907842259347,0:00:00.103856
82,2021-06-30 15:18:02.515875,27.748843015694035,27.862274085603108,0:00:00.103159
83,2021-06-30 15:18:03.534951,27.41362844892295,27.526962478476836,0:00:00.105161
84,2021-06-30 15:18:04.615621,27.08648244256065,27.20040935845602,0:00:00.162922
85,2021-06-30 15:18:05.561812,26.766936215232402,26.880816608316756,0:00:00.109756
86,2021-06-30 15:18:06.576377,26.454977581667347,26.568794480589933,0:00:00.108200
87,2021-06-30 15:18:07.587622,26.150151000625787,26.263895385566798,0:00:00.107290
88,2021-06-30 15:18:08.599139,25.852253195914354,25.96587937799367,0:00:00.103127
89,2021-06-30 15:18:09.618102,25.561030430740185,25.67459614625138,0:00:00.108012
90,2021-06-30 15:18:10.685476,25.276195316844515,25.39036330382029,0:00:00.167359
91,2021-06-30 15:18:11.646844,24.99771635872977,25.11178134561895,0:00:00.104535
92,2021-06-30 15:18:12.658499,24.725207230319146,24.839212840018064,0:00:00.108388
93,2021-06-30 15:18:13.685834,24.45867927869161,24.572632082047,0:00:00.108887
94,2021-06-30 15:18:14.694748,24.197758245975415,24.311651909604986,0:00:00.108155
95,2021-06-30 15:18:15.747978,23.942269674100373,24.056623488978335,0:00:00.157370
96,2021-06-30 15:18:16.705389,23.692144590119522,23.806406155228615,0:00:00.105280
97,2021-06-30 15:18:17.734203,23.447313881411993,23.561484221330623,0:00:00.105167
98,2021-06-30 15:18:18.730093,23.207360338191595,23.321481171919373,0:00:00.109105
99,2021-06-30 15:18:19.745563,22.972190047755387,23.086270252863567,0:00:00.109835
100,2021-06-30 15:18:20.774097,22.74178154230118,22.85604024887085,0:00:00.131691
101,2021-06-30 15:18:21.763142,22.51590369951607,22.63014302867474,0:00:00.112082
102,2021-06-30 15:18:22.770141,22.29447577280157,22.40869978362439,0:00:00.112454
103,2021-06-30 15:18:23.773614,22.077324455224193,22.191440591534363,0:00:00.102896
104,2021-06-30 15:18:24.790045,21.864333684627827,21.97836757393984,0:00:00.105348
105,2021-06-30 15:18:25.805845,21.655441556658065,21.76940126192002,0:00:00.106030
106,2021-06-30 15:18:26.883020,21.4505049440096,21.564965108655535,0:00:00.166553
107,2021-06-30 15:18:27.834461,21.24938820455676,21.36377817893697,0:00:00.106730
