imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-06-22 20:21:02.028107,9.81278681755066,10.58846139907837,0:00:00.775420
2,2021-06-22 20:21:02.203741,5.431005477905273,5.901449203491211,0:00:00.164911
3,2021-06-22 20:21:02.340361,3.990072250366211,4.348726034164429,0:00:00.134799
4,2021-06-22 20:21:02.476546,3.2759687304496765,3.578675627708435,0:00:00.134590
5,2021-06-22 20:21:02.852712,2.8509599208831786,3.168076515197754,0:00:00.374479
6,2021-06-22 20:21:02.988182,2.6129920879999795,2.8996081749598184,0:00:00.133846
7,2021-06-22 20:21:03.123986,2.44637884412493,2.7112490790230885,0:00:00.134123
8,2021-06-22 20:21:03.267447,2.3247740864753723,2.5742869079113007,0:00:00.141608
9,2021-06-22 20:21:03.403258,2.2339128918117948,2.470640871259901,0:00:00.134136
10,2021-06-22 20:21:03.538969,2.163611721992493,2.3901066303253176,0:00:00.134128
11,2021-06-22 20:21:03.674412,2.108525341207331,2.326623331416737,0:00:00.133853
12,2021-06-22 20:21:03.821921,2.0645073850949607,2.276598850886027,0:00:00.145751
13,2021-06-22 20:21:03.960323,2.030068800999568,2.236384336764996,0:00:00.136749
14,2021-06-22 20:21:04.096277,2.0026531389781406,2.203844428062439,0:00:00.134318
15,2021-06-22 20:21:04.237213,1.9804264863332113,2.1775121212005617,0:00:00.139355
16,2021-06-22 20:21:04.389899,1.9627961218357086,2.1570169180631638,0:00:00.150998
17,2021-06-22 20:21:04.530593,1.9498102524701286,2.1408001254586613,0:00:00.139044
18,2021-06-22 20:21:04.672108,1.939921458562215,2.1280857457054987,0:00:00.139886
19,2021-06-22 20:21:04.815853,1.9326826898675216,2.118437967802349,0:00:00.142140
20,2021-06-22 20:21:04.968860,1.9278576731681825,2.1119059920310974,0:00:00.151370
21,2021-06-22 20:21:05.109328,1.9254465330214727,2.1073568094344366,0:00:00.138895
22,2021-06-22 20:21:05.250703,1.9243246533653953,2.1043298027732154,0:00:00.139749
23,2021-06-22 20:21:05.398157,1.9247732577116594,2.103302509888359,0:00:00.145810
24,2021-06-22 20:21:05.533923,1.926784336566925,2.103475570678711,0:00:00.134169
25,2021-06-22 20:21:05.670387,1.929662160873413,2.104688911437988,0:00:00.134825
26,2021-06-22 20:21:05.806858,1.9331794793789203,2.106667784544138,0:00:00.134790
27,2021-06-22 20:21:05.955559,1.9375792962533456,2.1100978409802473,0:00:00.146967
28,2021-06-22 20:21:06.090821,1.9431968331336975,2.11433675459453,0:00:00.133672
29,2021-06-22 20:21:06.227651,1.949118655303429,2.1190293904008537,0:00:00.135181
30,2021-06-22 20:21:06.364624,1.9556341965993245,2.1244020064671836,0:00:00.135324
31,2021-06-22 20:21:06.512228,1.9624974496902958,2.130538409756076,0:00:00.145993
32,2021-06-22 20:21:06.647981,1.970151700079441,2.1371404379606247,0:00:00.134126
