imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-06-22 19:02:42.615128,6.504223346710205,9.570873260498047,0:00:03.066379
2,2021-06-22 19:02:42.762278,6.997938632965088,8.60273027420044,0:00:00.142615
3,2021-06-22 19:02:42.902181,6.87529730796814,7.9913530349731445,0:00:00.138189
4,2021-06-22 19:02:43.041623,6.595804452896118,7.467376172542572,0:00:00.137720
5,2021-06-22 19:02:43.446734,6.2559521198272705,7.033955812454224,0:00:00.403311
6,2021-06-22 19:02:43.586117,5.928850173950195,6.6001973152160645,0:00:00.137700
7,2021-06-22 19:02:43.725830,5.571939468383789,6.1671383040291925,0:00:00.137913
8,2021-06-22 19:02:43.872960,5.196225941181183,5.735239654779434,0:00:00.145323
9,2021-06-22 19:02:44.011566,4.80912709236145,5.303500519858466,0:00:00.136828
10,2021-06-22 19:02:44.149862,4.412898826599121,4.8715341806411745,0:00:00.136615
11,2021-06-22 19:02:44.569105,4.034112019972368,4.462867476723411,0:00:00.129722
12,2021-06-22 19:02:45.576126,3.718345046043396,4.123157779375712,0:00:00.141210
13,2021-06-22 19:02:46.576806,3.451408496269813,3.8350156270540676,0:00:00.128907
14,2021-06-22 19:02:47.587781,3.2226325273513794,3.588051676750183,0:00:00.128684
15,2021-06-22 19:02:48.614487,3.024164009094238,3.375949160257975,0:00:00.160460
16,2021-06-22 19:02:49.607311,2.85050605237484,3.189443290233612,0:00:00.145654
17,2021-06-22 19:02:50.604369,2.69721513635972,3.0239033418543197,0:00:00.130484
18,2021-06-22 19:02:51.619129,2.561201903555128,2.87713623046875,0:00:00.132882
19,2021-06-22 19:02:52.626469,2.4394099210437976,2.745778435154965,0:00:00.133950
20,2021-06-22 19:02:53.726809,2.3323935985565187,2.6323347806930544,0:00:00.177429
21,2021-06-22 19:02:54.691578,2.23573629061381,2.527634779612223,0:00:00.130808
22,2021-06-22 19:02:55.730330,2.1487955938686025,2.4334758086638018,0:00:00.132839
23,2021-06-22 19:02:56.774652,2.0704393490501074,2.3489092536594556,0:00:00.141544
24,2021-06-22 19:02:57.702115,1.9947045246760051,2.266982853412628,0:00:00.129659
25,2021-06-22 19:02:58.744352,1.924717321395874,2.1933422660827637,0:00:00.180713
26,2021-06-22 19:02:59.728941,1.8601281001017644,2.1235026671336246,0:00:00.131879
27,2021-06-22 19:03:00.716974,1.8003130665531866,2.05920402208964,0:00:00.142084
28,2021-06-22 19:03:01.765931,1.7449811697006226,1.999247772353036,0:00:00.129159
29,2021-06-22 19:03:02.709208,1.6932443421462486,1.9431808077055832,0:00:00.128466
