imageCounter,currentTime,meanNetworkDelay,meanResponseTime,classificationTime
1,2021-06-21 19:22:05.063706,9.086030721664429,9.19458794593811,0:00:00.108234
2,2021-06-21 19:22:05.169183,8.60612428188324,8.712526798248291,0:00:00.103999
3,2021-06-21 19:22:05.273870,8.316173632939657,8.421627442042032,0:00:00.103269
4,2021-06-21 19:22:05.378694,8.0701202750206,8.175132632255554,0:00:00.103448
5,2021-06-21 19:22:05.483682,7.837782716751098,7.942566299438477,0:00:00.103631
6,2021-06-21 19:22:05.590978,7.61658251285553,7.721590717633565,0:00:00.105892
7,2021-06-21 19:22:05.696548,7.4024871076856344,7.507406575339181,0:00:00.104150
8,2021-06-21 19:22:05.801465,7.185152918100357,7.28992423415184,0:00:00.103490
9,2021-06-21 19:22:05.908415,6.98222549756368,7.087107181549072,0:00:00.105526
10,2021-06-21 19:22:06.014834,6.777571201324463,6.882487773895264,0:00:00.104989
11,2021-06-21 19:22:06.119535,6.572129227898338,6.676917552947998,0:00:00.103259
12,2021-06-21 19:22:06.226782,6.367977758248647,6.472871204217275,0:00:00.105807
13,2021-06-21 19:22:06.331206,6.1623556063725395,6.267120416347797,0:00:00.102977
14,2021-06-21 19:22:06.437311,5.958844593593052,6.06362385409219,0:00:00.104694
15,2021-06-21 19:22:06.544903,5.755568933486939,5.86045667330424,0:00:00.106172
16,2021-06-21 19:22:06.652769,5.5534819811582565,5.658479824662209,0:00:00.106403
17,2021-06-21 19:22:06.759456,5.3503235648660095,5.455349389244528,0:00:00.105236
18,2021-06-21 19:22:06.864097,5.14750333627065,5.252441485722859,0:00:00.103159
19,2021-06-21 19:22:07.212170,4.9566005280143335,5.0611528471896525,0:00:00.097394
20,2021-06-21 19:22:07.699503,4.785112595558166,4.889373695850372,0:00:00.098512
21,2021-06-21 19:22:08.234963,4.62977131207784,4.733747834251041,0:00:00.098066
22,2021-06-21 19:22:08.734856,4.488576596433466,4.5922829562967475,0:00:00.097809
23,2021-06-21 19:22:09.248029,4.359558945116789,4.463233792263528,0:00:00.102764
24,2021-06-21 19:22:09.738644,4.24108303586642,4.344541400671005,0:00:00.098261
25,2021-06-21 19:22:10.239124,4.132549772262573,4.235768737792969,0:00:00.097209
26,2021-06-21 19:22:10.801279,4.032414078712463,4.136586794486413,0:00:00.127706
27,2021-06-21 19:22:11.290830,3.9394261042277017,4.043415590568825,0:00:00.099010
28,2021-06-21 19:22:11.798224,3.8532133443014964,3.957005296434675,0:00:00.098236
29,2021-06-21 19:22:12.331745,3.7741500262556404,3.8777388786447458,0:00:00.097681
30,2021-06-21 19:22:12.770460,3.6992061853408815,3.8027058601379395,0:00:00.100693
31,2021-06-21 19:22:13.292107,3.6287990231667795,3.732116122399607,0:00:00.097626
32,2021-06-21 19:22:13.839644,3.563633382320404,3.6669076904654503,0:00:00.101733
33,2021-06-21 19:22:14.291372,3.501984856345437,3.605101202473496,0:00:00.097845
34,2021-06-21 19:22:14.914316,3.4463928867788876,3.5493900846032536,0:00:00.098834
35,2021-06-21 19:22:15.325354,3.391468334197998,3.494324575151716,0:00:00.097843
36,2021-06-21 19:22:15.891066,3.339508142736223,3.443566640218099,0:00:00.145913
37,2021-06-21 19:22:16.355036,3.2904029665766537,3.3943351346093253,0:00:00.099167
38,2021-06-21 19:22:16.854482,3.2438778187099255,3.3476551081004895,0:00:00.097801
39,2021-06-21 19:22:17.365482,3.199771917783297,3.3033982545901566,0:00:00.097672
40,2021-06-21 19:22:17.899066,3.159212201833725,3.2626913189888,0:00:00.097521
41,2021-06-21 19:22:18.375147,3.119442416400444,3.2229024317206405,0:00:00.102450
42,2021-06-21 19:22:18.883173,3.0815228053501675,3.1849844796316966,0:00:00.103311
43,2021-06-21 19:22:19.395289,3.0452379126881444,3.148637239323106,0:00:00.100558
44,2021-06-21 19:22:19.889412,3.010653230276975,3.1140137639912693,0:00:00.101476
45,2021-06-21 19:22:20.386758,2.9776362419128417,3.0808687845865887,0:00:00.097386
