"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","ClassificationTime","Platform","Algorithm","Size","Workload"
1,"2021-07-08 20:50:36.961431",62.6714804172516,63.5569257736206,"0:00:00.884660",0,0.88466,"EDGE","CNN","128",0.75
2,"2021-07-08 20:50:37.209595",62.7579882144928,63.3089517354965,"0:00:00.216160",0.00413606564203898,0.21616,"EDGE","CNN","128",0.75
3,"2021-07-08 20:50:37.456226",62.6197097301483,63.058615843455,"0:00:00.214480",0.00824658473332723,0.21448,"EDGE","CNN","128",0.75
4,"2021-07-08 20:50:37.712712",62.4275940656662,62.8096753954887,"0:00:00.211228",0.0125213503837585,0.211228,"EDGE","CNN","128",0.75
5,"2021-07-08 20:50:38.196191",62.2091915607452,62.6052402496338,"0:00:00.451282",0.0205793341000875,0.451282,"EDGE","CNN","128",0.75
6,"2021-07-08 20:50:38.441449",62.0192822615306,62.3850671052933,"0:00:00.214175",0.024666965007782,0.214175,"EDGE","CNN","128",0.75
7,"2021-07-08 20:50:38.717573",61.8104007584708,62.1596138817923,"0:00:00.249352",0.0292690316836039,0.249352,"EDGE","CNN","128",0.75
8,"2021-07-08 20:50:38.981353",61.5957052111626,61.9296400249004,"0:00:00.226708",0.0336653669675191,0.226708,"EDGE","CNN","128",0.75
9,"2021-07-08 20:50:39.243657",61.3739974763658,61.6961221959856,"0:00:00.227051",0.038037101427714,0.227051,"EDGE","CNN","128",0.75
10,"2021-07-08 20:50:39.523429",61.1485995531082,61.460497879982,"0:00:00.218470",0.0426999648412069,0.21847,"EDGE","CNN","128",0.75
11,"2021-07-08 20:50:39.803155",60.9224499355663,61.2247547886588,"0:00:00.206077",0.0473620653152466,0.206077,"EDGE","CNN","128",0.75
12,"2021-07-08 20:50:40.069216",60.6924415826797,60.9877878427505,"0:00:00.218490",0.0517964164415995,0.21849,"EDGE","CNN","128",0.75
13,"2021-07-08 20:50:40.329109",60.4593670001397,60.749007170017,"0:00:00.220882",0.0561279654502869,0.220882,"EDGE","CNN","128",0.75
14,"2021-07-08 20:50:40.575617",60.2233825240816,60.5076650210789,"0:00:00.213958",0.0602364341417948,0.213958,"EDGE","CNN","128",0.75
15,"2021-07-08 20:50:40.826037",59.9853558540344,60.2649802207947,"0:00:00.214128",0.0644100983937581,0.214128,"EDGE","CNN","128",0.75
16,"2021-07-08 20:50:41.074365",59.7444373369217,60.0204629600048,"0:00:00.221678",0.0685488979021708,0.221678,"EDGE","CNN","128",0.75
17,"2021-07-08 20:50:41.333662",59.5027382233564,59.7749017967897,"0:00:00.209941",0.0728705167770386,0.209941,"EDGE","CNN","128",0.75
18,"2021-07-08 20:50:41.576003",59.2597028281954,59.5284942785899,"0:00:00.211165",0.0769095341364543,0.211165,"EDGE","CNN","128",0.75
19,"2021-07-08 20:50:41.825306",59.0156524306849,59.2814135551453,"0:00:00.210925",0.0810645818710327,0.210925,"EDGE","CNN","128",0.75
20,"2021-07-08 20:50:42.116261",58.7726975440979,59.0361563801765,"0:00:00.219432",0.0859138329823812,0.219432,"EDGE","CNN","128",0.75
21,"2021-07-08 20:50:42.356066",58.5285277593703,58.7895722048623,"0:00:00.212336",0.0899105827013651,0.212336,"EDGE","CNN","128",0.75
22,"2021-07-08 20:50:42.612888",58.2840824127197,58.5429081591693,"0:00:00.211928",0.0941909511884054,0.211928,"EDGE","CNN","128",0.75
23,"2021-07-08 20:50:42.877512",58.0390875443168,58.2965314077294,"0:00:00.224769",0.0986013491948446,0.224769,"EDGE","CNN","128",0.75
24,"2021-07-08 20:50:43.134428",57.7939770023028,58.0495466887951,"0:00:00.212166",0.102883283297221,0.212166,"EDGE","CNN","128",0.75
25,"2021-07-08 20:50:43.384237",57.5481184864044,57.8022428035736,"0:00:00.218952",0.107046767075857,0.218952,"EDGE","CNN","128",0.75
26,"2021-07-08 20:50:43.647994",57.3025539838351,57.5550504189271,"0:00:00.211452",0.111442716916402,0.211452,"EDGE","CNN","128",0.75
27,"2021-07-08 20:50:43.912307",57.0564184983571,57.3080667654673,"0:00:00.229115",0.115847933292389,0.229115,"EDGE","CNN","128",0.75
28,"2021-07-08 20:50:44.161146",56.8102951134954,57.0606011918613,"0:00:00.213453",0.119995248317719,0.213453,"EDGE","CNN","128",0.75
29,"2021-07-08 20:50:44.416443",56.5638461935109,56.812966601602,"0:00:00.215265",0.124250201384226,0.215265,"EDGE","CNN","128",0.75
30,"2021-07-08 20:50:44.675247",56.3173545757929,56.5652069807053,"0:00:00.210169",0.128563598791758,0.210169,"EDGE","CNN","128",0.75
31,"2021-07-08 20:50:44.938657",56.070432155363,56.3176824200538,"0:00:00.228421",0.132953766981761,0.228421,"EDGE","CNN","128",0.75
32,"2021-07-08 20:50:45.184545",55.8232390806079,56.0693853795528,"0:00:00.211622",0.137051900227865,0.211622,"EDGE","CNN","128",0.75
33,"2021-07-08 20:50:45.429650",55.5756910136252,55.8207772139347,"0:00:00.210880",0.141136984030406,0.21088,"EDGE","CNN","128",0.75
34,"2021-07-08 20:50:45.675390",55.3277003975476,55.5719491383609,"0:00:00.216116",0.145232649644216,0.216116,"EDGE","CNN","128",0.75
35,"2021-07-08 20:50:45.951798",55.0800744669778,55.3238073825836,"0:00:00.225897",0.149839448928833,0.225897,"EDGE","CNN","128",0.75
36,"2021-07-08 20:50:46.245323",54.8335041933589,55.076254427433,"0:00:00.208072",0.154731531937917,0.208072,"EDGE","CNN","128",0.75
37,"2021-07-08 20:50:46.488991",54.5868345531257,54.8288086169475,"0:00:00.213681",0.158792666594187,0.213681,"EDGE","CNN","128",0.75
38,"2021-07-08 20:50:46.743465",54.339533435671,54.5810002904189,"0:00:00.222355",0.163033898671468,0.222355,"EDGE","CNN","128",0.75
39,"2021-07-08 20:50:47.151788",54.0962415475112,54.3367901276319,"0:00:00.205370",0.169839282830556,0.20537,"EDGE","CNN","128",0.75
40,"2021-07-08 20:50:47.406411",53.8523207783699,54.0922403097153,"0:00:00.215108",0.174082998434703,0.215108,"EDGE","CNN","128",0.75
41,"2021-07-08 20:50:47.684778",53.6082991332543,53.8476161433429,"0:00:00.214540",0.178722449143728,0.21454,"EDGE","CNN","128",0.75
42,"2021-07-08 20:50:47.949062",53.3640257120132,53.6031992662521,"0:00:00.232989",0.183127184708913,0.232989,"EDGE","CNN","128",0.75
43,"2021-07-08 20:50:48.224831",53.1206119226855,53.3590781855029,"0:00:00.208433",0.18772333463033,0.208433,"EDGE","CNN","128",0.75
44,"2021-07-08 20:50:48.573125",52.8787342851812,53.1167142824693,"0:00:00.216341",0.193528230985006,0.216341,"EDGE","CNN","128",0.75
45,"2021-07-08 20:50:48.814233",52.6360074149238,52.8734366681841,"0:00:00.212659",0.197546700636546,0.212659,"EDGE","CNN","128",0.75
46,"2021-07-08 20:50:49.073129",52.3927299924519,52.6299496474473,"0:00:00.227126",0.20186163187027,0.227126,"EDGE","CNN","128",0.75
47,"2021-07-08 20:50:49.355055",52.1500150092105,52.3866143125169,"0:00:00.207633",0.206560401121775,0.207633,"EDGE","CNN","128",0.75
48,"2021-07-08 20:50:49.655537",51.9078593552113,52.1439435680707,"0:00:00.211372",0.211568431059519,0.211372,"EDGE","CNN","128",0.75
49,"2021-07-08 20:50:49.914840",51.6652952505618,51.9011612327731,"0:00:00.224777",0.215890149275462,0.224777,"EDGE","CNN","128",0.75
50,"2021-07-08 20:50:50.221149",51.423626947403,51.6590194416046,"0:00:00.211905",0.220995299021403,0.211905,"EDGE","CNN","128",0.75
51,"2021-07-08 20:50:50.478669",51.1814479360393,51.4165514777688,"0:00:00.220004",0.22528729836146,0.220004,"EDGE","CNN","128",0.75
52,"2021-07-08 20:50:50.773091",50.9397945083105,51.174428490492,"0:00:00.210399",0.230194334189097,0.210399,"EDGE","CNN","128",0.75
53,"2021-07-08 20:50:51.077802",50.6986134412154,50.9330098224136,"0:00:00.221394",0.23527284860611,0.221394,"EDGE","CNN","128",0.75
54,"2021-07-08 20:50:51.326688",50.4571150497154,50.6911911346294,"0:00:00.216300",0.23942095041275,0.2163,"EDGE","CNN","128",0.75
55,"2021-07-08 20:50:51.588460",50.2155029340224,50.4490970351479,"0:00:00.207255",0.243783815701803,0.207255,"EDGE","CNN","128",0.75
56,"2021-07-08 20:50:51.887902",49.9744558164052,50.2075681388378,"0:00:00.206327",0.248774516582489,0.206327,"EDGE","CNN","128",0.75
57,"2021-07-08 20:50:52.198322",49.7339480634321,49.9667665163676,"0:00:00.216082",0.253948183854421,0.216082,"EDGE","CNN","128",0.75
58,"2021-07-08 20:50:52.440316",49.4930459055407,49.7254646317712,"0:00:00.209257",0.25798141558965,0.209257,"EDGE","CNN","128",0.75
59,"2021-07-08 20:50:52.685053",49.2516120732841,49.4836426993548,"0:00:00.209241",0.262060368061066,0.209241,"EDGE","CNN","128",0.75
60,"2021-07-08 20:50:52.935028",49.0089663068453,49.2405793706576,"0:00:00.206689",0.266226617495219,0.206689,"EDGE","CNN","128",0.75
61,"2021-07-08 20:50:53.241064",48.7674218592097,48.9987926014134,"0:00:00.216518",0.271327217419942,0.216518,"EDGE","CNN","128",0.75
62,"2021-07-08 20:50:53.533663",48.526290662827,48.7572938972904,"0:00:00.207863",0.276203866799672,0.207863,"EDGE","CNN","128",0.75
63,"2021-07-08 20:50:53.788995",48.2846505793314,48.515360775448,"0:00:00.212258",0.280459400018056,0.212258,"EDGE","CNN","128",0.75
