"imageCounter","currentTime","meanNetworkDelay","meanResponseTime","classificationTime","Tempo","ClassificationTime","Platform","Algorithm","Size","Workload"
1,"2021-06-29 18:53:05.770288",96.2297098636627,96.3903431892395,"0:00:00.160246",0,0.160246,"EDGE","RF","32",0.75
2,"2021-06-29 18:53:05.882376",95.9464231729507,96.0821825265884,"0:00:00.110654",0.00186813275019328,0.110654,"EDGE","RF","32",0.75
3,"2021-06-29 18:53:05.992879",95.6349596182505,95.7619072596232,"0:00:00.109071",0.0037098487218221,0.109071,"EDGE","RF","32",0.75
4,"2021-06-29 18:53:06.103999",95.3204892277718,95.4431620240211,"0:00:00.109604",0.00556184848149617,0.109604,"EDGE","RF","32",0.75
5,"2021-06-29 18:53:06.216867",95.0012610912323,95.1217274665833,"0:00:00.111404",0.00744298299153646,0.111404,"EDGE","RF","32",0.75
6,"2021-06-29 18:53:06.327443",94.6811086336772,94.7997292280197,"0:00:00.109161",0.0092859148979187,0.109161,"EDGE","RF","32",0.75
7,"2021-06-29 18:53:06.438191",94.3592861039298,94.4766116482871,"0:00:00.109320",0.0111317157745361,0.10932,"EDGE","RF","32",0.75
8,"2021-06-29 18:53:06.551817",94.0390114188194,94.155720949173,"0:00:00.112164",0.0130254824956258,0.112164,"EDGE","RF","32",0.75
9,"2021-06-29 18:53:06.662023",93.7169486151801,93.8328022956848,"0:00:00.108771",0.0148622512817383,0.108771,"EDGE","RF","32",0.75
10,"2021-06-29 18:53:06.772278",93.3940309047699,93.5092033624649,"0:00:00.108811",0.0166998346646627,0.108811,"EDGE","RF","32",0.75
11,"2021-06-29 18:53:06.884917",93.0703260465102,93.1851622841575,"0:00:00.111237",0.0185771505037944,0.111237,"EDGE","RF","32",0.75
12,"2021-06-29 18:53:06.995932",92.7469891309738,92.8614080746969,"0:00:00.109602",0.020427401860555,0.109602,"EDGE","RF","32",0.75
13,"2021-06-29 18:53:07.106154",92.4230776016529,92.5370769317334,"0:00:00.108729",0.0222644329071045,0.108729,"EDGE","RF","32",0.75
14,"2021-06-29 18:53:07.219709",92.0999252966472,92.2138067994799,"0:00:00.112123",0.0241570154825846,0.112123,"EDGE","RF","32",0.75
15,"2021-06-29 18:53:07.330006",91.7767747243245,91.890331697464,"0:00:00.108770",0.0259952982266744,0.10877,"EDGE","RF","32",0.75
16,"2021-06-29 18:53:07.439957",91.4538811594248,91.5671384334564,"0:00:00.108529",0.0278278152147929,0.108529,"EDGE","RF","32",0.75
17,"2021-06-29 18:53:07.553085",91.1304826876696,91.2436607164495,"0:00:00.111678",0.0297132849693298,0.111678,"EDGE","RF","32",0.75
18,"2021-06-29 18:53:07.666455",90.8076730966568,90.9207967387305,"0:00:00.111921",0.0316027839978536,0.111921,"EDGE","RF","32",0.75
19,"2021-06-29 18:53:07.776352",90.484796022114,90.5976850986481,"0:00:00.108435",0.0334343989690145,0.108435,"EDGE","RF","32",0.75
20,"2021-06-29 18:53:07.887040",90.1613376379013,90.2740545511246,"0:00:00.109210",0.0352791984875997,0.10921,"EDGE","RF","32",0.75
21,"2021-06-29 18:53:07.999369",89.8376397064754,89.9502814610799,"0:00:00.110868",0.0371513485908508,0.110868,"EDGE","RF","32",0.75
22,"2021-06-29 18:53:08.112864",89.5139546069232,89.6265756325288,"0:00:00.111942",0.0390429337819417,0.111942,"EDGE","RF","32",0.75
23,"2021-06-29 18:53:08.223401",89.1900239923726,89.3025035858154,"0:00:00.109132",0.0408852179845174,0.109132,"EDGE","RF","32",0.75
24,"2021-06-29 18:53:08.334910",88.8663231730461,88.9787115454674,"0:00:00.110010",0.0427436987559001,0.11001,"EDGE","RF","32",0.75
25,"2021-06-29 18:53:08.448501",88.5427972316742,88.6551864337921,"0:00:00.112143",0.0446368853251139,0.112143,"EDGE","RF","32",0.75
26,"2021-06-29 18:53:08.558534",88.2189113543584,88.3311625260573,"0:00:00.108516",0.0464707652727763,0.108516,"EDGE","RF","32",0.75
27,"2021-06-29 18:53:08.668546",87.8947897840429,88.0069143948732,"0:00:00.108603",0.0483042995134989,0.108603,"EDGE","RF","32",0.75
28,"2021-06-29 18:53:08.780930",87.5703521115439,87.6824438061033,"0:00:00.110972",0.0501773675282796,0.110972,"EDGE","RF","32",0.75
29,"2021-06-29 18:53:08.893160",87.2458837607811,87.3579398928017,"0:00:00.110822",0.052047868569692,0.110822,"EDGE","RF","32",0.75
30,"2021-06-29 18:53:09.003219",86.9214066425959,87.0333571275075,"0:00:00.108655",0.0538821816444397,0.108655,"EDGE","RF","32",0.75
31,"2021-06-29 18:53:09.113979",86.5968521871874,86.7087238219477,"0:00:00.109263",0.0557281851768494,0.109263,"EDGE","RF","32",0.75
32,"2021-06-29 18:53:09.224739",86.2720487490296,86.3838487043977,"0:00:00.109296",0.057574184735616,0.109296,"EDGE","RF","32",0.75
33,"2021-06-29 18:53:09.334761",85.9472512404124,86.0589618321621,"0:00:00.108618",0.0594078818957011,0.108618,"EDGE","RF","32",0.75
34,"2021-06-29 18:53:09.445331",85.6224403802086,85.7340815628276,"0:00:00.109113",0.0612507184346517,0.109113,"EDGE","RF","32",0.75
35,"2021-06-29 18:53:09.557821",85.2977192606245,85.4093512126378,"0:00:00.111085",0.0631255507469177,0.111085,"EDGE","RF","32",0.75
36,"2021-06-29 18:53:09.668493",84.9734445545408,85.0850172705121,"0:00:00.109266",0.0649700840314229,0.109266,"EDGE","RF","32",0.75
37,"2021-06-29 18:53:09.778470",84.6485579915949,84.7600557546358,"0:00:00.108564",0.0668030341466268,0.108564,"EDGE","RF","32",0.75
38,"2021-06-29 18:53:09.888617",84.3242070298446,84.4356384340086,"0:00:00.108743",0.068638817469279,0.108743,"EDGE","RF","32",0.75
39,"2021-06-29 18:53:09.999930",84.0001803911649,84.1115786540203,"0:00:00.109905",0.0704940319061279,0.109905,"EDGE","RF","32",0.75
