n Trees,Single classifying time (s),Avg Precision,Avg Recall,Avg Accuracy,Avg F1 score,Target size,,,,,
100,0.101,0.97,0.883,0.976,0.924,8x8,,,,,
100,0.1043,0.968,0.885,0.976,0.925,16x16,,,,,
100,0.1042,0.972,0.894,0.978,0.931,32x32,,,,,
100,0.1048,0.97,0.886,0.976,0.926,64x64,,,,,
100,0.105,0.973,0.897,0.979,0.933,128x128,,,,,
500,0.44,0.979,0.917,0.983,0.947,8x8,,,,,
500,0.486,0.979,0.923,0.984,0.955,16x16,,,,,
500,0.5,0.982,0.93,0.985,0.955,32x32,,,,,
500,0.446,0.979,0.921,0.983,0.949,64x64,,,,,
500,,,,,,128x128,,,,,
